"","description","FDR","enrich","cellType","logFDR"
"195","connective tissue development",0.0400784377216846,0.580526910726699,"Mic",1.39708921583531
"196","response to leukemia inhibitory factor",0.0403602922170835,0.716606662403339,"Mic",1.3940456980395
"197","regulation of protein catabolic process",0.0411064784343857,0.583609328741002,"Mic",1.38608972735546
"198","purinergic receptor signaling pathway",0.0418224674411004,-0.767486020083199,"Mic",1.37859034826529
"199","production of molecular mediator of immune response",0.0464453997279213,0.60457956759389,"Mic",1.333057295055
"200","interleukin-2 production",0.0470504583344872,0.68071500085008,"Mic",1.32743614160614
"201","posttranscriptional regulation of gene expression",0.0475280726818962,0.582805248335302,"Mic",1.32304979648976
"202","receptor metabolic process",0.0478304159784552,0.599244333017305,"Mic",1.32029584207677
"203","intracellular receptor signaling pathway",0.0486993707087728,0.584886788690248,"Mic",1.3124766506842
"204","nucleoside diphosphate metabolic process",0.0488302905913474,0.719315635705011,"Mic",1.31131069120137
"205","regulation of apoptotic signaling pathway",0.0493369822179814,0.546659591988463,"Mic",1.30682741840851
"206","protein localization to endoplasmic reticulum",1e-07,-0.671119612554805,"Opc",7
"207","translational initiation",1e-07,-0.685236658177683,"Opc",7
"208","cytoplasmic translation",0.00855665729508963,-0.658189836339197,"Opc",2.06769586170382
"209","establishment of protein localization to membrane",0.0308650852430019,-0.483970899615903,"Opc",1.5105325192634
