"","description","FDR","enrich","cellType","logFDR"
"1","Parkinson disease",0.0118178562574034,0.793772110078746,"Exc",1.92746129672191
"2","p38 MAPK pathway",0.0467342497451861,0.810376818327215,"Exc",1.3303647249255
"3","Apoptosis signaling pathway",0.00433559878134521,0.655763185327737,"Ast",2.3629509144563
"4","Interleukin signaling pathway",0.00743245505373464,0.766167404068217,"Ast",2.12886770842293
"5","CCKR signaling map",0.00825828339303849,0.621180564526252,"Ast",2.08311021786225
"6","Ionotropic glutamate receptor pathway",0.0419354838709677,-0.72778228339047,"Inh",1.37741834152744
"7","CCKR signaling map",0.02865584508045,0.650870304351426,"Mic",1.54278677937638
"8","Apoptosis signaling pathway",0.0299017513882956,0.665112768601982,"Mic",1.52430337368237
