"","description","FDR","enrich","cellType","logFDR"
"97","RNA Polymerase I Promoter Clearance",0.00570092958108864,2.08067885609618,"Oli",2.24405432344658
"98","ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression",0.00586860398053242,2.08539458859489,"Oli",2.23146519613856
"99","Meiotic recombination",0.00680758061741761,2.00110103521255,"Oli",2.16700720691164
"100","SIRT1 negatively regulates rRNA expression",0.0071261619763608,2.00561375834188,"Oli",2.14714431043852
"101","Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",0.0071261619763608,2.00561375834188,"Oli",2.14714431043852
"102","RNA Polymerase I Promoter Opening",0.0071261619763608,2.00561375834188,"Oli",2.14714431043852
"103","NoRC negatively regulates rRNA expression",0.00821604557274539,2.01580907605694,"Oli",2.08533716046032
"104","Negative epigenetic regulation of rRNA expression",0.00821604557274539,2.01580907605694,"Oli",2.08533716046032
"105","DNA methylation",0.0100418334777999,2.0173005138631,"Oli",1.99818698474142
"106","RNA Polymerase I Chain Elongation",0.0105634871649584,2.02483902031867,"Oli",1.97619269103525
"107","Condensation of Prophase Chromosomes",0.0124707834586314,1.95199510503432,"Oli",1.90410626175223
"108","Packaging Of Telomere Ends",0.0201603807331232,1.88914596945683,"Oli",1.69550127040443
"109","Deposition of new CENPA-containing nucleosomes at the centromere",0.0258218575143427,1.83300118694263,"Oli",1.58801251965237
"110","Nucleosome assembly",0.0258218575143427,1.83300118694263,"Oli",1.58801251965237
"111","Positive epigenetic regulation of rRNA expression",0.0282310738852981,1.83427159889784,"Oli",1.54927260135756
"112","HATs acetylate histones",0.0297994668789257,1.83432777924235,"Oli",1.52579150550803
"113","G2/M DNA damage checkpoint",0.0350515710473618,1.7884920379098,"Oli",1.455292511737
"114","B-WICH complex positively regulates rRNA expression",0.0475612079117932,1.742008848647,"Oli",1.32274712413819
"115","Axon guidance",1e-07,-1.95447338005511,"Opc",7
"116","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",1e-07,-2.01593655012293,"Opc",7
"117","Translation initiation complex formation",1e-07,-2.03062765662248,"Opc",7
"118","Formation of the ternary complex, and subsequently, the 43S complex",1e-07,-2.03062765662248,"Opc",7
"119","Ribosomal scanning and start codon recognition",1e-07,-2.03062765662248,"Opc",7
"120","Metabolism of amino acids and derivatives",1e-07,-2.11035869494224,"Opc",7
"121","Signaling by ROBO receptors",1e-07,-2.15473195516242,"Opc",7
"122","Metabolism of RNA",1e-07,-2.22776758557139,"Opc",7
"123","Infectious disease",1e-07,-2.26856325996987,"Opc",7
"124","Selenoamino acid metabolism",1e-07,-2.28163248112778,"Opc",7
"125","Regulation of expression of SLITs and ROBOs",1e-07,-2.28618889434742,"Opc",7
"126","Eukaryotic Translation Initiation",1e-07,-2.30128070175255,"Opc",7
"127","Cap-dependent Translation Initiation",1e-07,-2.30128070175255,"Opc",7
"128","Influenza Viral RNA Transcription and Replication",1e-07,-2.30651424267972,"Opc",7
"129","Translation",1e-07,-2.30746304047469,"Opc",7
"130","L13a-mediated translational silencing of Ceruloplasmin expression",1e-07,-2.30940892191145,"Opc",7
"131","Formation of a pool of free 40S subunits",1e-07,-2.30940892191145,"Opc",7
"132","GTP hydrolysis and joining of the 60S ribosomal subunit",1e-07,-2.30940892191145,"Opc",7
"133","Nonsense-Mediated Decay (NMD)",1e-07,-2.30940892191145,"Opc",7
"134","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",1e-07,-2.30940892191145,"Opc",7
"135","SRP-dependent cotranslational protein targeting to membrane",1e-07,-2.30940892191145,"Opc",7
"136","Viral mRNA Translation",1e-07,-2.30940892191145,"Opc",7
"137","Eukaryotic Translation Termination",1e-07,-2.30940892191145,"Opc",7
"138","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",1e-07,-2.30940892191145,"Opc",7
"139","Major pathway of rRNA processing in the nucleolus and cytosol",1e-07,-2.31571907415434,"Opc",7
"140","rRNA processing",1e-07,-2.31571907415434,"Opc",7
"141","rRNA processing in the nucleus and cytosol",1e-07,-2.31571907415434,"Opc",7
"142","Eukaryotic Translation Elongation",1e-07,-2.31767409800512,"Opc",7
"143","Peptide chain elongation",1e-07,-2.31767409800512,"Opc",7
"144","Selenocysteine synthesis",1e-07,-2.3187335425247,"Opc",7
"145","Influenza Life Cycle",1e-07,-2.32816596104169,"Opc",7
"146","Influenza Infection",1e-07,-2.33184656665274,"Opc",7
"147","Developmental Biology",0.00143193340025061,-1.83211118132395,"Opc",2.84407718075461
"148","Transport of inorganic cations/anions and amino acids/oligopeptides",0.00733694466571634,-1.74613943371058,"Opc",2.13448475630545
"149","Amino acid transport across the plasma membrane",0.0211621678992518,-1.68644133177233,"Opc",1.67443984427127
"150","Disease",0.0225279754713845,-1.68144161365389,"Opc",1.64727783540056
"151","Basigin interactions",0.0370070632001913,-1.64803068205609,"Opc",1.43171537820016
