,regulon
11,"[NIN,KCNN2,ABCC4,EML6,SLC16A10,DOK6,ELOVL7,USP32,EML1,LARP1B,NECTIN3,LARP4B,RNF150,NLGN4Y,STS,TTTY14,HOOK3,BICDL1,FRS2,TLE1,PCED1B,ASAP1,KCNA3,COL24A1,TAF15,ARHGAP17,NAV2,E2F5,BTBD9,FYN,HS6ST3,RRAGD,ZFAND3,MYH10,TRIM36,PKN2-AS1,GPCPD1,TWSG1,GRIN2B,ZNF532,PTPRF,UIMC1,R3HDM1,ESCO1,PRKY,GPC6,KCTD1,CELF2,CACNB2,JAZF1,ADAMTS3,RIMKLB,PPM1H,CDYL2,LRRFIP2,TMTC1,CHSY1,EPB41L3,CHD7,SETD5,RBM24,NFAT5,NDST3,ERC2,SAMD8,KDM4C,GATAD2B,VKORC1L1,DAB1,CTPS1,NT5DC3,KDM5B,TLK1,PLAG1,SLC4A4,MBNL1-AS1,PTPN1,LUC7L2,HLCS,UBN1,DAPK1,NEBL,ARNT2,ENOX1,PRICKLE1,EXT2,GABRB3,KCNMA1,JPH1,TRAF5,RMDN2,INTS6L,MYO6,RGS6,SLC7A1,EPB41L2,ETS1,CDK6,ZNRF2,SGMS1,DPP6,FERMT2,PDZD2,PAM,ARFGAP3,STXBP5L,DTNB,ATG10,TASP1,RAP1B,CTNND2,FAM153B,ZBTB43,APBB2,L3MBTL4,KLHL32,AFF4,NFE2L2,CHD6,FAM168A,DCLK1,KCNIP4,GRB10,COL4A2,ZNRF3,SENP5,RNF24,PTPRN2,CACNA1D,PARD6B,IGSF11,HTR4,SLMAP,EML4,GALNT13,NT5C2,SLIT3,MFN1,FBLN7,WAPL]"
12,"[FBXW11,RNF19A,ETF1,KPNA1,ARIH1,HIVEP2,SRSF7,FAM49B,NR3C1,AKAP12,CORO1C,PTPN14,TPM4,C2CD3,MAGT1,PPP6C,STK4,PNN,STX5,IBA57,DNAJC27,MAPRE1,STX12,MAP3K13,DDX10,GALNT11,CDH5,RIC3,EIF5B,VASP,ZYX,TRPV6,GRB2,SURF4,RAPGEF6,RALA,SRF]"
13,"[XIST,LRP4,S100A9,VIM,NDRG2,ZCCHC24,SALL1,NR2E1,ITGB4,PHF21B,PON2,NMU,SOX2,P2RY1,S100A8,TUBB2B,GPR62,EMX2,HLA-DRA,LINC01392]"
14,"[MKNK1,EPC1,ELF2,ZNF138,MIOS,SETX,AGO3,SENP6,PAPOLG,TAOK3,EXD2,PRPF39,TGFBR3,RYK,INO80D,RUFY2,EP300]"
15,"[ADCYAP1,ZNF304,ADAMTS1,CCDC86,MRPL24,PCSK1,SPARCL1,LPL,SAMD14,CHGB,ENC1,CRY1,PCDH8,GNL1,ARHGDIB,AMN,SPRY2,FURIN,HDDC2,PHLDB2,NRN1,PER1,TFRC,ODC1,NFKBIE,HLA-DPB1,LINC01440,GPC6-AS1,RHEB]"
16,"[CENPB,PFKP,AHSA1,BAP1,BRD3,SEMA7A,KCNV1,LY6H,EEF1A2,SERBP1,FAM168B,DAXX,KCNJ4,AIP,PLEKHA3,ID2,OLFM1,LRRC4,CTSB,MAGEE1,BHLHE22,PKM,TMEM59L,NXPH3,PURB,STMN4,HSPA13,MEN1,DDX3X,CH25H,CNDP2,RND1,AMD1,VMA21,ICMT,CBX4,USP1,MAF1,GNAZ,TMEM183A,EFNA3,ARHGDIA,TMEM115,MLLT1,FASTKD5,SYNGR3,ATXN7L3B,ARL4C,H1FX,TMEM70,PPP4C,TAGLN3,PCYT2,CAB39L,INAFM1,RIMS4,PNRC1,LDHB,ASPHD2,CHRM1,RABAC1,EPN1,NR2F6,GRWD1,ZNF629,ARL4A,KLF16,C2CD4D,HNRNPAB,NCDN,MAPK8IP1,SLC12A5,SCG2,MEPCE,TFE3,KCNJ11,LYNX1,AMIGO2,BUB3,SYNPO,DUSP7,CITED2,UBALD1,CPLX2,WDR83OS,NUDT16L1,RSL1D1,SUMO3,HSPD1,PCYOX1,SSU72,RPUSD1,CCDC47,CHST1,FAM131B,CEBPA,TLL2,U2AF2,CCSAP,UBA1,HNRNPA3,CTSD,YY1,ATP1A1,GTPBP1,RBM42,THY1,G3BP2,IPO7,AARD,TRMT6,EEF2,SERINC3,UCK1,MAFG,ARPP19,ATXN7L3,FKBP1A,PNPLA8,BSCL2,CX3CL1,AGAP3,NRBF2,CDC34,SERPINI1,TRIM68,PDE12,ZNF408,C1orf174,GJB5,ILF2,DUSP8,GRINA,CCNI,SRSF3,MYLIP,TMEM30A,MRPL9,ATP1B1,FBXO5,KRR1,PPP1R15B,PEX12,MUL1,PTER,PRPF19,ARPC4,TRMT112,SLC25A11,NECAP1,ZNHIT2,APMAP,LYPLA2,NAA60,IMPA1,NXT1,TSPAN6,TMEM33,CSTF2T,CAP1,RAB14,SLU7,SPATA2,RNF167,CBLL1,C1QBP,SYF2,SOCS5,CLTC,FBXW7,PPID,SNRPB2,APH1A,YWHAB,BAG6,FAM3C,TMEM60,RAP2C,LMAN2,DMAP1,CD164,GSKIP,TMEM128]"
17,"[MCF2L,SREBF2,ABHD6,COMT,STX2,ADCY3,ZFYVE28,GLB1L3,PACSIN2,SPTBN2,LHX2,GRAMD4,PRKAG2,FYN,NFASC,SH3BP5,MARK4,KMT5A,CTDP1,CRAMP1,ASAP2,ABR,HDAC4,KIAA0513,PPIL2,GALNT9,STK32C,NIN,ANXA11,VASP,NMRK2,INPP5A,RAB40B,VIPR1,GTF2IRD2B,SLC45A4,USP42,PFKFB4,POLG,LRRC41,SFSWAP,PRKCZ,PCGF3,AXIN1,BRD1,NEK6,LINC00565,TRAF3IP1,FOXK1,CMIP,MAPT-IT1,TMEM63C,FBRSL1,CHST15,GRIK5,SLIT1,IL17D,ZC3H3,PDE2A,RAB43,FLYWCH1,DPP6,MICALL2,TESC,ERICH1,SCML1]"
18,"[RAB40C,LDLRAD4,PPP1R13B,VPS53,RABGEF1,GNG7,BRD1,EXD3,PHACTR3,VIPR1,PITPNA]"
19,"[STAT5B,MXI1,ZKSCAN8,TAF3,BCAR1,SOX12,PUM1,SNCAIP,ZBTB7A,NFYC,PIGM,JADE1,NOVA1,EPB41L1,TBC1D4,C12orf50,BLZF1,ZBTB2,ZNF630,LIN7A,ZFX,PCGF5,FOXO3,RCBTB1,TCF4,FAM214A,XIAP,SRFBP1,ARHGEF6,NFATC3,MARCH8,SAV1,PHF3,RAB30,MBP,CRADD,TRAK1,NCOA5,PATL1,SMCO4,MAP3K1,SMC3,RBM41,GLRB,CCDC181,ZBTB4,C5orf30,KLHL8,RAB23,ESYT3,CATSPERB,PCDHB7,BCL11A,JDP2,MRO,ZEB1,TMEM229B,TRA2A,BRPF3,CHAD,HNRNPF,MCMBP,AFTPH,SMAD5,ZBTB16,DDX6,MSL2,EPC1,ZBED3,PHLPP1,AK3,SLC8A1,WIZ,ZNF507,CRKL,FAM174B,MED13,SNX18,KAT6A,TWF1,RMDN2,NFIL3,PPP3CA,RORA,FOXP1,EP300,MKLN1,ZNF268,CSNK1E,NCOA2,RNF182,PLEC,DOCK11,SDK1,RNLS,ADNP,WASF1,RUSC2,APC,NPTX1,ZNF195,CXXC5,PCLO,GPR135,CD58,ARHGAP5,NFKB1,DCUN1D1,SNX7,PTPRK,BPTF,SCN3A,TTBK1,SMAP2,CWC27,XPO7,PYROXD1,R3HCC1L,CACNA2D2,HACD2,RADIL,SPAG16,ANKH,CADM1,PHIP,PCNX4,DOK4,SLC45A4,BTBD11,IFT74,PHYHIPL,EPC2,LAMA1,PEAK1,BTRC,NAA50,LGALS8,KIAA1324L,MBD3,ZFYVE9,SOCS7,MTDH,ZNF41,FAM171B,ADAM10,TMTC2,ERMP1,ATRX,PPTC7,CREBBP,LBH,ZMYND11,PCMTD2,SCML2,TNRC6B,PCSK2,TSPAN33,PHF12,SPTBN1,STAG2,SLC43A2,FBXO34,CMPK1,NOL4,ELAVL4,NRIP1,CRLS1,SMARCA2,DARS,TLK2,AKT2,PRRC2C,TDRP,YAF2,RELB,VSTM2A,KMT2E,PPARG,HFM1,RSPO2,TXNL4B,ETV6,ROPN1L,PRKG1,BRI3BP,HBP1,KLF7,USP54,TUG1,MED13L,CNOT6,GFOD1,BAZ1B,PURG,RAB27B,TAGLN2,HNRNPUL1,NUP62,CRTC2,NR2C2,UBN2,DCC,RBM27,CACNA2D1,HP1BP3,CMSS1]"
20,"[SNTG1,CRADD,MYRIP,CDK14,TBC1D4,SEMA6D,SATB2,PIK3CA,EHBP1,PPP2R2B,NFKB1,LRBA,CNTN5,ST3GAL6,FCHO2,MIR99AHG,SGPL1,NBEA,RICTOR,TMEM14B,DENND5B,STAMBPL1,PDK1,DNM3,CNTN1,MARK1,ST8SIA1,FAM102B,KLHL24,SLC36A4,KATNAL1,RORA,P4HA1,DMD,ZNF195,TNRC6B,MTM1,STXBP5,SLC35E3,CNIH3,CDK8,SNAP91,TANK,USF3,B3GLCT,RIMS1,CELF4,NELL1,DISP1,RAPGEF4,SNX7,MTSS1,ANKS1B,SFI1,MED13L,MID2,SPOPL,JDP2,RSRC1,JAKMIP2,WWOX,SLC23A2,SOX5,COMMD10,AGO3,MCPH1,TTC17,ZBTB20,KIDINS220,PIK3CD,IMMP2L,SLC1A2,CTBP2,PCLO,SPIN4,SBF2,XPO7,RAB3GAP2,ACBD6,KCNMB3,C9orf72,PPP1R12B,FBN1,DST,FOXP1,ARID5B,ZMYM4,WDFY3-AS2,PTBP2,CPNE9,CHODL,PTPRZ1,RAB30,PIGN,SREK1,NTN4,TMEFF2,GJC1]"
