,regulon
10,"[FMNL3,AMPD3,IKBIP,OTUD7B,KCNQ3]"
11,"[ATF3,LMCD1,DUSP1,PLA2G4A,TNFAIP6,NR4A1,JUNB,CHI3L1,ENPEP,DUSP6,PTGS2,COL6A2,NR4A2,GEM,ABCG2,NR4A3,NFATC1,OLR1,GADD45G,NPTX2,FOS,ENPP1,LMO2,ELOVL5,LIPG,EGR1,KLF2,TRIB1,PLXNB1,BTG2,HOMER1,NPAS4,PRICKLE3,SMOC2,MAML3,GAREM2,RELB,PTGS1,HIST1H2BG,PRDM1,SLC45A3,MYO1E,UCP2,ITPRIP,RASL12,SERPINE1,THBS2,ADAMTS1,HMGCS1,HIST1H4E,APLNR,IFI30,RPS9,FAM111A,CALCB,NEDD9,RNASE1,FOSL2,MAFF,ZNF331,ANKRD37,RND3,ATP1B3,IRF7,C11orf96,PDLIM3,TIPARP,SPP1,CRHBP,MIDN,APOC1,LDLR,NFATC2,BTG3,SPRED1,HEG1,CDKN1A,ST8SIA4,KMO,ZIC5,PLS3,TARID,CD14,RIPK2,ACTA2,SLC1A2,TFRC,BDKRB2,SLC6A12,MSC-AS1,SORCS3,HES4,PDE10A,CD63,S100A13,COL9A3,ZNF267,ETV5,SHROOM3,ADAM19,TMEM63A,CALD1,LRRC8C,RGS12,RDH10,BVES,RAB33A,IER2,TACR3,CREM,GNA15,H3F3B,BAG3,RNF122,TNC,HSPA6]"
12,"[DHRS3,NR4A1,BTBD3,ARRDC2,BCL6,ENC1,MYO1E,FOS,CPE,ELL2,DUSP1,CASKIN2,SC5D,TNFAIP2,INSIG1,SLC2A3,KLF2,ST14,TPD52L1,ATP1B3,RELB,CEBPA,SMC4,LINC01480,CEBPB,HMGCS1,AHCYL1,MSMO1,AMD1,PARD3,ZNF331,FOSL2,AMER2,ID2,LDLR,EYA4,PDLIM3,CD59,EPHX1,SLC7A1,LAMP1,CLDND1,PHLDB2,DOHH,PAQR8,EGFL7,KLRC3,NOX4,PSME1,IGFBP3,PLEKHA2,MAFF,SLC9A3R2,PTMA,HAS2-AS1,NMU,CDKN1A]"
13,"[EPHA6,CD58,SLC30A10,FGFR2,MAML2,HNF4G,ZNF618,ST14]"
14,"[PALMD,SLA,IL33,PROX1,SH3BP4,NR2F2,NR2F2-AS1,ST8SIA4,ALDH1A1,TYMS,LRIG3,LINC01416,MAPKAPK3,TOX3,GREB1L,ITPKB,TG,SLFN12,DOCK10,SLC9A2,ESR1,ARHGAP6,VWC2L,FGL1,CFLAR-AS1,MEPE,SLC7A2,KCNK13,NKAIN3,SPATA13,CMKLR1,LILRB1,TMEM45A,ABI3BP,PARD3,KCTD4,KCNH8,IFI16,CASP4,SLFN11,PLSCR4,LLGL2,EGFR,GPR149,ADGRD1,TBL1X,FSHR,FOXO1,TMEM119,FABP7,HDAC1,SLC1A5,PAX6,COBLL1,OVCH1-AS1,TBX19,LHCGR,FREM2,ELN,NPSR1,CYTIP,PTGS1,IL1RL1]"
15,"[IL1RAPL2,COBLL1,WLS,GABRG1,PCDH11Y,UST,ARHGAP24,PELI2,TRPC3,PLSCR4,VANGL2,FOXO1,CDKN2A,PTGS1,BOK-AS1]"
16,"[LGALS3,CD93,SRPX2,NECTIN2,SALL3,SLC6A1-AS1,C22orf34,NPY,UCP2,TFCP2L1,SALL1,IQGAP2]"
17,"[NINJ1,CEBPD,RPL22L1,NT5C,RARRES2,HPSE]"
18,"[LINC00601,NLRC5,HEY2,SLC25A48]"
19,"[HLA-DMB,IKZF1,DDO,EBI3,CLECL1,PIK3R5,FRMD4B,HBA2,LILRB4,TMEM235,CLEC1A,RASAL3,NDNF]"
20,"[FOXC1,HHEX,BGN,GSDMD,COLEC12,AGT,S100A8,ZIC4,EZR,DDR1,SOX2,LRP10,BTNL9,CLDN10,EMX2,PON3,AHNAK,GAREM2,SALL3,CST3,EBF1,RAB34,TINAGL1,OPLAH,CGNL1,TMC6,ZFP36,GYPC,GRIN2C,SLC1A3,TBX18,SOCS3,TMEM176B,ASIC4,MAF,ID3,SLC2A10,TMEM123,ALDH1L1-AS2,S100A11,ZFP36L1,DNAJC22,PLEKHB1,TUBB2B,SH3BP2]"
21,"[MOB3C,ANKRD22,SLFN12,S1PR3,SLC6A12,RRAS,COL16A1,PSD2,FLNA,PPP1R3B,BCL3,MRC1,WSCD1,SLC48A1,PXN,ITPRIPL2,CD151,GIMAP4,SAMD9L,PCDH15]"
