,regulon
10,"[NR1D1,VSTM2A,BEX5,ELAVL2,DOC2A,SULT4A1,CTXN1,TOMM20,RASGRF1,HNRNPH2,ATP6V1F,CBLN2,TUSC2,PJA1,BHLHE40]"
11,"[NOC2L,AIP,RAB40C,CDKN2A,STX4,ZNF787,TAF13,C17orf49,MRPL24,FGFRL1,COL27A1,PPP5C,ZNF285,CCDC181,PPIL1,NOM1,SLC35C2,BRI3,MTA2,ZNF662,LINC01152,DNTTIP2,PDXK,BEND5,SLC4A5,LSG1,ZNF284,RPL32,DNMT1,ARHGEF2,ING4,BAG6,RPS14,ZNF862,RPS6,RSL24D1,POLR2F,CTDSPL2]"
12,"[VPS36,RASSF2,HERC3,CSRP1,TTC7B,FMN2,ZNF660,CTIF,GNPDA1,CBFA2T2,ALDH2,RBM26,RAB11FIP3,CLK3]"
13,"[MEX3C,LRRC8B,MGMT,TJP2,PIWIL4,ACLY,LENG8,CCNG2,PHYHIPL,MRO,ZNF677,MFSD12,TAF4B,IMPACT,RSAD1,MAK16,PSMC6,SSR3,INSIG2,C11orf54,RNASEH2B,TAF1,ONECUT1]"
14,"[ALDH1L1-AS2,BCL6,FBXO31,GLRX,MT1X,PCDHGA12,CEBPD,BAALC-AS2,SERPINA3,KIAA0040,GADD45B,ARID5A,ACAN,NPR2,DPY19L1,TEX9,FKBP5]"
15,"[TRNP1,LRRC24,SLC19A1,CEBPG,CPSF4,ALDH8A1,REST,AR,HSPBAP1,THAP3,SRP14-AS1,TRAPPC4,HSD11B1L,BSN,C12orf75,TRUB2,ACAN,PRTG,APOBEC2,SLC25A39,BCAR3,SNX15,LINC01237,C4orf47,DGKQ,ZNF217,NABP2,PAIP2,NAT8L,CHMP1B,CDH26,DRG2,PHYHD1,MRGBP,DNPEP,RCC1,GLIS3,LRTOMT,PNKP,KHSRP,RHOBTB2,ZSCAN9,WDR82,PCDHB9,ADRM1,SMC4,ATP2C2,ARF6,ARL4C,SDC4,PHYH,PAOX,EML2,DUSP26,OFD1,TMEFF1,RAD17,TMEM184B,ZNF775,BCOR,ZBTB10,CXXC5,VSNL1,GDI1,LINC01170,ERICH3,NDUFA11,KCNJ6,CDK5R2,TSPYL1]"
16,"[KANSL1,USP12,MFSD14A,PLSCR4,PLOD2,RMI1,BAZ1A,RPAP3,KDM3A,CHD1,GRM8,LCA5,KLF3-AS1,ARHGEF26,SMURF2,TAPT1,SPCS3,LPL,PTH2R,CDC14A,ZNF18,PLEKHF2,MGAT4A,PACRG,CDC42,TM9SF3,REV3L,PEX5L,CNTN4,GALNT7,CDH2,USP25,KDM4C,NAB1,SLITRK2,C1orf21,ZNF331,MAP2,USP9X,FARP1,ERC2,KLHL1,NLGN4X,HIPK3,GNG5,ABHD5,ELMOD1,ZNF518A,PUM2,SPRED1,CAMTA1,SMARCA2,KLF12,ARHGAP20,XPR1,TSPAN12,CDKN2B-AS1,MTMR3,PTPRD,FRYL,SMS,DCBLD2,NCK1,WTAP,TDRD7,PDE4D,MANEA,VRK1,POGZ,RB1CC1,SMCO4,RASSF8-AS1,PDE4B,PLEKHA2,LMO7,HIVEP1,ZBTB21,ZFYVE9,ZDBF2,ANKRD44,UCHL5,CDON,RAP1GDS1,FAM24B,DUSP22,MTRF1L,ASAP1,KCNIP4,ANKRD28,CHAMP1,ASF1A,KLHL13,STK38L,CDK14,TP53BP2,UGP2,WASL,SESTD1,CACNB2,NETO1,RIMS2,ZNF438,CTCF,ZNF260,SLMAP,ADGRL3,HECW2,TSC22D1,ZMYND11,TBC1D4,LINC01138,DOCK3,PDE6D,KAT6A,DMXL2,HDAC2,ZNF800,NCOA2,HECTD1,HEATR5A,ARHGEF28,EPC2,PLCB4,PAK2,DENND1B,ACSL4,ARHGAP42,RORA,ESD,TCF12,RICTOR,CCDC92,CTNND2,ZC3H6,RNF157,FKBP5,KDM5B,ELAVL4,KIF2A,SH3GLB1,PPM1L,MPDZ,DOCK10,CEP85L,TBL1XR1,PDLIM5,CDH11,NIPBL,AHCTF1,SPIRE1,ST7,AKAP11,UBN1,PPM1A,FAM110B,PAG1,RNF13,OXCT1,ANKS1B,EPC1,FAM13B,UGGT2,SNAP91,SMCHD1,ADD3,MAPK8,ANKRD12,MAGI2,KIAA1958]"
17,"[CA13,PDXDC1,TBL2,NRP2]"
18,"[SLC16A3,NUBP2]"
19,"[MCC,MATR3,PPRC1,GPR137,DUS3L,MMGT1,MTF1,MRPL12,ZNF551,SECISBP2,GMDS,C1orf220,MRPL44,CDK11B,RBBP8,ANKMY1,SOCS7,ALG1L9P,ENTPD3,BRINP1]"
