Cell,ATF3(+),BHLHE41(+),CEBPA(+),CEBPB(+),CEBPD(+),DLX1(+),EMX2(+),ERF(+),ERG(+),ETS2(+),ETV6(+),FOS(+),FOSL2(+),FOXN2(+),FOXO1(+),FOXP2(+),HES1(+),HES6(+),HEY2(+),IKZF1(+),IRF7(+),IRF9(+),JUN(+),JUNB(+),KLF15(+),KLF6(+),MAF(+),MAFB(+),NFE2L2(+),NKX6-2(+),NR2F2(+),PDLIM5(+),RBPJ(+),REL(+),RELB(+),RFX2(+),SOX13(+),SOX18(+),SOX2(+),SREBF1(+),SREBF2(+),STAT5A(+),STAT6(+),TCF12(+),TGIF2(+),VEZF1(+),ZIC1(+),ZNF217(+),ZNF354C(+),ZNF467(+),ZNF90(+),ZNF98(+)
87779516_pool0,0.009651055246056129,0.12344106375709103,0.014333218834455083,0.02280283740186629,0.025442968362819254,0.0,0.0,0.0,0.0,0.02736014890076559,0.1672404651015389,0.008683552618015695,0.06621320860722361,0.180138619070589,0.0,0.07166990151792754,0.0,0.0,0.0,0.0,0.0,0.0,0.01921983608222783,0.015444350321376808,0.0,0.05892416485782014,0.0,0.0005358732145636128,0.07519086210047796,0.0,0.0,0.07314183770623282,0.09495054008568207,0.11163903444060001,0.0,0.07996311578745785,0.0,0.0,0.0,0.0,0.0,0.007998422737339618,0.0,0.4083274735597921,0.0,0.027922013006237235,0.0,0.0,0.0,0.0,0.0,0.0
87779516_pool1,0.009525101741983797,0.12077206778396474,0.014209505165412422,0.024429247986006444,0.02572531313913304,0.0,0.0,0.0,0.0,0.0280290108967612,0.16419972937242003,0.008232765518657238,0.06659735068272594,0.17349756398964564,0.0,0.08812743445908128,0.0,0.0,0.0,0.0,0.0,0.0,0.02088416353448039,0.014932805686409692,0.0,0.05644807582066789,0.0,0.0007964354198101403,0.07008553843160154,0.0,0.0,0.07012851105704011,0.11037642353014022,0.10870660315085771,0.0,0.08602092758953798,0.0,0.0,0.0,0.0,0.0,0.004033987119701719,0.0,0.3959833709810547,0.0,0.025017634364325594,0.0,0.0,0.0,0.0,0.0,0.0
87779516_pool2,0.008883174217310663,0.11743582281755686,0.013830857588301455,0.024427607106097152,0.02492831363022531,0.0,0.0,0.0,0.0,0.02518915819019882,0.15811825791418224,0.008751374158382228,0.0639038612533623,0.18428927849617865,0.0024958663117683826,0.08972009893725744,0.0,0.0,0.0,0.0,0.0,0.0,0.020162866830405354,0.016494221394049997,0.0,0.0499257637231937,0.0,0.000806267955857179,0.06334210922708261,0.0,0.0,0.05593431984052133,0.1357243240297611,0.1184318463880001,0.0,0.09389608293224216,0.0,0.0,4.291121109913379e-05,0.0,0.0,0.0004868605144467593,0.0,0.4194788150046202,0.0,0.02570787516767209,0.0,0.0,0.0,0.0,0.0,0.0
50100770_pool0,0.009802172837689293,0.11143058187802271,0.00845787894732489,0.013303987488372523,0.013657263633565314,0.0,0.0,0.0,0.0,0.012503976906203133,0.17180156869521723,0.006332061955510514,0.05601502199425949,0.17681809153011735,0.0,0.05361970409859764,0.0,0.0,0.0,0.0,0.0,0.0,0.013137500853979358,0.011467523323571602,0.0,0.04498356061610081,0.0,0.0005162081424695353,0.07803059967318403,0.0,0.0,0.0997672564942178,0.1350017210919292,0.12015121964073981,0.0,0.09207873939161812,0.0,0.0,0.0,0.0,0.0,0.006468289691935516,0.0,0.4017749146557426,0.0,0.02334266838197994,0.0,0.0,0.0,0.0,0.0,0.0
50100770_pool1,0.009947196592702243,0.10142184697879912,0.005788101304721266,0.010238977778711416,0.013230072205167195,0.0,0.0,0.0,0.0,0.01299317359801996,0.1695210168983781,0.005573791956946747,0.0462822808459861,0.16602637702358436,0.0039309894410352025,0.10193052660327473,0.0,0.0,0.0,0.0,0.0,0.0,0.01149887478220933,0.010285798602746993,0.0,0.04124002817331512,0.0,0.0008357655639982953,0.07332857828358229,0.0,0.0,0.09045748454718869,0.19836132909389195,0.13661019448230938,0.0,0.09631920765307421,0.0,0.0,0.0,0.0,0.0,0.005564120165105821,0.0,0.3766272685150185,0.0,0.02319094362389763,0.0,0.0,0.0,0.0,0.0,0.0
50100770_pool2,0.00953079610960671,0.10275634496536226,0.003837270130292142,0.00963702540125374,0.009977595881667441,0.0,0.0,0.0,0.0,0.009452561067102398,0.1672404651015389,0.0060182631512512835,0.04509178859820925,0.17349756398964564,0.007450568078395899,0.11325150322174124,0.0,0.0,0.0,0.0,0.0,0.0,0.011044275063174814,0.011091591737607943,0.0,0.03452028623741519,0.0,0.0008308492959747759,0.06368132032071076,0.0,0.0,0.07642867547281774,0.1816642941837936,0.14157234482846884,0.0,0.10540592535619443,0.0,0.0,8.439204849496312e-05,0.0,0.0,0.0,0.0,0.3910168739584073,0.0,0.024572439517120164,0.0,0.0,0.0,0.0,0.0,0.0
50400385_pool0,0.008432462563632163,0.11209783087130429,0.00902889682164835,0.014248575302179498,0.010729526280926681,0.0,0.0,0.0,0.024026169861900894,0.008793776568902501,0.17484230442433613,0.007176576403915734,0.06206763047480121,0.1718373002194098,0.0,0.06105213833008643,0.0,0.0,0.0,0.0,0.0,0.0,0.014231711713684337,0.012555719203339557,0.0,0.0526207475402299,0.0,0.0006096172349164036,0.0738645725938405,0.0,0.0,0.13166616644610607,0.16665557447778917,0.1123252935066776,0.0,0.08238624050828991,0.0,0.0,0.0,0.0,0.0,0.008276628745594908,0.0,0.39200240178951395,0.0,0.0280009659752275,0.0,0.0,0.0,0.0,0.0,0.007510264265723913
50400385_pool1,0.009226580674565062,0.08874411610644924,0.006463942031692535,0.012102221712214528,0.008165530299961287,0.0,0.0,0.0,0.029792450628757107,0.006741757759674095,0.17180156869521723,0.006675489163520681,0.05505922561895714,0.1751578277598815,0.000998346524707353,0.09237453973421772,0.0,0.0,0.0,0.0,0.0,0.0,0.011980936847469812,0.0116428023981328,0.0,0.046548094253794865,0.0,0.0007718540796925433,0.0719399036103806,0.0,0.0,0.12446556533521878,0.1998183467195403,0.1162013202964766,0.0,0.086626708769746,0.0,0.0,0.0,0.0,0.0,0.008067974239403438,0.0,0.3660810793908982,0.0,0.02613569596820962,0.0,0.0,0.0,0.0,0.0,0.0
50400385_pool2,0.009969047980165235,0.09608385503254653,0.006433083475970248,0.011257082717336182,0.00737276036792621,0.0,0.0,0.0,0.014415701917140538,0.006043205375110715,0.17484230442433613,0.006520629032479882,0.05508502533080671,0.17349756398964564,0.007508644345070003,0.12893220838854802,0.0,0.0,0.0,0.0,0.0,0.0,0.011421124911307576,0.011842759424662536,0.0,0.04045619721528503,0.0,0.0008898445122570084,0.06775830319552671,0.0,0.0,0.09414414713167674,0.20992379253010082,0.12894461907694693,0.0,0.07753999106662579,0.0,0.0,0.0,0.0,0.0017172285489627879,0.007094253210509921,0.0,0.33049649605902026,0.0,0.024605779133407564,0.0,0.0,0.0,0.0,0.0,0.0
50400385_pool3,0.010689113838285958,0.08273887516691507,0.005157291055112638,0.010179627964838971,0.006893424144777732,0.0,0.0,0.0,0.0,0.007768123951992953,0.17180156869521723,0.006118034831683149,0.05420453541675612,0.18594954226641447,0.0069479385031461375,0.11921305417872519,0.0,0.0,0.0,0.0,0.0,0.0,0.009629779738095182,0.011390903220232295,0.0,0.037774484014839654,0.0,0.0008161004919042178,0.06246919150084541,0.0,0.0,0.08173882062195773,0.20512256492319134,0.13314920961597967,0.0,0.10601170653640245,0.0,0.0,5.864532183548285e-05,0.0,0.0,0.005564120165105821,0.0,0.39119499490092485,0.0,0.026292363041213383,0.0,0.0,0.0,0.0,0.0,0.0
50300408_pool0,0.009238866091241832,0.10208909597208068,0.011783923578578737,0.01991335072151117,0.022528938344503303,0.0,0.0,0.0,0.0,0.020806644744883945,0.1801635919502942,0.0067080548955665825,0.05632943617661891,0.18428927849617865,0.0,0.085472993662121,0.0,0.0,0.0,0.0,0.0,0.004366162944167591,0.015963618932314308,0.01113632192868011,0.0,0.04380623079834622,0.0,0.000422799050022667,0.0727250949716489,0.0,0.0,0.11006028147820161,0.1596918410740055,0.09450121499514719,0.0,0.05815499329996934,0.0,0.0,0.0,0.0,0.0,0.010015416297190476,0.0,0.342351296117628,0.0,0.031116033949001726,0.0,0.0,0.004851139329530467,0.0,0.0,0.0
50300408_pool1,0.009090429945942245,0.09608385503254653,0.011372600299547411,0.02267312082523233,0.024592125321410304,0.0,0.0,0.0,0.0,0.021798241746326115,0.17788304015345502,0.006218867893182261,0.056356923315312016,0.18594954226641447,0.0,0.09555986869057007,0.0,0.0,0.0,0.0,0.0,0.0,0.015777503202087033,0.010648921503015564,0.0,0.0426872745178316,0.0,0.0006047009668928842,0.06995432548035248,0.0,0.0,0.10395204832951549,0.1714871970912447,0.1175747499314939,0.0,0.08480936522912196,0.0,0.0,0.0,0.0,0.0,0.008485283251786376,0.0,0.34689140277292624,0.0,0.03104987185085447,0.0,0.0,0.0,0.0,0.0,0.0
50300408_pool2,0.007004531341534254,0.09675110402582811,0.012559734944149427,0.03211763615480273,0.02992883849410114,0.0,0.0,0.0,0.0,0.026145140650009762,0.17864322408573474,0.005497631489216406,0.053401711155483464,0.17017703644917398,0.0004991732623536765,0.09662164500935418,0.0,0.0,0.0,0.0,0.0,0.0,0.018361348038531396,0.009924085444801669,0.0,0.040028557341575226,0.0,0.0006981100593397526,0.05889381201695866,0.0,0.0,0.0769288180941617,0.17736967759659122,0.1106007240706282,0.0,0.08541514640932997,0.0,0.0,0.0,0.0,0.0,0.003338472099063492,0.0,0.32962575240337466,0.0,0.03088698994094708,0.0,0.0,0.0,0.0,0.0,0.0
50300408_pool3,0.004176467003844461,0.10142184697879912,0.013081898938002245,0.0433679540307008,0.03421137271224189,0.0,0.0,0.0,0.0,0.028423529016273,0.17864322408573474,0.005574462764455245,0.04739954451491916,0.14693334366587216,0.004929335965742555,0.11254828979111585,0.0,0.0,0.0,0.0,0.0,0.0,0.02051395100303914,0.010003215676614247,0.0,0.03251531995692689,0.0,0.0009390071924922024,0.05124213449057031,0.0,0.0,0.06336983773788084,0.1866623735218412,0.08628242771625372,0.0,0.07269374162496167,0.0,0.0,0.0,0.0,0.0,0.0014605815433402778,0.0,0.2956513399324277,0.0,0.029641839011670338,0.0,0.0,0.0,0.0,0.0,0.0
51624179_pool0,0.008814044596929098,0.11877032080412002,0.012280977155976676,0.017258425172475386,0.0203729150617222,0.0,0.0,0.0,0.0,0.017898143638311083,0.17028120083065781,0.006746445923325509,0.06131303806508543,0.18428927849617865,0.0,0.04247105275136447,0.0,0.0,0.0,0.0,0.0,0.0,0.015656679531135944,0.010756331302601684,0.0,0.047139553458240155,0.0,0.000255645937223008,0.0773938201727531,0.0,0.0,0.08106851246858789,0.16472755626453,0.11397515231119518,0.0,0.06784749218329757,0.0,0.0,0.0,0.0,0.006942409551348045,0.009250349774488426,0.0,0.42076127243392364,0.0,0.0308225954589448,0.0,0.0,0.0,0.0,0.0,0.0
51624179_pool1,0.008613121308585275,0.1321153006697515,0.01365996145798659,0.02887211498184318,0.027798567570464526,0.0,0.0,0.0,0.0,0.021856480336942395,0.16800064903381862,0.0059269455673461565,0.05829499610453909,0.15938532194264096,0.0016223131026494486,0.10033786212509857,0.0,0.0,0.0,0.0,0.0,0.0,0.01979028505584952,0.011411830722114448,0.0,0.042286621748907856,0.0,0.0007767703477160626,0.06392110361124863,0.0,0.0,0.07301133046556159,0.19014786064669845,0.11559284406146539,0.0,0.08238624050828991,0.0,0.0,0.0,0.0,0.0,0.0018778905557232145,0.0,0.365851527393797,0.0,0.029247721082395182,0.0,0.0,0.0,0.0,0.0,0.0
51624179_pool2,0.009333954243833861,0.11943756979740158,0.014802036410198326,0.036080349870521,0.030200315787870524,0.0,0.0,0.0,0.0,0.02462381246284089,0.1634395454401403,0.006327120838641885,0.06377070728313122,0.18594954226641447,0.0,0.08388032918394484,0.0,0.0,0.0,0.0,0.0,0.0,0.02029817310092174,0.012658368139351596,0.0,0.03479167813489957,0.0,0.0006882775232927138,0.05707801473573596,0.0,0.0,0.05081708327373869,0.17963422968199996,0.1362281159515252,0.0,0.10116545709473834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4193489514112835,0.0,0.02771191356573604,0.0,0.0,0.0,0.0,0.0,0.0
92393245_pool0,0.009540343040429307,0.13278254966303304,0.017590224199776346,0.020125606733657913,0.030988966093329576,0.0,0.0,0.0,0.0,0.030096963390930383,0.17788304015345502,0.008829415384434519,0.06488918395202418,0.180138619070589,0.0,0.08494210550272895,0.0,0.0,0.0,0.0,0.0,0.0,0.01735778622479343,0.013524553355362238,0.0,0.04811777589878871,0.0,0.0002802272773406049,0.07467919611354032,0.0,0.0,0.06270419145510964,0.10529771432578847,0.10863142884610368,0.0,0.032712183731232754,0.0,0.0,0.0,0.0,0.0001456319809463747,0.006190083683680225,0.0,0.35447128559659397,0.0,0.030812245917155704,0.0,0.0,0.0,0.0,0.0,0.0
92393245_pool1,0.010466708415954977,0.08740961811988608,0.009667514808136934,0.017435669073736528,0.027065673495737807,0.0,0.0,0.0,0.0,0.02443236850431584,0.17940340801801447,0.0075022397030020905,0.05904821750398921,0.1710071683342919,0.004991300584424755,0.10068488987517751,0.0,0.0,0.0,0.0,0.0,0.0,0.012760951142065333,0.012248943456096251,0.0,0.042131826485827625,0.0,0.0007472727395749463,0.06678729746450517,0.0,0.0,0.05300185742195004,0.1488004199617152,0.1282448745754005,0.0,0.09631920765307421,0.0,0.0,0.0,0.0,0.009320446780567981,0.0014605815433402778,0.0,0.36541215127711824,0.0,0.026120261725739106,0.0,0.0,0.0,0.0,0.0,0.0
85171938_pool0,0.017963013172324432,0.13611879462944093,0.013175617007055052,0.019797443410767723,0.027680388240959808,0.0,0.0,0.0,0.0,0.035106082798633545,0.17560248835661588,0.015398758412623,0.08774641026917926,0.1668565089087023,0.0,0.061583026489478485,0.0,0.0,0.0,0.0,0.0,0.0,0.018133133808605546,0.02235973956077102,0.0,0.06084924552342654,0.0,0.0002703947412935661,0.07803734848409873,0.0,0.0,0.06719381300248106,0.11747086049061951,0.18167295298651692,0.00999242735972439,0.07996311578745785,0.0,0.0,0.0,0.0,0.0,0.012519270371488096,0.0,0.36208075468640805,0.0,0.0319154310895568,0.0,0.0,0.0,0.0,0.0,0.0
85171938_pool1,0.030940046201313354,0.1067598389250517,0.006262424852636775,0.01828844612702223,0.022656685868529737,0.0,0.0,0.0,0.0,0.029323882863066263,0.1771228562211753,0.02073243592969556,0.08374816379367851,0.15274426686169762,0.001871899733826287,0.10299230292205884,0.0,0.0,0.0,0.0,0.0,0.0,0.01917463840768423,0.030554153649124553,0.0,0.054229793900364025,0.0,0.0007772992665525106,0.06445583712397987,0.0,0.0,0.05150145543646128,0.16820942296642183,0.1756519826201502,0.18985611983476341,0.0781457722468338,0.0,0.0,1.4303737033044598e-05,0.0,0.007718494990157859,0.007720216729084326,0.0,0.3332311839352553,0.0,0.025985410502745533,0.0,0.0,0.0,0.0,0.0,0.0
