,regulon
11,"[PDIK1L,TP53BP2,YTHDF2,HEATR5A,CPNE1,POT1,SLC37A1,SPG11,NCKAP1L,DDT,COPS2,RPAP3,BLM,TPTE2,TMEM33,TBC1D14,BEX2,RHBDD1,BECN1,NUB1,FBXL4,QRSL1,EIF2A,NBEAL1,ZNF93,TBC1D9,DDOST,PUDP,KCTD12,ALG5,C2orf27A,ACAP2,TBL1XR1,ZSCAN16-AS1,TMEM38B,ACTL6A,BCLAF1,SASS6,ARID3A,PFN1,MIRLET7BHG,OTUD6B,GNPNAT1,CPSF2,PRRC2C,CREBRF,PDLIM5,DDX39B,CRYZL1,UNC80,TPRKB,CRIP2,C1GALT1,UGGT2,RIPK2,NUCKS1,RIMS1,USF1,LRR1,MBTPS2,AP1S2,TMCC1,BDP1,PRIMPOL,SFT2D1,LINC01572,KANSL1L,SYN3,CENPJ,TEFM,ZNF75A,ARNT,SLC25A53,HORMAD1,ARHGEF12,PRKCSH,RREB1,DRAM2,C9orf72,SUMF1,PLCD1,LSM8,SH3BP5L,LMAN1,MAP3K4,ZCCHC7,CHURC1,ZFP62,AP1G1,KCNK6,RUFY3,TRIM8,FBXL17,SLC9A9,AFF1,CCDC174,TBC1D31,POU2F1,FABP5,UBE2G1,ZNF585A,BIN3,STARD3,PLCL2,DDX60,FBXO28,MAPRE1,CDKN2B-AS1,KAT5,TFDP1,DSC2,RHOBTB1,TUBA1B,RPL21,ATP6V1H,LRP10,KRIT1,GTF2H2C,SPDYA,GFOD2,FNDC3A,SLK,MARCH6,RSL1D1,SHPRH,SENP1,APEX2,TTPAL,TYSND1,YTHDC1,CFLAR,GABPA,CDKN1B,KATNBL1,TRPM4,BCL2L11,PSMA6,FAM122B,EFCAB2,IGF1R,TAB2,ERCC6L2,SGTA,APBA1,ACSL4,UBR1,COX20,ZNF391,SUMO1,MRPL41,ABRACL,EIF3G,JADE1,PTPDC1,CISD2,SHC1,ARL4A,TMEM267,WDR5B,C5orf34,UTP23,MAP3K13,ZDHHC17,TOMM70,NEK1,MAN1A1,HIPK3,RBFOX3,SLC36A4,SNRNP27,ZC3H12C,HBS1L,DNAJA1,CDK8,PTER,ACBD5,SEC14L1,B3GAT3,RNF34,PIGC,MBNL3,KDM4C,SYPL1,RGL1,INTS4,XRCC4,PAM16,DDX18,ADI1,NAF1,ASB7,RPL34-AS1,GTPBP10,MAP4K2,B3GNT5,MIS18BP1,SEC24C,PDCD4,AGPAT5,CYP4V2,SPINT1,RYR2,ATOH8,PTGR2,DGAT1,WDR83OS,CHCHD5,CEP112,MRC1]"
12,"[SERTAD3,ERBB4,FAM177A1,RASGRF2,CHL1,CCSER1,WASF1,RASGEF1B,KCNQ5,ZHX1,DNAJC2,DUSP8,BHLHE40,AHI1,DFFA,SGCZ,RBMS1,JUND,SPTBN1,NR1D2,NELFB,DLGAP1,DNM1L,LMF2,NFKB1,GRM5,NIN,GSPT1,KCTD20,DPP10,PTPN13,TLK1,SPRYD4,ZSWIM6,DENND5B,BRAF,CLTC,C16orf87,KLHL5,LRRC1,NAA15,PSMD14,KMT2E,GPD2,SEMA3C,FAM133B,KIF13B,FAM200B,TIFA,KIAA1958,FBXO25,RGL1,SLC16A7,CHMP2B,CACNA2D1,TOX]"
13,"[BAZ2A,KLHL23,PDIA6,TMEM8A,C22orf34,KIAA0513,CYFIP1,ZNF546,FGFR1,TM9SF2,ZFYVE27,C2orf74,DEPDC5,PNKP,NUP214,DHX36,UBE2I,SNRPB,KAT7,TEX10,GGA1,ITGB1BP1,ALG13,ERCC5,LINC01578,AFF4,PTGES2,SRSF5,TIMM23,LUC7L2,MARK2,SP1,FBXO11,RAB15,TTC39B,EIF2S3,RAB11A,AP1AR,SRPRA,GPR108,RPS6KC1,RPS14,UBE2E3,SLC25A46,ATRX,USE1,EIF4G3,ABCC4,TSR2]"
14,"[TMEM19,RUNX1T1,PRKD3,MBNL1,LEPR,GFPT1,RRP1,LRRC58,ZFX,ZNF717,BNIP3L,DOK6,SLC20A2,ERP29,PRRC1,DNAJC1,MTUS1,USP9X,NEK1,TICAM2,TUBGCP5,ZNF292,METAP1D,LIFR,NAA40,ADCK1,MICU1,DENND5B,UBAP2L,DOCK3,HELZ2,SLC39A10,PHF3,ASPH]"
15,"[ITM2B,HPGDS,KLHL36,SMAGP,CAMKK2,PM20D2,TMEM44-AS1,GLS,ATP2C1,SNHG4,RASGRP1,OPN3,SCRN2,SELPLG,SYT6,OMA1,MEMO1,GRID2IP,DPEP2,FAM149A,HSPBAP1,CSGALNACT1,KHDRBS3,TLE1,ZNF518B,SLC40A1,ARHGAP24,GOLGA8O,TP53INP1,MIR31HG,CEBPA,KLF3-AS1,SCYL3,ZNF652,CXCL12,FER,TRANK1,MEF2C,MYO5B,GNB4,IRF2BP2,CTSZ,RASSF8,PTGS1,HTRA1,MEF2C-AS1,SURF6,PTPRB,BNC2,TPST2,G2E3,MEI4,SLMAP,PRKAR1B,RABGAP1L,SLTM,CD63]"
16,"[HELZ2,FAM160A2,NLGN4Y,CD44,CALCB,DENND6A,UPP1,FAS,TSHZ3,SFI1,ARRDC1-AS1,GGA3,BCL6,ZNF549,ZBTB46,SRM,ARF1,POMP,ADCY3,SYVN1,UTP14A,RBX1,HAUS1,LINC01001,MTHFD2,CUL1,LUC7L2,DPYD,HIVEP3,CEBPB,SRBD1,FANCM,PALM,UNKL,NDUFS3,EIF4ENIF1,NR4A2,PPP6R3,MFN1,MSL1,GLRX3,IFNGR2,BCS1L,GABBR2,PAQR3,C16orf87,BASP1,SERP1,RANBP2,PLSCR4,CARS,CAPZA2,SLC16A3]"
17,"[POLB,FRMD4A,ZBTB10,L3MBTL4,NEK3,AOAH,FAM214A,LGALS8,CLEC4E,UBXN1,PDCD4,SLC35D2,CNGA1,ZNF85,CEMIP,WBP2NL,RINL,TBC1D5,CTTNBP2,LINC01023,TFRC,IL6ST,SENP7,SLC25A45,PELI2,PLCG2,CCDC102B,MCCC1,FZD2,MGAT1,ERP29,CIITA,PHIP,CHIC2,CBWD6,ZDHHC14,OIP5-AS1,AKR1B1,CEBPD,ARHGAP21,IL16,CAT,APOBEC3C,PCSK5,TXK,LINC00865,PRKAG2,SEC24B,ZNF33B,SOX6,MYOM1,MX2,PCTP,ZNF879,SHMT1,PSAP,SLC38A2,PFN1,RAB29,SLC37A1,MAFG,ZNF292,ARID3B,MBNL3,DIRC3,SERPINF2,TNFSF13B,TMBIM6,BISPR,NAA50,CDK19,VAPB,HERC3,MTFR1,CD2AP,ZNF710,ZNF516,CYLD,PAFAH2,TMEM168,MIR99AHG,KCNE3,C1GALT1,FAM76B,NUTM2B-AS1,PARP4,FBXL4,STXBP3,LNPEP,FAM13A,CNOT2,TUG1,AUH,NBPF11,HERC5,DISC1,SAP25,MEF2C-AS1,IKZF2,TAF1,YAF2,GAA,CBWD3,MSL3,RYK,BAZ2B,PHF20L1,MKLN1,ZNF43,METTL17,CD93,GNB4,NOD1,LARP7,FMO5,PPTC7,MPZL1,VPS36,SH2D4A,TNKS,HLCS,ZBTB37,ANOS1,LRRFIP1,CLINT1,CAPS2,CEP162,FOXO3,ZNF641,ACBD6,MBIP,TTPAL,ZNF678,ZNF451,GPHN,CBX3,HERC4,P2RY1,DENND4B,PDLIM5,TMIGD3,ENOSF1,PRDX6,BAG3,ELF2,LDLRAP1,EXT2,NNT,TET2,RASAL3,IFI44,NOTCH1,HACD2,BTBD7,IFIT3,TGIF2,SLC25A43,ARAP1,RC3H2,TCAIM,TLE4,TRAPPC8,NDUFA4,ALDH18A1,TANC1,DARS,SERGEF,CASP8AP2,HNRNPD,TJP2,TMEM170A,FIP1L1,SLC20A2,SMARCC1,KIF27,DDX60,TXNDC11,RPL18A,CCT2,RSBN1L,CMPK1,INO80D,SPCS3,ANKHD1,ATXN7L1,ISYNA1,DSTYK,ASXL2,PPM1L,EPB41L2,MMAA,C2CD2,SLC17A7,INTS6-AS1,MTA3,UBA7,NEK7,ZNF644,CD59,ERVK13-1,CREBBP,SPATS2L,TCEANC,XPO7,FNTB,HIVEP2,PARP9,LMO1,CKAP5,CADPS2,RAB3IP,ZNF75A,MAP2K2,SPAG6,ETV6,PRKD2,ANO10,SACS,MPV17L2,OLFML3,NSUN7,PRRG4,SMIM14,DSCAM,LIPA]"
18,"[TCAF1,CDIP1,EIF5,KPNA5,SUGT1,COMMD4,RINT1,SCG3,RPS5,MAML2,MARCKS,VPS28,NBPF15,TUBE1,APBB3,CHTOP,MSH4,RNASEH2C,ACADM,WRAP73,ACVR1B,ZRANB1,GPR89A,PPIL3,VCAN,C18orf25,UROD,BVES]"
19,"[STXBP5L,EIF3E,C2orf27A,LAGE3,TAF12,STIM2,COX4I1,UXT,CEP72,RPL19,MRO,NEDD4,EIF5A,ITGB1,VRK1,APOL6,NPEPPS,BLMH,COX14,IFT27,MT2A,PLSCR1,VAMP3,RANBP1,TNFAIP8,FANCL,SSR2,ARMCX6,PRPSAP2,IMPDH2,NGRN,RPL24,TMLHE,ACACA,ZBTB48,RAB3GAP1,REXO2,ARNTL,PSTPIP2,ROR2,CAMSAP2,SMCHD1,CCDC150,FH,MGAT4A,VPS33B,ZC3H15,CYLD,TAF1D,CDC16,ACTR6,RPL7,TMEM123,PHIP,FBXL17,LDHA,C2orf69,SNHG15,SPSB2,NUDT1,NBN,MTMR6,PFDN5,DPM1,CIB1,IDH1,SLC7A5,SNAP47,BAG4,VRK3,EIF2AK3,RAB28,SEC24A,PPP2R2A,RPS11,POLR3B,PDE12,SF3A1,SNRNP40,CLOCK,PRKAR1B,RAB6A,SPIN1,LGI4,CLASRP,AFG3L2,H1FX,PSMD9,PTAR1,CTSB,SPATA13,RCC1L,CLPTM1,DDX60L,CLIC1,CDK8,IBA57,ZNF638,CHMP1B,ILF2,KTN1,FAM185A,TPD52L2,CD99L2,GRIPAP1,UBE2Q1,TMEM243,VAV3,GNL2,ZFAND3,KNTC1,HERC5,PPIL1,FXR1,HIST1H2BH,GSDMD,CBFA2T3,MTBP,TXN2,BTBD1,MIF4GD,CLTC,TMCC3,DGUOK-AS1,SLC1A3,OSTC,TRIM35,CSTB,BACH1,ACBD7,NFYA,IFI27L2,INF2,ZNF100,BBX,SCLY,ERCC5,PNRC1,MECR,ZNF330,PIGA,RPL17,C1orf35,NBR1,ABRACL,ROCK2,HAT1,TAB3,RAB11FIP2,PRKD1,SNRPG,FAM184B,ZEB2,NARS2,SEPHS1,RSF1,MRPL47,ATP13A1,POLI,EIF4B,AP3B1,FAF1,C5orf34,KLF12,MRPS10,EEF2,MRPS21,TP53BP2,NFRKB,DNAJC9,MBD2,MCOLN1,ISOC1,ME2,UTP14A,CHMP2A,CASP5,M6PR,H3F3B,COG4,SRPRA,SYMPK,LATS2,ZNF185,STT3B,TADA3,AGO1,PPIG,RASA2,IPO8,CEP350,RXRA,RPS18,SLC38A7,TMED9,PDSS2,PRDX6,DESI2,PLCE1,TSEN2,TRPM7,PTRH2,TMOD3,POLR2H,RANBP9,CARS,PURB,ERAP1,NR2F6,ATF6,ZNF746,VPS72,SLC16A3,E2F4,POFUT2,WWC2,GOLPH3,PHF10,UGGT1,OSBP,TTTY14,PTPN12,EIF3D,KCNMA1,EMILIN2,S100A13,SF3B1,STAM2,CPQ,ZNF525,NOL7,SUMO1,PDCD6IP,ZNF555,TXNDC5,ZNF621,USP36,UBP1,INSR,SSR3,ERBIN,TRAPPC4,ESD,ERP44,MAFK,ZNF195,HLA-DQB1,CDK17,ZFP36L1,USP47,LRRC37A,PPIB,EPC2,EFR3A,IL15RA,SESTD1,SRP19,SLK,CD274,CCDC115,KPNA3,IPO11,SUCLG1,MARCH6,RAP2A,LRRFIP1,MYL12A,PPP3CB-AS1,MFSD14C,SMARCE1,RPL13A,EMSY,RNASEH1,CD302,SERBP1,NRF1,WDR60,TBC1D13,MEF2C,TMEM255B,GIPC2,PKD2,NAA40,TMEM267,CTNND2,WIPI2,ATG5,MERTK,ZNF622,UBAC1,CEP120,GDI2,C20orf27,ZBTB18,FBN1,NSRP1,CDK12,MTPN,TAF10,NR1D2,NDUFS2,LARS,COPS8,CLCN7,PMVK,GLYR1,AFTPH,ABHD11,ZFP36,NAP1L1,NARF,ESCO1,PSD3,RDH13,ADAR,MUTYH,CCDC66,CSNK1A1,TMEM86A,HECTD1,DAP,FNBP4,TIPARP,DDT,NOTCH2,USP48,KCNB1,NDUFC1,SGIP1,DENND2C,PLK4,SLC35B1,SMIM19,EIF3A,PDE4A,TPRG1L,CCSER1,LIN52,ESR1,ZNF613,MORC4,YIPF5,RDX,ZC3H18,CFL1,PNPLA8,ZNRF2,MYL6,AGAP3,ZNF644,PDIA6,ARMCX2,SRP14,ALG10B,SRM,ZSCAN9,SUB1,LARP4,DICER1,TRAF5,G3BP1,ITM2C,TTC19,RPL15,DUSP10,SHCBP1,CCDC59,SORBS1,CDK4,ZNF432,PHTF1,ZNF846,ICA1,GTF2B,PEX26,FAM177A1,COPS2,LRFN5,EIF1B,AP3S1,TPM2,STXBP6,AIMP2,MID1IP1,KHSRP,COX8A,CYP51A1,TMEM70,ATXN7L3B,VPS13C,HDAC5,NOCT,HIVEP2,MXI1,CBLN2,HYOU1,MKKS,SMAGP]"
20,"[KLHL24,SOCS4,PIBF1,RPS14,LSM8,MBNL1,UMAD1,PDCD2,CASP3,EPB41L5,PDCD4,CREB1,OMA1,RORA,SRGAP1,PELI1,IL6ST,SLC18B1,ZNF273,NBPF12,BAZ2B,TASP1,COBLL1,GNAI3,VPS36,PKN1,PEX2,PNISR,CYB561A3,SENP1,POLI,SF3B3,BCL2L11,LINC01578,CDK17,AASDH,NMI]"
