Cell,ATF3(+),ATF5(+),BCL6(+),CEBPA(+),CEBPB(+),CEBPD(+),CREM(+),ERF(+),ERG(+),ETS1(+),ETS2(+),ETV1(+),FOS(+),FOSL2(+),FOXN3(+),HES5(+),IKZF1(+),IKZF2(+),JUN(+),JUNB(+),KLF3(+),KLF4(+),KLF6(+),MAF(+),MEIS1(+),MITF(+),NFATC2(+),NFE2L2(+),NKX6-2(+),POU2F2(+),PPARG(+),RB1(+),SOX2(+),SOX8(+),SOX9(+),SREBF1(+),SREBF2(+),STAT6(+),TAL1(+),TCF12(+),TFEB(+),TGIF1(+),TRPS1(+),ZNF354C(+)
50300408_pool0,0.00044326390895912374,0.0,0.05471960587293604,0.0,0.0063238447966745175,0.002151284794778172,0.2150092928274626,0.0,0.0,0.002111035585947486,0.0,0.0,0.0007075499173592026,0.0,0.28941363870889414,0.0,0.0,0.09076511408496706,0.0037504713973641702,0.001739226303349565,0.10729434028933399,0.0,0.0,0.03718004920814443,0.22491993440986116,0.2508016913038127,0.0,0.04803754003588432,0.0,0.0,0.33153095507290203,0.12834905662147347,0.0035665865366971833,0.0,0.0,0.0,0.03695544815911589,0.0,0.0,0.32123172269740524,0.007832070253202962,0.0,0.36372603524369135,0.0
50300408_pool1,0.00017279779501796347,0.0,0.08428076374923857,0.0,0.01276260837189703,0.0019807190690881316,0.22440348554916995,2.388725382157826e-05,0.0,0.014988352660227152,0.0,0.0,0.0020141697099300003,0.0,0.3118034646071028,0.0,0.0,0.07592035243555656,0.004732562730160406,0.0025158253851572374,0.0849042774167457,0.0,0.0,0.039388792979457556,0.24974878126166547,0.20834339226485005,0.0,0.046538589066152755,0.0,0.0,0.21593779088958226,0.12287101999207642,0.005516320510091644,0.0,0.0,0.0,0.0351076757511601,0.0,0.0,0.27887121893779077,0.0,0.0,0.26640566454293313,0.0
50400385_pool0,0.00024041432350325353,0.0,0.04530183483552841,0.0,0.004245214160669806,0.0014630611918354942,0.21341620709937847,6.8249296633080746e-06,0.0,0.0,0.0,0.0,0.0002293696985035421,0.0,0.26483376734589187,0.0,0.0,0.09373406641484915,0.0027283483239280222,0.0012037589972306519,0.11018416421428913,0.0,0.0,0.034843134507289354,0.2132814178483121,0.26250609092028077,0.0,0.04694427234021616,0.0,0.0,0.3598448119912387,0.1263726598674921,0.0028532692293577466,0.0,0.0,0.0,0.021117398948066225,0.0,0.0,0.3357714613487979,0.011528103406399866,0.0,0.36454093389974684,0.0
87779516_pool0,0.00015777189979901014,0.0,0.0830247532699852,0.0,0.015576439651107709,0.0021358586554417478,0.22962159562484477,0.0,0.0,0.007599728109410949,0.0,0.0,0.001504006011753873,0.00011957108032529596,0.30649381944732185,0.0,0.0,0.09458233850910118,0.005665770497937045,0.0032624626093054943,0.10850906836315176,0.0,0.006177846599337181,0.032360903763749754,0.21086245548140936,0.2295554118928453,0.0,0.04606223354163389,0.0,0.0,0.2667703421612745,0.1274448530687981,0.007841419132168476,0.0,0.0,0.0,0.04170686292243079,0.0,0.0,0.3136824444361164,0.0,0.0,0.36942105720758317,0.0
87779516_pool1,0.0,0.0,0.095143728630503,0.0,0.014662370083803642,0.0016931523252974642,0.23216173059330775,0.00019792296023593415,0.0,0.015832766894606148,0.0,0.0,0.002181462238083258,0.00015040522372235338,0.30961717283109313,0.0,0.0,0.07507208034130454,0.00439235943128971,0.002528856384045054,0.08656312140315828,0.0,0.0,0.03241219746447057,0.24468263483102357,0.2046017222160743,0.0,0.043780622780042744,0.0,0.0,0.23875808512620797,0.12802079362162058,0.007180727560550329,0.0,0.001635300155772898,0.0,0.03009229350099437,0.0,0.0,0.2868325192693551,0.0,0.0,0.2847784880689704,0.0
51624179_pool0,0.0005259063326633672,0.0,0.06951800183000327,0.0,0.010525962504077765,0.0021033927431749672,0.22072280652103043,0.0,0.0,0.0,0.0,0.003070054132802896,0.000406609920074461,0.0,0.29386287767857827,0.0,0.0,0.09373406641484915,0.003061327095351403,0.0023478095138694216,0.10896598013142156,0.0,0.0,0.02783806839092145,0.2192147869775049,0.2297190948731473,0.0,0.04610292622855168,0.0,0.0,0.2559127515433839,0.12001505764860104,0.0070980892495801735,0.0,0.0,0.0,0.04249876538298328,0.0,0.0,0.3278621751268168,0.004136037100006059,0.0,0.3675091150756969,0.0
50105437_pool0,0.000261961026842511,0.0,0.06818630773366863,0.0,0.02511788345741507,0.002257455807939337,0.2098444949640841,7.507422629638882e-05,0.0,0.0,0.0064294744689750395,0.0,0.0007423186573905498,0.0,0.26850086596272243,0.0,0.0,0.08779616175508496,0.011126953824377282,0.002097888741094993,0.10517431132699737,0.0,0.0,0.06323328651817316,0.18680950315056574,0.21450717706001576,0.0,0.050643488140612036,0.0,0.0,0.2834666754756966,0.11679160482910166,0.01202347091953896,0.0,0.0,0.0,0.02666071617193361,0.0,0.0,0.291895519669396,0.0,0.0,0.33497702772926463,0.0
50108886_pool0,0.00034559559003592694,0.0,0.07722379298766087,0.0,0.01508678474303477,0.0021337771339491555,0.23104419262481088,0.0,0.0,0.0,0.001895003001382117,0.0,0.0004639523447003465,0.0,0.29140998590324246,0.0,0.0,0.0979754268861093,0.00461086385948309,0.0020909828291923306,0.11203654229186955,0.0,0.0,0.044074219306560844,0.20958447816476533,0.25317520571331015,0.0,0.04766408165924625,0.0,0.0,0.31633377527959133,0.12395835888378598,0.005896756407339343,0.0,0.0,0.0,0.03721941564596672,0.0,0.0,0.3321274083338251,0.002816025259578593,0.0,0.3640427515424672,0.0
50106578_pool0,0.044209853021812254,0.0,0.10408864976594605,0.0,0.02200471814052221,0.0025730920913609344,0.21504887974960565,0.0,0.0,0.021743666535259106,0.0,0.0,0.04518549140732484,0.0058988399627146,0.3307086865508995,0.0,0.0,0.09585474665047923,0.014703241501502649,0.027522936940380747,0.1010828229029277,0.0,0.010109203526188115,0.03832590755233653,0.1878592340835885,0.19365184977721456,0.0,0.04246401441271032,0.0,0.0,0.24836130875531703,0.11565786728657372,0.007513608970642066,0.0,0.0,0.0,0.04777811511999983,0.0,0.0414259276629568,0.28871350459517936,0.00035200315744732415,0.0,0.34378229191326143,0.0
9650662_pool0,0.0,0.0,0.07407176111905148,0.0,0.017374961037382577,0.002449537885264873,0.21412151552231554,0.00032418415900713356,0.0,0.0,0.0,0.0,0.0003596933908351001,0.0,0.2978303244630783,0.0,0.0,0.08779616175508496,0.01010071322496095,0.002176329267299088,0.09799701946997773,0.0,0.0,0.018865072422977594,0.19461418650932186,0.21366586714821412,0.0,0.039942784174119506,0.0,0.0,0.2334690771782753,0.11743300749340668,0.008131817303669577,0.0,0.0,0.0,0.04329066784353576,0.0,0.0,0.3183436763085669,0.0029040260489404243,0.0,0.35767306942515414,0.0
