Cell,ARID3A(+),ARNT2(+),ARNTL(+),ASCL1(+),ATF2(+),ATF4(+),ATF6(+),BACH2(+),BCL6(+),BCLAF1(+),BHLHE40(+),BHLHE41(+),BPTF(+),CCNT2(+),CEBPD(+),CEBPG(+),CHD1(+),CLOCK(+),CREB3(+),CTCF(+),CUX1(+),DBP(+),DEAF1(+),E2F3(+),ELF1(+),ELF2(+),ELK4(+),EP300(+),ESRRA(+),ETS1(+),ETV1(+),ETV5(+),ETV6(+),FOXG1(+),FOXK1(+),FOXN2(+),FOXN3(+),FOXO1(+),FOXO3(+),FOXP1(+),GABPA(+),GMEB1(+),GTF2IRD1(+),HCFC1(+),HIF1A(+),HIVEP2(+),HLF(+),HLTF(+),HMBOX1(+),HMGA1(+),HSF1(+),HSF2(+),IKZF2(+),ILF2(+),IRF1(+),IRF2(+),JUN(+),JUND(+),KLF13(+),KLF3(+),KLF6(+),KLF9(+),MAFG(+),MECP2(+),MITF(+),MXD4(+),MXI1(+),MYRF(+),NFATC3(+),NFE2L1(+),NFE2L2(+),NFIA(+),NFIC(+),NFYB(+),NFYC(+),NKX6-2(+),NR1D2(+),NR2C2(+),NR2F1(+),NR2F6(+),NR3C1(+),NRF1(+),PBX1(+),POU2F1(+),POU2F2(+),POU3F2(+),PURA(+),RAB18(+),RAD21(+),RB1(+),RBPJ(+),RFX2(+),RFX3(+),RFX4(+),RXRA(+),RXRB(+),SATB1(+),SMAD1(+),SMAD3(+),SMAD4(+),SMAD5(+),SMAD9(+),SMARCC1(+),SMARCC2(+),SOX10(+),SOX15(+),SOX5(+),SOX6(+),SOX8(+),SOX9(+),SP3(+),SREBF2(+),STAT2(+),STAT3(+),TCF12(+),TCF7L2(+),TEAD1(+),TEF(+),TFDP2(+),THAP11(+),THRA(+),THRB(+),TP53(+),UBE2K(+),USF2(+),YY1(+),ZBTB11(+),ZBTB20(+),ZBTB33(+),ZBTB4(+),ZBTB44(+),ZBTB7A(+),ZFHX2(+),ZIK1(+),ZNF133(+),ZNF148(+),ZNF280D(+),ZNF281(+),ZNF286A(+),ZNF304(+),ZNF337(+),ZNF432(+),ZNF507(+),ZNF580(+),ZNF592(+),ZNF667(+),ZNF736(+),ZNF74(+)
66754397_pool0,0.0,0.21171555436605793,0.0,0.0,0.09529393559373044,0.0,0.0,0.10090547462513481,0.0198604930204495,0.010706701857487365,0.0,0.0,0.024748960510034945,0.03693091180722885,0.01708374181136324,0.0,0.08578564885854464,0.0,0.0,7.715231708049443e-05,0.0,0.0,0.0,0.11978153827683495,0.008703801102707654,0.08053131004656336,0.0038062044008584806,0.17587100290263827,0.0,0.038858076045398544,0.10596545763014403,0.030452530964153617,0.0,0.0,0.01210740682667339,0.10258887950507342,0.013128432958207602,0.006926908176671812,0.08621126613480533,0.05942721462957584,0.013940833372635809,0.0,0.01605540822462067,0.0,0.0055759034381222435,0.14448402840089108,0.0,0.0,0.08598596244894466,0.0,0.0,0.0,0.24770013938626062,0.0,0.006311374668257951,0.07303461521737395,0.003950776291333991,0.0,0.0011129270898688523,0.0,0.0,0.0,0.0,0.0045056707935078755,0.1469558097946052,0.06261618620548697,0.0888144311680419,0.02791479533216376,0.0004563879611506535,0.0009253199410299026,0.05624182210078692,0.14384949850913323,0.0,0.0002087410705744204,0.0,0.008325226127076544,0.05176132365767612,0.008427764900803256,0.0,0.0037201664948787096,0.08211835325801481,0.024625881663622142,0.0789700530910394,0.09377477141566891,0.0,0.0,0.005348149195714582,0.0,0.0,0.09491234750591752,0.04807576993575822,0.00017830171027815038,0.14208313352381804,0.10783863010179605,0.12426729230777855,0.0,0.0,0.024179460414769288,0.07352888504038634,0.030622618160575838,0.015285406963958888,0.0,0.0,0.0,0.04076642640338999,0.0,0.23173821422921467,0.10043838587571997,0.056754303433197165,0.0,0.010080854622647767,0.003336392597117771,0.005905934033833653,0.06100446423713804,0.24733889026182249,0.10911052667439332,0.05819346390558275,0.0,0.06611401057482838,0.0,0.0,0.20391283564581983,0.0043234731716742985,0.025335842643783014,0.0,0.0,0.0,0.2265905078752412,0.003519755447883272,0.0,0.0922913687764979,0.005862372664251508,0.0,0.0,0.0,0.061138258121462084,0.21541059500286366,0.0,0.0,0.0,0.0,0.0,0.0,0.000158093551728956,0.0,0.0,0.052773470280162535,0.14305111080479252
66754397_pool1,0.0,0.2111102285760282,0.0,0.0,0.1035538628444611,0.0,0.0,0.09378604171796819,0.015065891663333164,0.010708456601307195,0.0,0.0,0.014215665898497582,0.03396433036697604,0.01682225596731176,0.0,0.1008952153063795,0.0,0.0,0.0,0.0,0.0,0.0,0.10949885564709337,0.004302480024082557,0.07055126580145145,0.0014703370161332193,0.17371469420568608,0.0,0.03977873723733246,0.10659465732509756,0.03078458178119599,0.0,0.0,0.012495453371382418,0.09629467544165574,0.014206140141344047,0.007845042286142747,0.09013943921018507,0.05667809549811677,0.017894315151469907,0.0,0.0060348881613444885,0.0,0.005205209905461635,0.12262897312727884,0.0,0.0,0.05885211764261255,0.0,0.0,0.0,0.24790082081429737,0.0,0.0,0.08923716884562105,0.005515940061702729,0.0,0.001099271542753897,0.0,0.0,0.0019647274191043735,0.0,0.0027179368980192672,0.16668122344346942,0.07925742488171998,0.08248651878107247,0.021497703763937497,0.0,0.0,0.07088697326039885,0.14943741284052767,0.0,0.0002634113509629591,0.0,0.0006738384389902702,0.0498104638758509,0.007801745419690958,0.0,0.0036736644136927256,0.08326581940866074,0.02421997090004898,0.07574373999686021,0.09718999983714845,0.0,0.0,0.005681838385724467,0.0,0.0,0.0897112343910407,0.04956924799589272,0.0,0.1306597093135366,0.07785965138426937,0.1239859992412063,0.0,0.0,0.025183760391711624,0.045186006280190705,0.023354888837683545,0.013484688841938146,0.0,0.0,0.0,0.04508168451453571,0.0,0.22029835596042524,0.0989670695804873,0.05481956028836795,0.0,0.009885855237076075,0.002697687581662379,0.004844748024827363,0.06307513374968482,0.2655133500028673,0.11029897711634826,0.06298449205845201,0.0,0.07549303802699499,0.0,0.0,0.2094565973604035,0.006667524891256749,0.025073401102763338,0.0,0.0,0.0,0.22660263345459156,0.0,0.0,0.07577013720571815,0.004409745399419753,0.0,0.0,0.0,0.048549087788812874,0.22144072081259242,0.0,0.0,0.0,0.0,0.0,0.0,0.00023219990410190412,0.0,0.0,0.03913538245495199,0.12241074086309484
66754397_pool2,0.0,0.20833721337564096,0.0,0.0,0.09520222259624392,0.0,0.0,0.08750042622247882,0.018643675482065795,0.009950358421274527,0.0,0.0,0.014558212064726439,0.03463029762907361,0.019393533433817965,0.0,0.08713450847115434,0.0,0.0,0.0,0.0,0.0,0.0,0.09475368546851427,0.007231783210214278,0.07651890196276095,0.0028982302315116977,0.16853325092346425,0.0,0.04096465553783957,0.1077469583287406,0.03642135119112035,0.0,0.0058323291037166245,0.010096629552034171,0.09399947618629298,0.013863233310346088,0.006760206017997931,0.08660764987519783,0.05592174890146717,0.018373312111045065,0.0,0.0,0.0,0.007185307370738499,0.12933310241231263,0.0,0.0,0.02609201442346291,0.0,0.0,0.0,0.24357119669394073,0.0,0.0,0.0787016781969886,0.004884825638166948,0.0,0.0010822021088602027,0.0,0.0,0.010478546235223323,0.0,0.0027706273614606586,0.1646958687292947,0.07784715041763243,0.08886885089345042,0.021587464531219076,0.0,0.0,0.0531054939039706,0.14635112047684123,0.0,0.00044564561892475465,0.0,0.0005106431920473142,0.04786592785789101,0.0074143795447311105,0.0,0.002813375911752024,0.0834506867189969,0.02676829898922964,0.0539259362465489,0.09707541999342675,0.0,0.0,0.005461881636950464,0.0,0.0,0.09832591316003643,0.06579987508909416,0.0,0.13399962630328435,0.08580589860417054,0.13369906279763663,0.0,0.0,0.0252434203531156,0.05908939282794169,0.0,0.021805028765687216,0.0,0.008715478043520358,0.0,0.03983765072838023,0.0,0.21005747496093388,0.09802675537057451,0.05414830152235141,0.0,0.008533109822834496,0.004740118750783175,0.005102245716635368,0.06748442213180748,0.2442007646747252,0.07727591673846919,0.060647405154613344,0.0,0.06648638800056637,0.0,0.0,0.1984572882228578,0.0046012867088099955,0.026950273873870466,0.0,0.0,0.0,0.22157704798315325,0.0,0.0,0.07139838300349448,0.005990686005509225,0.0,0.0,0.0,0.05921382108085524,0.20720832079053347,0.0,0.0,0.0,0.0,0.0,0.0012624795905698454,0.0003902934558308601,0.0,0.0,0.03176573251213636,0.07310589263538908
46000440_pool0,0.0,0.2302560047262522,0.0,0.0,0.10817935601284104,0.0,0.0,0.08128553607943352,0.024448859591812727,0.013153112591570487,0.0,0.0,0.02363568546979116,0.017920573598261866,0.005621945647106781,0.0,0.09089632220830333,0.0,0.0,0.015970529635662346,0.0,0.0,0.0,0.09795994219032636,0.0018049468817669255,0.09305751145642038,0.003291258126848794,0.16255393641318908,0.0,0.0407695820504458,0.06443393835222738,0.034888262114663796,0.0,0.0,0.009918506312609853,0.0934955436947999,0.00646624309881867,0.0024178934813278183,0.0713245288870316,0.04240047992354172,0.013300882924101826,0.0,0.0,0.0,0.006356122512448596,0.09871410793596419,0.0,0.0,0.050356560864525786,0.0,0.0,0.0,0.13235274110799322,0.003632978751956739,0.0,0.02700042158120622,0.004152732906865441,0.0,0.003989521434006356,0.0,0.0,0.0,0.0,0.006671299658774566,0.11867516901451149,0.07192399766846475,0.042658724194309196,0.02127330184573356,0.0019017179333662684,0.0020883367476454686,0.014689392707088843,0.14232606321859798,0.0,0.0005897763581309021,0.0,0.0,0.05254477081267288,0.008726430446200278,0.0,0.004533952915633427,0.09709259841732054,0.03226489057767434,0.01631570834364267,0.10641511002313574,0.0,0.0,0.006039649905167135,0.0,0.0,0.08671972124371093,0.046937881889941455,0.0,0.09521950601232144,0.13088582008364186,0.05809929813331688,0.0,0.0,0.02481094175928974,0.11415253735492388,0.007776135641738919,0.018199343844243755,0.002671556164969218,0.0,0.0,0.04480436175198483,0.0,0.22575327293739442,0.11179888229820377,0.042739151627271335,0.0,0.018514639869986253,0.0034121798027585064,0.004819942181208585,0.06543969834505589,0.17897776010719346,0.07945259247372086,0.06793039174843746,0.0,0.039895635521792004,0.0,0.0,0.18666008191198286,0.001805787991382036,0.03280941923824194,0.0,0.0,0.0,0.20737480778047473,0.0,0.0,0.0653371883996464,0.0065074180521771646,0.025000051476567926,0.0,0.0,0.0668069591537601,0.222056434311926,0.0,0.0,0.0,0.0,0.0,0.03456794054014879,0.00010868931681365725,0.03054070561466965,0.0,0.03710237557417526,0.08167873292227779
46000440_pool1,0.0,0.22926122010253433,0.0,0.0,0.10221270139272076,0.0,0.0,0.07226879951493513,0.020668169264940785,0.013441067404133136,0.0,0.0,0.021922954638646873,0.027001945354137816,0.0021790487004289846,0.0013870284652813415,0.08390909145444808,0.0,0.0,0.0187094368920199,0.010394378509926758,0.0,0.0,0.07274662908019701,0.004708116659536495,0.08782773380078557,0.004558490525510361,0.15812793411835227,0.0,0.03954487015783343,0.04505535116672661,0.03544212563352736,0.0,0.020889260361270767,0.005216147779657383,0.08863365288961275,0.006711585510293821,0.00341087116073221,0.06617631792843363,0.031123091912209477,0.014124060302368178,0.0,0.005810184878741236,0.0011659561426489177,0.00857267798642879,0.1110154298522772,0.0,0.0,0.06630513025137105,0.0,0.0,0.0,0.15404702099450915,0.02336665879099448,0.0011054645251740974,0.03924315945677779,0.004884825638166948,0.0,0.003908116798359319,0.0,0.0,0.0,0.0,0.011471893949052965,0.11612560329740634,0.08179591891707756,0.06156365864570514,0.021138660694811195,0.004284125257232188,0.0033362452919701996,0.022072542968243448,0.13629103370136786,0.0,0.0006875201927649561,0.0,0.0,0.04442926531765374,0.008862886296498456,0.0,0.004859506504506082,0.09052799127789414,0.03591651642293865,0.014766962776418941,0.10201963973078684,0.0,0.0,0.007290065722249231,0.0,0.0,0.09170901625879298,0.04743570790998629,0.0,0.09110632647488957,0.10459781556363246,0.045597287528102826,0.0,0.0,0.022952692615714337,0.07929275140514233,0.03477435928859824,0.03223551805191958,0.0,0.0,0.0,0.0449204847730274,0.0,0.19788079112303952,0.09908467447292316,0.04456009631985848,0.0,0.01899054654785542,0.002006704016639419,0.0035232004005242173,0.06251426384899825,0.19183088800322617,0.07763860159866988,0.05690806610847148,0.0,0.028944627769065742,0.0,0.0,0.1715706320990649,0.0031080389467056197,0.030363921226828287,0.0,0.0,0.0,0.19183084662591157,0.0,0.0,0.06354130163982652,0.002743070629576666,0.030041498321290192,0.0,0.0,0.055844111487202544,0.2104819119849015,0.0,0.0,0.0,0.0,0.0,0.03287507825217621,0.00027172329203414315,0.005151444320546688,0.0,0.047860370318285446,0.13613760477445194
46000440_pool2,0.0,0.22501120322684143,0.0,0.0,0.09807574900578803,0.0,0.0,0.07025127190454826,0.023708388957593987,0.011998643734421431,0.0,0.0,0.007536015657034862,0.02379319400039498,0.013205035124599647,0.0,0.07884560220838153,0.0,0.0,0.016703476647927044,0.007271184967037966,0.0,0.0,0.0766283696568726,0.002976569593451136,0.08861998143484473,0.004390957142966945,0.1595206445751466,0.0,0.0413775233793684,0.053539481478911896,0.03913693491007727,0.0,0.016118979270609266,0.003987165778556492,0.0939046252831919,0.013520326479348128,0.0033984680713795073,0.06635128885405799,0.031357142444587954,0.01249834694674866,0.0,0.0,0.0,0.010885771040662979,0.10278851119536014,0.0,0.0,0.06809446620938328,0.0,0.0,0.0,0.14660154557811664,0.001981624773794585,0.0,0.03457973467828178,0.00401388773368757,0.0,0.0038713872649225553,0.0,0.0,0.02043316515868548,0.0,0.006193465816417886,0.09752895043860726,0.0863087972021577,0.060683816499158376,0.021856746833063802,0.0002695348252015184,0.001998388685145175,0.026994643142346515,0.13648410660180266,0.0004956439945416589,0.000712370320214292,0.0,0.0,0.0493581127265828,0.013773815904321068,0.0,0.0038674230853009916,0.09661160846764641,0.036588358577289024,0.01675169247357153,0.10286679770432154,0.0,0.0,0.006532517373201179,0.0,0.0,0.08140999451262071,0.04736458990712274,0.0,0.09053803848431749,0.11872734660263876,0.05067045882438448,0.0,0.0,0.026130583481835907,0.12954340870181277,0.021806989082267837,0.0,0.0,0.0,0.0,0.039507938448858866,0.0,0.20628537506602665,0.11277949111175856,0.044720436802045495,0.0069202272086050995,0.01404093671462785,0.004884230422977589,0.003988855450175898,0.0662815733146649,0.18502921782703802,0.06579692502556352,0.06308230872244505,0.0,0.025778610981221077,0.0,0.0,0.18596378084946555,0.0,0.03190867970023702,0.0,0.0,0.0,0.1983521721069373,0.0,0.0,0.061208824299582666,0.0036566178439380796,0.0,0.0,0.0,0.054029253156083853,0.21185631827583246,0.0,0.0,0.0,0.0,0.0,0.03449187148930671,0.0004084083419664697,0.0,0.0,0.0444720255169909,0.04534418941540918
46000440_pool3,0.0,0.2151094421161822,0.0,0.0,0.08512552253043307,0.0,0.0,0.07247525777471739,0.022228466989302562,0.012529358667343752,0.0,0.0,0.00393928091163186,0.018828710773849462,0.011331053242230719,0.0,0.10089505344455861,0.0,0.0,0.018979470001801627,0.0,0.0,0.0,0.06641604257465153,0.006300810351929949,0.08734516759484501,0.004778806445859792,0.1568116303858605,0.0,0.04269890659746163,0.0553203752681937,0.03991476688114445,0.0,0.01303347013993817,0.0036058201560896144,0.0956794881405407,0.010238218239796227,0.0068887972324837435,0.06683612244812238,0.03151337965856193,0.012976352407725355,0.0,0.004718768934668297,0.0,0.009002335252691819,0.09589339239139068,0.0,0.0,0.044860108579575064,0.0,0.0,0.0,0.13786585861045164,0.0,0.00019740437949537453,0.02887352065263776,0.003950776291333991,0.0,0.004003471555207981,0.0,0.0,0.024755565480715103,0.0,0.00587190645347478,0.12412384880587073,0.08334722082757386,0.039043930296380806,0.02275435450587956,0.012388563727891995,0.003624877200181362,0.02445668524007462,0.14303058865696572,0.0,0.000619596511070105,0.0,0.0,0.04564197040790751,0.011608699321202042,0.0,0.0045184522219047655,0.09210306119406882,0.03579462305494063,0.023439050260194723,0.10137694777987659,0.0,0.0033153100124554647,0.005540723352921273,0.0,0.0,0.1037000335042902,0.0457999938441247,0.0,0.09655676438606361,0.1180389264495347,0.05015244736983945,0.0,0.0,0.026974649909354106,0.12624523494925524,0.016989165912929597,0.02854737318665629,0.0,0.0,0.00039334582391063516,0.04062865922953214,0.0,0.2032570563628608,0.10508399752063635,0.04288067199689806,0.012720036678674135,0.013050676566326221,0.003524622358422431,0.005372601678471476,0.06636118908132317,0.1890077190214352,0.07632016022358284,0.07534489064443409,0.0,0.028589059835525243,0.0,0.0,0.16582370988570916,0.0024655951420793185,0.033002764604457925,0.0,0.0,0.0,0.19774659333578673,0.0,0.0,0.049685154564955765,0.004114605944364999,0.03294205677989752,0.0,0.0,0.04719444519965131,0.21213956892216682,0.0,0.0,0.0,0.0,0.0,0.03937573801320602,0.00031454029562740204,0.014718412344419106,0.0,0.05090988063945054,0.046723830066993634
46000440_pool4,0.0,0.22124956957515496,0.0,0.0,0.0861728031088885,0.0,0.0,0.07192339926243638,0.028436294354510807,0.009870963429435626,0.0,0.0,0.010105111903751293,0.023551024086904956,0.010285109866024808,0.0,0.08227054302895064,0.0432780274723661,0.0,0.016780628965007538,0.019620585799903497,0.0,0.0,0.06257371974262807,0.005986346393304435,0.10325436662651342,0.005346843789605517,0.16226995509232486,0.0,0.03954881204800042,0.04952846455326104,0.039460465303414495,0.0012235659732357299,0.023269802852583673,0.003671759343919853,0.09256155037349675,0.02615299730353581,0.008260712517646526,0.07010226963749527,0.033328990546316835,0.014900789700964737,0.0,0.0,0.0,0.001633651347878461,0.11387403925111736,0.0,0.0,0.07279286598679297,0.0,0.0,0.0,0.15024724330033615,0.0,0.0,0.05082563419033766,0.0051246491191105446,0.0,0.0060433571671179845,0.0,0.0,0.0,0.0,0.006787575034090897,0.13171019777883897,0.08659085209497522,0.04800563453519392,0.023472440644132172,0.003159547117640021,0.00394746580347619,0.0272253665880076,0.13857014152764555,0.0,0.0006361632627029956,0.0,0.0,0.04495196602471791,0.01775190144255994,0.0,0.010678853938807043,0.09108854848458585,0.03355285381237152,0.016297878609620214,0.09110677472013588,0.0,0.0,0.007336638697939274,0.0,0.0,0.08961345272215648,0.048360241947212404,0.0,0.09381422022086268,0.13367589178613679,0.05249038422255387,0.0,0.0,0.02498078012961494,0.10822144906535101,0.023243883711719596,0.02964443911754445,0.001404632622818867,0.0,0.0,0.041727497577503526,0.0,0.20126927593310093,0.1060793928719349,0.049126607774769945,0.013510919788229004,0.011464610591186815,0.00624249316698106,0.005505066756315619,0.06510111045572023,0.24101216300759745,0.07283512571962619,0.07423614666458354,0.0,0.02164449919155161,0.0,0.0,0.16350341507126318,0.0028823154477828654,0.03617712464135498,0.0,0.0,0.0,0.19240774655070567,0.0,0.0,0.06333525415738635,0.002836056074647062,0.035428249744418085,0.0,0.0,0.040786125748347765,0.19661403732008723,0.0,0.0,0.0,0.0,0.0,0.0374874748909563,0.00025525521372904355,0.01729413450469245,0.0,0.037356501434272354,0.051230656195502856
89001223_pool0,0.0,0.22874852670756923,0.0,0.0,0.10820853595613508,0.0,0.0,0.07169722829936094,0.02088628451917002,0.012162411481741481,0.0,0.0,0.0208953161399603,0.028515507313450473,0.009457071359861794,0.0,0.1005254484223829,0.0,0.0,0.003934768171105216,0.0,0.0,0.0,0.0744768300150452,0.0017246958149151836,0.09183118976854575,0.0019483115248370634,0.16607689024134722,0.0,0.03960431865520679,0.0917005867695532,0.03193026641232959,0.0,0.005356220605454042,0.004876426303026637,0.09883437075675845,0.013324379718777864,0.005189606128815593,0.08325029411018565,0.04480786131857093,0.01847821367913249,0.0,0.0014445211024494786,0.0,0.0027069508563486973,0.0990568044868531,0.0,0.0,0.05768046023089287,0.0,0.0,0.0,0.1967272149371145,0.022706117199729616,0.0,0.06519283528745341,0.005781008119587757,0.0,0.0011112201464794826,0.0,0.0,0.0,0.0,0.007005591362809021,0.14194227954918232,0.07446249170382234,0.06320396003723887,0.023023636807724294,0.0,0.0,0.04734303850484972,0.14546390752078314,0.0,0.0006179398359068161,0.0,0.0,0.05645418564688105,0.00861924692914499,0.0,0.003890674125893984,0.09140496975735575,0.027053718488302174,0.03637715010017981,0.0977370035810326,0.0,0.0,0.00409269803424791,0.0,0.0,0.08817930468986321,0.04722235390139565,0.0,0.10739192615741293,0.11505565610909824,0.11459127142599265,0.0,0.0,0.020723722855275097,0.07994447264956817,0.01910224625035865,0.0354118803929342,0.0,0.0196876235567991,0.00023536266512685548,0.036478628226551055,0.0,0.2193980559671893,0.09841191495662488,0.04694027184714563,0.0,0.01350308497902141,0.0025226383051378267,0.005475488256011846,0.06608535978200869,0.2034088213320108,0.07503429208327696,0.057375483489239223,0.0,0.05701311713999006,0.0,0.0,0.20918177479243094,0.004792283515590788,0.028545501560946276,0.0,0.0,0.0,0.21650781935924418,0.0,0.0,0.053200211556020637,0.004533040447181779,0.024723807813843424,0.0,0.0,0.06407547081645466,0.22055151599878836,0.0,0.0,0.0,0.0,0.0,0.015083308792597625,0.0001300978186102867,0.0,0.0,0.0388812565948549,0.04092933933033891
89001223_pool1,0.0,0.21924342412484177,0.0,0.0,0.10327172425689457,0.0,0.0,0.0709892736051435,0.022930732415588666,0.00846664841810297,0.0,0.0,0.017384217936114513,0.03142154627533078,0.009762138177921851,0.0,0.08710447359159872,0.0,0.0,0.01809221835537594,0.0,0.0,0.0,0.09350939382077425,0.002933952667517421,0.09120142147664868,0.0018261186307303836,0.16721269254992716,0.0,0.04020737263952925,0.08577250012322024,0.03532369902115044,0.0,0.008867520780140581,0.006001037664949184,0.08946261447567427,0.03753951494009534,0.005530799382091213,0.08349943928175214,0.04336442615324491,0.018207573433253955,0.0,0.0007062103167530785,0.0010507162913405946,0.0031794452548156273,0.10189911504503313,0.0,0.0,0.05672822844809086,0.0,0.0,0.0,0.190018452220437,0.03666005831519982,0.0,0.06779684196937157,0.011647522061139061,0.0,0.001087322939028311,0.0,0.0,0.0,0.0,0.006307939110911026,0.1426591360169118,0.08080872679221629,0.07055683157555472,0.020600096091121737,0.0,0.0,0.031532204240347785,0.1462367984271366,0.0,0.0006461033136827298,0.0,0.0,0.05067162218856214,0.008605457531391221,0.0,0.003425653314034145,0.08704768971971372,0.025363263189315,0.03295836646288787,0.09693676887764383,0.0,0.0,0.005387301536314845,0.0,0.0,0.0847640216227636,0.0487869499643937,0.0,0.11282530218193261,0.11155558605611329,0.09816112934096437,0.0,0.0,0.024374404544935994,0.11316439580888302,0.0288224158025323,0.048913158372549025,0.0,0.024979995480669828,0.0,0.03646382612279516,0.0,0.2113184447729603,0.09636325193010951,0.049303339097170044,0.0,0.010616002083435954,0.00436375739074245,0.009637481728352737,0.07272081049037231,0.2137160422136301,0.08499336380982284,0.06415303551037135,0.0,0.04987781364054286,0.0,0.0,0.19367906127679807,0.0019967847981628285,0.02724368366825187,0.0,0.0,0.0,0.20295454117382647,0.0,0.0,0.0619305756980948,0.0034520846482384315,0.013743122220544248,0.0,0.0,0.05240987818590348,0.21168635329456967,0.0,0.0,0.0,0.0,0.0,0.019003640152788197,0.0002338467119324141,0.03017274530605917,0.0,0.0351540773134309,0.046452308567914984
