,regulon
10,"[HIPK1,AP2B1,WARS2,ALDH18A1,DTNA,CHRM5,DPY19L3,FMR1,UBE2H,RNMT,CDK17,TAX1BP1,TMEM165,RAB5A,UVSSA,GNPNAT1,USP9X,KBTBD11,SOCS6,BTAF1,RNF44,NFX1,EMD,ZMYM2,RSPRY1,ATP6V1H,AASS,CDS1,WTAP,NMD3,DENND5A,GTF2H1,RALGAPA1,LONRF1,OSBP,WIPF1,LARP4B,SETD5,CHD1,RABGAP1,PTPRG-AS1,PITPNA,THRAP3,HSPBAP1,HMGCR,SEMA6D,MAPK8,ZSCAN18,ZBTB2,UBE2W,ADPGK,HDX,AFF4,RC3H2,PTPRD,MEF2A,ZNF322,TMEM128,BCLAF1,TAOK1,POLR2H,GAN,RGL1,MRPL49,RAB21,SUPT16H,GZF1,VMP1,FAM174A,AHI1,SLC35F5,KCMF1,CMIP,QRICH1,ZFAND2A,SUPT6H,WDR89,IVNS1ABP,TGS1,GPBP1,SMURF1,UBXN4,WDR43,EML4,CLCN5,MAPK1IP1L,PKN2-AS1,JOSD1,FNDC3B,ACTR3B,UAP1,PRPS1,SLC25A36,FKBP11,COPG1,DLD,SMARCA2,SCYL2,PRDM5,SEC16A,MID1IP1,MLXIP,RAB11FIP3,YTHDC2,TNPO1,REST,DENND4A,LRIG1,SGMS2,IBTK,HNRNPD,CHEK1,HIVEP2,UBAP2L,JARID2,C19orf47,FAM199X,WSB1,ZNF592,EOGT,ACOX1,TLE3,LSM14A,ACACA,SMCHD1,CEP57,PCNX3,GPHN,CHD7,TRIB1,PLAGL1,OGDHL,CAB39,SEC23B,FAM107B,MFN1,KBTBD12,PMVK,MED9,ZNF532,CLCN3,KCTD6,TM9SF3,ZNF367,SMU1,DNM1L,ATP9B,AZIN1,TMEM39A,UBE3A,TMF1,EWSR1,ESCO1,MTMR3,RABEP1,MICU3,ACSL4,BAX,AGAP4,SAMD8,MAP1LC3A,DICER1,PDZD8,SETD2,TRIM26,DRC3,SENP6,FAM91A1,ERRFI1,BBOF1,CAPRIN1,ZFAND5,TMC6,SPON2,PQBP1,ILF3,FBXL7,FAM169A,PCNX1,ANKHD1,PDXDC1,CSNK1G2,UBAP2,DACT1,GAK,GALNT11,ZNF395,RMI1,HFM1,EIF4G1,APPBP2,C5orf51,CSNK1A1,FBXO43,EGLN1,TET2,ANAPC10,ROCK2,CDH11,SLC35A5,CSNK2A2,TGFBRAP1,ING4,OSBPL3,RAP1B,RNF146,PDK1,RAI2,TMEM263,ESD,FNBP1L,C12orf49,CENPE,STAG1,CD164,C16orf72,ZNF529-AS1,TFCP2,ZFC3H1,RPS29,CLTC,RBM17,POP1,NAP1L1,RAB3GAP2,PHF20,SNHG5,EPB41L5,CCT4,TCERG1,CRLS1,ZNF84,MAGOHB,ICE1,SEC23A,KLHL2,NCOA5,PPP1R13B,KPNA4,SLC31A1,ZCCHC17,FRS2,XPOT,LARP4,FBXW11,PPP3CB,STX17,NARS2,RNF138,ZFY,JMJD1C,CD2AP,PPP1R15B,SLC9B2,TAF5L,CTDP1,NCBP1,PTK2,SNX5,CMSS1,ZNF561,BIRC2,ZNF711,NSMF,TMTC4,TBC1D32,TRA2A,MAP3K13,TMEM50B,KLHL42,RMDN3,MLF1,SH3GLB1,HSF2,OAT,NUP98,KAT8,SAR1A,FBXO34,NUP133,MDN1,ZFP30,SLC11A2,CTC1,RBM22,ZFYVE27,VPS26A,IFNGR1,PPP2R2A,G3BP2,GTF2A1,ZBTB20,RCBTB1,FAM102B,HECTD1,CSE1L,SCAF11,MYH10,YTHDF3,PHF24,BCAT1]"
11,"[NFIX,GLYR1,GAA,BOD1L1,CSE1L,SFXN5,SLC46A1,CEP164,CYTH1,PILRB,MKRN3,FIRRE,SETD1A,NAT8L,ANKRD16,MTIF2,TRRAP,P4HTM,EXOC7,HLCS,METTL16,RCC2,C20orf194,DNAJC6,ACBD4,GAK,TMEM222,ZNF618,ATP6V0E2,CUX1,SHROOM2,FRMPD1,GNAO1,MPRIP,ZFHX2,PLEKHM2,F11-AS1,SPIRE2,LPCAT1,GRIK5,VARS,SIRPA,ATXN2,FGD6,PIAS4,ZNF594,KCNMB3,WNK2,ZNF544,MPHOSPH8,KNDC1,MCM4,ATXN2L,ACVR1C,VOPP1,NBPF1,SCHIP1,IPPK,PHKA2,DNASE1,HCG17,CCDC180,SCAMP4,ARHGAP23,HGS,ARF4,PPP1R13B,BICD2,C4orf47,TMEM63A,RPH3AL,TMEM94,PLCH1,MSI1,KLF3-AS1,PCNT,C6orf89,NSUN6,TRAPPC12,LRGUK,PTPRA,HNRNPL,MORN1,PAX6,ANKMY1,ZNF354A,GAS8,NBPF11,PFKL,ZNF668,HIP1,ASAP2,ZDHHC8,TNRC18,TARSL2,SATB2,PRKAG2,PLXNC1,HEATR1,JAZF1,UBE2Z,FYCO1,DDX46,LINC01278,CTDSPL,RNASEH2B,MAPK9,DTX1,GRAMD4,GRM7,GPSM1,FOXJ2,BEGAIN,ASB13,CHMP6,SUGP2,ZNF696,TRAK1,ANKRD46,TRPV1,ATP2A1,CARNMT1,BRF1,ZNF8,DPYSL3,TAZ,WDR45B,SNAI3-AS1,SLC6A1,NBPF3,POLH,UBE2K,DDX55,ZNF35,UBE4B,NFIC,MSANTD1,DNMT3B,ZNF717,PPP6R2,LANCL2,B3GALT5,BCAR3,MARK4,MAPT,MKNK1,NTNG2,SFMBT2,GABBR1,LINC01001,ANXA11,TAF4,FAM227A]"
12,"[AFTPH,CEP120,IFT57,DNAJC9,RAB33B,USP48,KLHL24,PSMD14,C3orf33,FAM207A,DOCK7,RAB3GAP1,KIAA1586,DMD,TCERG1,HIBADH,NOVA1,PRKACB,RAB22A,NEGR1,PHF20L1,DNAL1,ACADM,TXNL1,SLX4IP,TAB3,TM7SF3,FBXO8,MRPS31,ARFGEF2,ADAM10,FIP1L1,BTBD8,C11orf49,SNRNP35,RHOBTB3,CPSF2,GXYLT2,TBL1XR1,PCED1B,CDK5RAP2,TERF2,NCOA1,EPB41L2,FAM8A1,GPR89B,HFM1,KLHL8,AUH,CBWD2,RBM5,IFT74,FAF1,TCF4,APC,AKIRIN2,EIF2AK1,MRPL3,ZEB1,COG3,ANGEL2,NCLN,PCGF5,EPS15,VPS45,FBXO9,RAB12,EPHA4,SGPL1,RSRC1,DYNC2LI1,ZBTB20,LIN9,GPD2,PON2,ASPHD1,RSBN1,DOCK5,PM20D2,UBA6,PPP5C,RAB23,TBC1D19,RPTOR,PPP1R12A,PDHX]"
13,"[PANK2,NOSIP,TMEM167A,TXNRD1,CGGBP1,SLIRP,NDUFB3,CSTF3,COMMD2,CHCHD5,MARK2,YKT6,ARL5B,GPBP1L1,CLASP1,CHCHD2,TSG101,GNG5,USPL1,ZNF622,ROCK2,GTF2H2C,UTP14A,PITPNB,PEX2,PRPF38A,TAB3,DCAF13,MTA2,FRG1,HPCAL1,ALG10,NFKBIA,DCAF12,GTF2H2,OTULIN,C17orf97]"
14,"[HYLS1,MTHFD2L,FBXL17,SIAH1,PHF3,ASB8,EEA1,TIAL1,TRIM24,HERC6,GPR180,BACH1,DHX30,KPNA1,NKIRAS1,C5orf30,UBLCP1,CHD7,SMARCE1,ZNF33A,SOCS6,IARS,AKAP11,NR6A1,ZBTB14,ZNF652,TGFBRAP1,CLOCK,INO80D,CCDC102B,TMEM267,DNAJC21,MGA,G3BP1,CTNNA2,KIF2A,RAD50,GLS,SEPHS1,GALNT7,CSNK2A2,RNF138,NR1D2,PRRC2C,FRYL,ZHX1,STT3B,LCORL,SNHG5,GCNT4,THUMPD3-AS1,ZFP91,KRAS,HERC3,ZMYM5,ZNF330,PCDH10,NPAS3,RBBP6,PRKD3,TMEM68,TRAPPC10,RPL34-AS1,UTP23,RASSF8,LIFR,ORMDL1,TWF1,ADNP2,FMN2,DPH5,OXCT1,SETBP1,CADPS2,POU2F1,ZFYVE16,ENTPD5,RNF157,RASGEF1B,UGGT2,PRDM10,SRPK2,TMEM117,NFIB,OTUD6B,SLC35F1,KMT2E,SSX2IP,MTIF3,KBTBD2,ROCK1,HOOK3,CNOT4,SGMS1,MYO9A,FNIP1,BMPR1A,RB1CC1,ZFAND6,TMOD3,DTNB,ZFHX3,FAM13B,FUT8,TTBK2,SETD7,OSBPL8,NAA16,SEC31A,CAPZA2,RNF141,MOB3B,TMPO,GAN,TMEM184C,WWP1,WASL,RFC1,PAFAH1B1,NIPBL,SLMAP,HAT1,SUZ12,MARCH7,LBR,ABI1,TCAIM,NUP153,RHBDD1,XRCC5,SEC24A,TFG,LIMA1,FERMT2,LMO7,CDC42SE2,MIER3,FBXL5,ANKRD11,MAGI2-AS3,SLK,SLC30A9,LRIF1,RBM17,TBCA,RICTOR,HERC1,SUPT16H,FNBP1L,PPP2R5E,RAPH1,RERE,LGR4,BMPR2,ADAM10,TCF12,HSF2,ABHD17C,ADGRL3,SHOC2,ANKRD44,TMEM248,GTDC1,LRRC8D,PEAK1,RUNX2,KPNA4,SPATS2L,AKAP13,MEF2A,ANKH,C18orf25,TM9SF3,PCGF5,HIPK1,ARFGEF3,CDC14B,WWC2,LHFPL2,PCDH9,PDLIM5,PAK2,CDH20,PTPDC1,ZMAT3,KCTD20,STK3,DIS3L2,DEK,RBPJ,SNX9,MAP2K4,SH3GLB1,MFSD14A,MBNL1,SPTAN1,FBXO34,UIMC1,PPP3R1,CCDC92,ZFYVE9,FAM168B,APP,KTN1,RAP1GDS1,UBE2J1,FBXW7,STAG2,C6orf201,STK24,LRRC37A3,TRAF3,USP10,AFTPH,PUM2,FAM78B,SETD2,CHSY3,KLHL42,FGF12]"
15,"[MAP2K4,SH3GLB1,FERMT2,LRRC42,SECISBP2L,SOCS6,GSPT1,SMG7,ANKRD11,OCRL,UGP2,EIF2A,FBXO34,DDX6,NOC3L,PGAP1,CMIP,CHCHD5,DMTF1,CDK13,KLHL42,ZMYM4,POC1B,PMP22,MAP4K3,SLC39A10,MDM4,NUP214,CYFIP1,SETD3,POLR2C,NLGN4X,ARFIP2,ARHGEF7,EP400,THAP4,GDI2,ATP9B,TNKS2,CASC4,RTCB,CGGBP1,ABLIM1,UBE2K,HNRNPM,TACC1,ZFP91,PCYT1A,FEZ2,EMC7,SPATA6,JADE1,VGLL4,STPG2,WDR61,GATAD2B,INO80,PITPNA,TRNT1,MAN2C1,IKZF5,PRPF38A,STXBP3,MIER1,DZIP3,SETD5,MYO16,ZBTB18,MECP2,RAP1A,CREB1,GTDC1,USP24,XRN1,STK24,RAB14,POLR3B,MSH2,GNPNAT1,HNRNPC,EIF5B,ATG5,OGFR,CHD8,BDP1,LRIF1,CADM1,LINC01551,NUCKS1,GLI4,TFG,ENTPD1-AS1,GAB2,TTC39B,RPRD1A,RC3H2,ARHGEF12,HECA,PPP2R5C,AP2A1,CLCN3,MICU2,TRMT13,RPL13,PLEKHA2,HPS3,SPTBN1,FBXL17,GTF2F2,UNC5C,ETV1,YTHDC1,TIA1,TSN,FOXJ3,ACTR3,OPA1,ZNF263,DTNB,RASA1,SMS,ERGIC2,NPHP1,MRPL44,IQSEC1,STRBP,SNRPB,CSNK1G1,SLTM,NPAS3,SMAD3,DIMT1,PARG,METTL14,IL17RE,YME1L1,ANKRD13C,SDHC,FAM162A,ANKRD29,RIMKLB,GTF2I,CARNMT1,NCOA5,ING4,BTBD2,GTF3C5,ZFHX3,PRDM2,TNK2,ARFGEF2,PDPK1,FLVCR1,SPIRE1,HCG18,COPE,UBE2H,ELAC2,PAX6,DLST,RRAS2,SMC5,SLC11A2,ADCY9,EDEM1,BCAP29,ETF1,GLO1,TBK1,DCAF7,POT1,CBR1,SLC37A3,FDXR,MYNN,C18orf25,PAN2,TCAF1,ELK3,PRRX1,MLF1,IFT20,RNF216,ZNF189,DCAF12,DTNA,CBWD5,GNB4,RAB11A,PATJ,ZNF92,DCTN2,RPSA,GAS6,IMPA1,TMEM199,CHMP4B,DALRD3,MTF1,UBE2D3,PCM1,C18orf21,EIF3D,DPYSL3,SLAIN2,SPRY2,MOB4,CSNK1G2,CNOT7,ARF4,RPS4X,GFM1,RAB7A,ZFHX4,NSMF,ZKSCAN1,ZNF337,FAM169A,SAP30L,NOL10,IL7,FSIP1,KBTBD2,ARIH2OS,RPS24,PPIL2,ZNF326,MTURN,TAF1D,XPOT,SEC16A,GNS,PELI2,TM7SF3,AFF4,DAGLB,SNX3,CENPE,STXBP6,UHRF1BP1L,MED27,UFL1,TIPRL,IQUB,COG3,RPL34,PSMA6,ECHDC1,VPS52,PRKAR1A,LYRM7,PDZD8,SURF1,RPS6KC1,ZNF790-AS1,TSR2,MRPL33,RPL15,NCSTN,KLHL18,ZNF532,PLAA,FAM160A2,SLC39A9,HDHD2,TMEM161B,FBXO38,CXXC5,SLIRP,STXBP1,MED17,RNFT1,CCZ1B,PRPF19,ZDHHC17,WAC,SLU7,RPE,CCNY,ARHGDIG,ARMCX5]"
16,"[ARHGDIA,EPHB6,DCC,MATK,UBXN6,FAIM2,GUK1,PLPPR3,ANKRD30BL,FMNL1,DUSP8,CHGA,VSNL1,ATP6V0C,CHST15,RIMBP2,EDF1,FAM102B,PNMA1,KCNIP2,TUBB]"
17,"[ZGRF1,HS3ST3A1,MRM3,MSI2,ZNF561,EPHA4,ZNF76,CCDC169,UTP15,BTBD9,TEX29]"
18,"[EMID1,RILPL1,FRMD4A,ERCC2,CDH4,EFR3B,CRAMP1,RBM10,GNAO1,PKN1,CHST10,DTX1,ZNF713,TTC25,PRKCH,FAM156A,UCKL1-AS1,NTNG2,TTC39C,PRKAG2,UNK,XRRA1,GPR173,PIGG,LINC01563,GOLT1A,PRR5,ST3GAL4,SIL1,HEG1,ZSCAN5A,IBA57,EYA1,MSI2,CANT1,MAPT,SSH1,DNAAF5,ALDH4A1]"
19,"[FBXO44,C1QTNF4,DOC2A,NPY,TPRG1L,MYADM,CKMT1B,VWA5B2,CITED2,PDE1B,SMIM10L2B,DLX1,ISLR2,MYRF,SLC12A2,SH2D5,CXADR,CNDP1,STARD10,EXTL1,CDK5R1,SGK1,ANKRD13B,SLC8A2,MOG,PTPRT,NKX6-2,ZNF536,NSG1]"
