Cell,ARID3A(+),ARNT(+),ARNT2(+),ASH2L(+),ATF1(+),ATF3(+),ATF4(+),ATF6(+),BATF(+),BCL11B(+),BCL6(+),BCLAF1(+),BHLHE40(+),BPTF(+),BRCA1(+),CEBPA(+),CEBPB(+),CEBPD(+),CEBPG(+),CLOCK(+),CREB1(+),CREB3L2(+),CREBZF(+),CTCF(+),DEAF1(+),E2F3(+),E2F4(+),E2F6(+),E4F1(+),EGR1(+),ELF1(+),ELF2(+),ELF4(+),ELK1(+),ELK4(+),EP300(+),ERF(+),ETS1(+),ETV1(+),ETV5(+),ETV6(+),FLI1(+),FOS(+),FOSL2(+),FOXJ2(+),FOXJ3(+),FOXK1(+),FOXN2(+),FOXO1(+),FOXP2(+),GABPA(+),GABPB1(+),GMEB2(+),GTF2IRD1(+),HCFC1(+),HDX(+),HIF1A(+),HLF(+),HLTF(+),HMBOX1(+),HMGA1(+),HOMEZ(+),HTATIP2(+),IKZF1(+),ILF2(+),ING4(+),IRF1(+),IRF2(+),IRF3(+),IRF5(+),IRF7(+),IRF9(+),JUN(+),JUNB(+),JUND(+),KLF10(+),KLF16(+),KLF3(+),KLF7(+),KLF9(+),LHX4(+),MAFB(+),MAFG(+),MAFK(+),MAX(+),MAZ(+),MBD2(+),MECP2(+),MEIS1(+),MNT(+),MTF1(+),MXD1(+),MXD3(+),MXI1(+),MYBL1(+),MYC(+),MYPOP(+),MZF1(+),NFATC2(+),NFATC3(+),NFE2L1(+),NFE2L2(+),NFE2L3(+),NFIA(+),NFIC(+),NKX6-2(+),NR2F1(+),NR2F6(+),NR3C1(+),NR4A1(+),OVOL2(+),PATZ1(+),PBX1(+),PLAG1(+),POU2F1(+),POU2F2(+),POU5F1(+),POU6F1(+),PPARG(+),PRDM10(+),PURA(+),RAD21(+),RBPJ(+),RELA(+),RFX1(+),RFX2(+),RFX3(+),RFX5(+),RFXANK(+),RFXAP(+),RUNX1(+),RUNX3(+),RXRA(+),RXRB(+),SIN3A(+),SMAD3(+),SMAD4(+),SMARCC2(+),SNAPC5(+),SOX2(+),SOX9(+),SP1(+),SP2(+),SP4(+),SPI1(+),SREBF1(+),SREBF2(+),STAT1(+),STAT5A(+),STAT6(+),TAF1(+),TAL1(+),TBL1XR1(+),TBP(+),TCF12(+),TCF3(+),TCF7L2(+),TEAD1(+),TFAP4(+),TFE3(+),THRA(+),THRB(+),USF1(+),USF2(+),VDR(+),YY1(+),ZBED1(+),ZBTB14(+),ZBTB18(+),ZBTB2(+),ZBTB25(+),ZBTB37(+),ZBTB4(+),ZBTB40(+),ZBTB5(+),ZBTB7A(+),ZEB1(+),ZFHX3(+),ZFP14(+),ZFX(+),ZFY(+),ZIC1(+),ZNF121(+),ZNF140(+),ZNF146(+),ZNF160(+),ZNF184(+),ZNF217(+),ZNF234(+),ZNF257(+),ZNF26(+),ZNF264(+),ZNF266(+),ZNF267(+),ZNF30(+),ZNF32(+),ZNF324(+),ZNF333(+),ZNF337(+),ZNF341(+),ZNF354C(+),ZNF367(+),ZNF417(+),ZNF420(+),ZNF43(+),ZNF430(+),ZNF44(+),ZNF440(+),ZNF460(+),ZNF467(+),ZNF528(+),ZNF549(+),ZNF580(+),ZNF600(+),ZNF605(+),ZNF639(+),ZNF697(+),ZNF708(+),ZNF75D(+),ZNF76(+),ZNF780B(+),ZNF814(+),ZNF83(+),ZNF841(+),ZSCAN32(+),ZXDC(+)
66754397_pool0,0.029997310380871577,0.05732901640737638,0.0025330280689264575,0.0,0.03625844164761939,0.01923878592470178,0.03926430954607388,0.08902766662013639,0.02251678169757151,0.0,0.015757819207255483,0.041981963268049066,0.026258058751324104,0.0388795989612987,0.07227129194807826,0.11594492257063035,0.03004174844906739,0.09533491063669149,0.037254773507541514,0.035460602167673175,0.13343306937034952,0.010617831999634977,0.0,0.0,0.047860079496059214,0.04277027702096871,0.005763995582805032,0.01962188117592311,0.004399037542795916,0.010840633040882192,0.05580331407154571,0.04249466569079991,0.0391563324637677,0.0032685257412497465,0.0449927015737197,0.06773190285980607,0.0701878287507367,0.014493052098285903,0.011522513691170883,0.01734838645654331,0.005132537593423376,0.057444644528550914,0.004130106383061321,0.00018051576167918594,0.12321567733626121,0.017674527040730227,0.02764499916332618,0.09791526320291136,0.20645130847373347,0.12804543617104333,0.028295606410822467,0.06666039689836412,0.0,0.020718670872220048,0.006173733959372703,0.0567471530847086,0.09038313996194708,0.0011078216580970401,0.03760386080149411,0.031246696497548923,0.0,0.10388545078148144,0.0,0.028671494230634854,0.0779248045331171,0.05444864948504507,0.001048500279963401,0.11830322592222417,0.09193030830109884,0.09846995815581595,0.00934137177328271,0.05030789764015522,0.013802554555973096,0.04885118780144656,0.029910822711638908,0.1762425507980908,0.002710262982221247,0.09156097354736764,0.08352535752812074,0.07591769754727862,0.0,0.06463803247051973,0.08343951544330139,0.0,0.0630442555472431,0.03850689730032709,0.05381116904566537,0.02621976919923175,0.0,0.1681587233791425,0.03383378641519602,0.0,0.13231265515030177,0.0071374038388478086,0.0,0.0,0.006669936274214832,0.04231437326392921,0.027660218248754018,0.028279319383867428,0.0013822751512252082,0.061728991968320705,0.031289846667288505,0.1635490094721783,0.0025539883234292696,0.0010956113523258163,0.025826294017995924,0.06149758925164214,0.07511613509364524,0.0,0.022283572629943963,0.00047843248481795476,0.0,0.057132807727526366,0.031428832704883496,0.04195477910561773,0.0007977322479319894,0.0,0.0,0.10803653302439852,0.08091595572547901,0.0,0.012995709913823308,0.09758859099963456,0.0,0.0,0.1537753978485479,0.1561126693692949,0.0,0.011844846213993544,0.16916333635578112,0.01917151613533069,0.0428997152136841,0.025027467841268813,0.03152301466456074,0.3031015786457754,0.11954462345747696,0.005422609246688824,0.0,0.01770835444611199,0.0,0.03730123473170947,0.0,0.12471403465058063,0.0,0.06514325427706749,0.0,0.03780598365993286,0.03208334366203984,0.030767261998315334,0.02543156817890642,0.008972939041576816,0.045544700662699736,0.017934534768089327,0.025044199625762823,0.003914556076012833,0.010468232167678587,0.0018590243623047957,0.12215328388144353,0.08331700377234151,0.021812083733293693,0.02268771016496419,0.02842241989579714,0.010559961405383149,0.018572806048121972,0.025850846069309256,0.08681928311385893,0.24408213102558987,0.0,0.0,0.027374269665008395,0.09762777669097575,0.0,0.005426223843915519,0.0,0.014560571998467777,0.15215492037342934,0.054028760963852236,0.050097756355919454,0.12970968292316817,0.011409467407764778,0.005689288357297567,0.0026625512055714435,0.09961799815517962,0.0,0.13492865804530324,0.0,0.058360895764401004,0.12634374511459784,0.0,0.08122242851582662,0.020746534981500624,0.10544539602002338,0.034390454884800026,0.027417511555043846,0.0,0.0,0.0,0.0,0.0,0.016338505957753557,0.0016706262593266501,0.0,0.0,0.0,0.03691895141947242,0.013036550215504835,0.0,0.005873442402603437,0.008478064220894787,0.1347200638396328,0.0,0.028407336300636778,0.0,0.0,0.07945409966970726,0.0,0.0,0.027538398588893,0.03492895199552254,0.0,0.0,0.04889320005508127,0.0,0.0,0.03714451337964716
46000440_pool0,0.026995422146691737,0.059785518174125155,0.007475234544233628,0.0,0.044750467854358114,0.02362099304115223,0.053788382739402535,0.09021363872416831,0.021319491418626886,0.013577810907153773,0.007012642055584901,0.024594476979054147,0.05278206821460546,0.039519786169357404,0.048499434600740646,0.1068896098760131,0.04141872083568437,0.06667141898140215,0.03543029012881515,0.03220813271481427,0.08528378703804292,0.007251243433331147,0.0,0.0,0.03797028976051364,0.03033761431236645,0.005082910765580805,0.020232381160078732,0.0035252866707516767,0.06403806783730503,0.0749357634665989,0.03839405290995191,0.04812860285288932,0.0051938583017519455,0.01946240329658428,0.05378365330836465,0.12102302596453497,0.015249408278807719,0.013893427697684799,0.024200379329520544,0.03287950612741708,0.04083625801594174,0.021266506719931876,0.0,0.04971662020180153,0.02284187614042995,0.022913873080861135,0.04567123558117524,0.0661494087217801,0.08787703073584438,0.011360601724219318,0.07696738194048164,0.0,0.06012414290013436,0.00018972743036523306,0.10103660783238788,0.14421068514835808,0.0004482019768746722,0.04602874219259547,0.029233923002662577,0.0,0.10257044507538675,0.001965690223475079,0.07351183617081218,0.09897910994957351,0.03162731746947704,0.0093687013198165,0.0870368338832682,0.05861547935737412,0.08892440098765012,0.0065183020379470215,0.04652890063432196,0.010796062593910664,0.058247582902205726,0.03400742339616222,0.35516357297216095,0.009545229322689896,0.11718917697759615,0.1215391905436508,0.0,0.0,0.08360583660707287,0.0413515785217445,0.0,0.0423649667993917,0.04023899792697754,0.037754695226096924,0.05888007654981735,0.0,0.17520755104553673,0.027919233526825293,0.0,0.13014375442102558,0.0160433948651085,0.004802002378314941,0.0,0.01530723082884902,0.03234215216213734,0.0251043149323643,0.03823711011914898,0.012237700185585778,0.06973618977453863,0.002848936797320889,0.080175181244027,0.0109460816644556,0.000656294821373305,0.06297943773958674,0.08718809198885141,0.09002641261548662,0.11002603419581605,0.013594136186486713,0.008468254981277798,0.0,0.0,0.023192154852960188,0.08580780404265023,0.08812210558858159,0.0,0.07088930856432606,0.04781989604275203,0.10055155609835337,0.0,0.0,0.04100877205446983,0.0,0.0,0.04430805954579291,0.16792158905030777,0.0,0.07601766867692357,0.4160033876207558,0.015697902520436846,0.02809764142991788,0.0466987255379861,0.03459051992726968,0.4243970663457065,0.10541641151506466,0.002490710274842763,0.0,0.02493373845710634,0.0,0.012394410787493766,0.0,0.12703675120163618,0.0077238555985151315,0.10839842506634488,0.010443195890954533,0.048122113727543714,0.005789424493648857,0.027810893210632927,0.013202381588493326,0.015344443265225839,0.036928072218107615,0.017788802236539784,0.05444095803352785,0.025917215392626564,0.03111525300220065,0.001871085152982233,0.14372436633198762,0.0606629389466608,0.03406933278145739,0.022167543336137584,0.027242703924311152,0.0,0.013499606917750777,0.018096009484315095,0.08799025610383392,0.21540651087111012,0.0,0.0,0.01977368974236606,0.06398253631264773,0.0,0.017960807054103283,0.0,0.01947438833247991,0.16941401165971845,0.05150613470474147,0.03766645754162559,0.1197392089812768,0.024355351331803336,0.005400256391798967,0.003815598862586379,0.13846434127420518,0.0,0.13367350773790507,0.07948514951620675,0.011083725934200452,0.12979330277121343,0.0,0.0776910185803559,0.010086007775621842,0.05056116137145506,0.06650619556570068,0.02877481410727374,0.005008619622043388,0.0,0.0,0.0,0.0,0.02241442852959393,0.0,0.0,0.0,0.0,0.021797778839639695,0.003926671751658083,0.0061835969438365015,0.02807159971832525,0.00503385063115628,0.10254080724694652,0.0,0.0365749837497672,0.049589938214390776,0.0,0.016325634864592313,0.0,0.0,0.02349369345142057,0.020816977639581295,0.0,0.0,0.03666698075794453,0.0,0.0,0.022140333062871907
46000440_pool1,0.01828304365502403,0.06396112822554308,0.008419460913671477,0.0,0.04999285080064464,0.04060338923492404,0.04466119453541541,0.07974246697790716,0.02112638008331324,0.010266149710287,0.007590153754280128,0.025062455209413206,0.04827533402749636,0.03916586524938783,0.04555582686590824,0.09378540426344753,0.03986170664887088,0.06931362226073956,0.03543029012881515,0.031094410259446162,0.09395817265120021,0.005365537066503083,0.0,0.0,0.03260018619776465,0.032591939819834916,0.005120748810982151,0.022073598470990368,0.0030640094645058248,0.05849725716403312,0.06626004579264252,0.03748385614239104,0.041798421165475934,0.004061197097352458,0.01714736186761501,0.050080574655831434,0.10882055122748367,0.013183973755994133,0.017415931312047713,0.022860829398058388,0.028576467956347967,0.039110430509077955,0.011528787801391922,0.017000975548454332,0.0501409921091851,0.017773953895444367,0.02110575516538053,0.040384482146156996,0.07040567646562428,0.09186652651681636,0.013765622773935789,0.07347565688228064,0.0,0.05932806274226012,0.0019312028828811242,0.08701366909514162,0.14168752040281674,0.0005352084710197673,0.04897035059946754,0.024999487124186717,0.0,0.10322794792843411,0.0017000564094919602,0.07144868818947539,0.08631845034772997,0.027429983853716998,0.01298484046961373,0.07857188039727483,0.056984949370170714,0.09193878746180775,0.007394786047597755,0.047473649885780275,0.013989910176676744,0.05283685376411951,0.02670925508520204,0.3341201999713469,0.003346003681754625,0.09891856618353827,0.10723697354593342,0.0033058766680144794,0.0,0.08436525443212946,0.05523741654372606,0.0,0.04154586734053225,0.037182639191086574,0.04616077754247036,0.05153365376976199,0.0,0.16334373619064155,0.027919233526825293,0.0,0.12770097382177395,0.04445821338223993,0.003822001892944544,0.0,0.011748191484211377,0.028251073742700635,0.030521620136556155,0.028577431537456694,0.008930213648940971,0.053648225786145684,0.06845313020987899,0.07407729448316444,0.006230565945294474,0.02814298346276496,0.06095202699389848,0.07010707038937322,0.08983624839628102,0.22173298157192695,0.008688163262835195,0.029508837847599226,0.0449060548486498,0.0,0.022909824509470537,0.09049069358513631,0.0723245726442764,0.015745808563162912,0.07331409376672755,0.04655593403281145,0.09184003710213572,0.0,0.003853379102354586,0.023582041102402855,0.0,0.0,0.0683272858202316,0.17141885510351335,0.0,0.05429317089282546,0.4465327723991694,0.01786626564243806,0.031116798320170145,0.035864817835851714,0.03459986873040744,0.4196539730478545,0.09146673973465272,0.0066174067120108974,0.023254687209674066,0.06215379013182081,0.0,0.011202043756467992,0.0,0.09267204613846675,0.006819258163382682,0.10316301240016042,0.008386102766093077,0.04434077292145102,0.008886109390648027,0.026196274933351516,0.012832885741755168,0.0,0.035512411574719904,0.01739202309998605,0.0625870489079735,0.0233039505204578,0.023381344942604933,0.0042727087986697485,0.14911518939750712,0.07398326130148566,0.02882178569938859,0.0177926030997042,0.026130065194342165,0.0,0.016065019125726065,0.016151072051844944,0.08899394723809818,0.21435702215232186,0.0,0.0,0.021350690319991452,0.06465355391119952,0.0,0.01591710652584597,0.0,0.0223331862393401,0.163271018505925,0.04510159685505109,0.03240314054336328,0.10218601322753654,0.04765737694928169,0.05273004912302201,0.0040501273978753765,0.12791827092671687,0.0,0.13430108289160417,0.04571890178939711,0.008088124330362493,0.11319429499091188,0.0,0.07847577634379384,0.005170674872312463,0.0654099782798006,0.06312132110326431,0.028729570688866075,0.00519629623551574,0.0,0.0,0.0,0.017773250995613353,0.02119066481564199,0.0,0.0,0.0,0.0,0.029997136370077965,0.0,0.0,0.08511251644279401,0.007948185207088863,0.07658949515021779,0.0,0.04278512185686079,0.03189176238522658,0.0,0.00836947103817707,0.0,0.0,0.008602131145058553,0.01689813624227572,0.0,0.0,0.03978641554307718,0.0,0.0,0.023897595473823086
46000440_pool2,0.02819079655286604,0.07136398710330966,0.0029587601932623817,0.0,0.04522666966330186,0.026823288320116188,0.04545717723385917,0.09276157646592154,0.02112638008331324,0.01258431254809374,0.008002662110491002,0.02431048028568041,0.049086593777223415,0.04053593250724808,0.047260016882290624,0.09516074030961948,0.04160787963378199,0.06267294875759717,0.03490060140595911,0.032015307895540614,0.10463373057290849,0.009388628696252661,0.0,0.0,0.037459110735855033,0.03327446279071952,0.005322551719789329,0.02243333496455495,0.0028174053281853316,0.053442576389440506,0.07288213213686343,0.04159969431205575,0.04110869885158551,0.004114862734588317,0.015367802496258949,0.04478795507904444,0.11777509129692738,0.014602974004564449,0.008898850160420997,0.023972422680015277,0.03688930324724231,0.03846508590497348,0.022782513136435856,0.0,0.0640762518895106,0.021852778107607315,0.024608326221403284,0.04163491004939915,0.039662835898672755,0.08577625150116171,0.014447162376436796,0.07402206634807618,0.0,0.07521452225994295,0.004958995634975409,0.10101586993316525,0.14433265376281695,0.0006118667305527472,0.05570633499408086,0.028979523118939098,0.0,0.10273482078864858,0.002329988025509071,0.07965542328005622,0.0825395410536239,0.03404921520423773,0.01067686040864403,0.09959727818885307,0.058258239597812476,0.089929196479036,0.005266544858858301,0.04700127526005112,0.012720411989264511,0.046379114746358585,0.029837718861684043,0.35983677361250427,0.005600494275782828,0.09848771656826194,0.11321211245165749,0.0,0.0,0.09724637273717944,0.038993740912846644,0.0,0.039453406955072635,0.033866006164534834,0.03865019128916235,0.06325170465398548,0.0,0.16270303650473766,0.03183390060337388,0.0018916523180545649,0.13065454157710765,0.01544334081881967,0.009800004853703961,0.0,0.0,0.03765117190733537,0.03096429638103483,0.03821564500665771,0.007717468585504544,0.08295753937478163,0.002655881990633985,0.07269492929846746,0.005595869612591421,0.0007825361807258087,0.044058190423928556,0.09045496385824905,0.08860091317054097,0.11382774675949263,0.007750951006664447,0.015453369259619938,0.0,0.0005335545203871782,0.023419876046687133,0.09286298190666378,0.08247457840704724,0.0,0.07616678224014108,0.0429747083379798,0.10188203863592285,0.0,0.007782314657696516,0.02800764619873694,0.0,0.0,0.06907443718983439,0.1780718888905123,0.0,0.09355119029420991,0.41460812858997415,0.01678712765758349,0.030435823325473715,0.03992672066485201,0.028928744216258063,0.44798494961344515,0.0896696674349723,0.009163838602567542,0.0,0.024192527422961213,0.0,0.013411554560209205,0.0,0.1366733059013727,0.019366718234788718,0.09541603624564098,0.00526186840225448,0.059555000168434936,0.005140843907117835,0.02814279151072427,0.015126883281975095,0.0250133467856163,0.03669620867595024,0.016344000986185245,0.058542948487047164,0.026234517335237025,0.03278350428056197,0.0017213188539859218,0.14496296713531473,0.06571839633123912,0.028645610804900756,0.017319902902748634,0.021943488909309736,0.0,0.0137703043906766,0.017941433111628876,0.09167045692946955,0.2135006676543928,0.0,0.0,0.021100314666104663,0.06832930987999229,0.0,0.013364287633436235,0.0,0.01808004057766452,0.16578213422419352,0.05181880728047924,0.0353734675725325,0.09899560016820484,0.029716375255668715,0.005264815695464073,0.003743436236343611,0.13145348527455197,0.0,0.13367350773790507,0.09233425263348828,0.0069897370756219065,0.12536413615834444,0.0,0.07912974114665879,0.016278050523946642,0.05920730792568158,0.05816541062549656,0.028729570688866075,0.005055538775411476,0.0,0.0,0.0,0.0037417370517080746,0.020119394658846785,0.0,0.0,0.0,0.0,0.02947180183379364,0.0,0.031924616779807055,0.023275782886467068,0.0,0.1080762637343994,0.0,0.03788549800464908,0.0492394792870806,0.0,0.026348334749816703,0.0,0.0,0.03615018353624386,0.020509412098896385,0.0,0.0,0.03630756436960196,0.0,0.0,0.020228002816352522
50102376_pool0,0.019158870467467528,0.06579848807252744,0.016030516305836483,0.0,0.03550503344357824,0.017182514493962533,0.05257469343279624,0.020581224759562037,0.02282575983407335,0.0,0.0001793941367629705,0.0398339925542648,0.03539727200763965,0.03624811436280532,0.049970142752128306,0.04809208554529625,0.04073431284567475,0.05741927996799349,0.036607376179606355,0.04909455020858586,0.07810149782482205,0.01403033701432335,0.0,0.0,0.0384711263090206,0.030471057514076805,0.01827373039566929,0.018455112299255328,0.004886454370421638,0.006714987631482668,0.04625354819159104,0.04657735330042906,0.03597403388400077,0.011450010375341876,0.03712327701732559,0.06327695984411306,0.09057375013444847,0.02173412547377433,0.030678227868085686,0.020654940516980864,0.00835672850688887,0.04500340437665085,0.028482878377419984,0.0036791876880596813,0.05240790400981861,0.03256247751048792,0.02535332060344666,0.06737383569485411,0.02942106107903576,0.07356583741968413,0.04648130930064168,0.07658710823903153,0.0,0.04603823101074555,0.028793700265429836,0.03440244336506842,0.03827415139142361,0.031552547691061555,0.03748352844692933,0.04149426555230136,0.014183003734161443,0.09221477513989096,0.03355345086907368,0.03038132588688824,0.08353604460028367,0.030150552637561705,0.001595617963520898,0.08934803946545257,0.07510813251213652,0.09930728773197085,0.02468689718055865,0.04983552301442606,0.02585814162953832,0.04923146902397592,0.030526277683889515,0.1221564233805547,0.0,0.07628043506905613,0.07121436357847169,0.04073981804071448,0.0,0.07348848796893766,0.08224463942434254,0.0,0.039498093350910354,0.031856714635901284,0.047862524853609936,0.019380854773916434,0.0,0.19252757483089128,0.03586890138753865,0.05948187102138375,0.11786691466108251,0.00384905373365961,0.0,0.0,0.11304389634772202,0.03877094038832354,0.0659426085448669,0.0,0.01267869839047175,0.05775791772885297,0.03291394428434778,0.12498073130316567,0.002456735523924301,2.2836297245427727e-07,0.026612881653061787,0.04644984310127725,0.08264347143986614,0.0,0.01992917534766245,0.02415207426292356,0.0,0.024115187373422116,0.026780777129352704,0.04204098394350929,0.0,0.0,0.0,0.09157308800171732,0.06638570909751106,0.0,0.018435774528912135,0.059850169086167124,0.0,0.0,0.031411604356526575,0.1298303112417964,0.0,0.0,0.07009978804382677,0.022891132648738072,0.056026214205906255,0.027384171187931024,0.019749741785297786,0.21791972360790457,0.09865330844393341,0.029105786476300348,0.0,0.007139312281820352,0.0,0.012872987955324827,0.0,0.06858264391016757,0.002651288910515341,0.07818554668748666,0.0,0.04464901898504485,0.007267709672447957,0.03196694311903472,0.01563051104847389,0.0,0.03788446172761918,0.016156939134926263,0.01774065966984387,0.003523289232637491,0.04696855475114142,0.01627804945897918,0.08572963897880276,0.06115373942357553,0.03211012962723677,0.05088255862789497,0.03702461633357934,0.005909524632354457,0.03682950676657737,0.02374603794286376,0.057210394653063115,0.1810112985304386,0.0,0.0,0.03437205187641101,0.034468723819964,0.0,0.031970626718045174,0.05291981239669646,0.014246081698554881,0.14352002651452256,0.04862084851449341,0.0464879409512904,0.12691010019636778,0.02906871339121824,0.0040017057209656435,8.118295452311446e-05,0.10986008140587702,0.0,0.13534704148110266,0.0,0.0734291375589026,0.07285813933466412,0.0026568758281217976,0.07978370594952373,0.018065444306968235,0.09623537034269514,0.026638218705277862,0.026693616860521237,0.0014075746010426384,0.0,0.0,0.0,0.0654803984048913,0.0203609289898589,0.0,0.0,0.0,0.0,0.04812206367844787,0.020261626238555708,0.0,0.004643896591383029,0.0067118008415417065,0.0,0.0,0.046828592043098596,0.02908809096674512,0.0,0.07248008924777696,0.0,0.0,0.027769303108778485,0.03849942812233074,0.0,0.0,0.04712713934085859,0.0,0.0,0.028212325302398908
82317494_pool0,0.029293983419992668,0.08830885377489997,0.0018528839223837087,0.0,0.026275923010847337,0.018472009015085424,0.04486577527624163,0.10776588511766332,0.021473980486877806,0.0,0.0,0.03464602695277431,0.027872492785691948,0.0541575240891254,0.0513438968931476,0.15554110520669842,0.029094424416411593,0.10031082578416428,0.036960501994843714,0.028185493302946743,0.11541482951940225,0.01564737670928146,0.0,0.0,0.037744731625268445,0.038399367018861257,0.00605088951590836,0.024143358152819695,0.004320187613724137,0.011877659691887317,0.06619015644236981,0.037742932884222216,0.03206787634660075,0.004349299527079226,0.0370673304593495,0.06328431964398028,0.07740426018646278,0.01100245067348988,0.00965628311331895,0.023967596076847595,0.004582721656911212,0.05997284006352323,0.006853165319186522,0.0,0.07678689775975807,0.005100147023209693,0.028670309747669993,0.06868197886709608,0.16135033516427313,0.12673135300518526,0.029166013483331393,0.0703136852132352,0.0,0.0,0.008512232196928973,0.10502817895638378,0.10439974360141496,0.0009090040599859998,0.07662203800519615,0.02840856664234387,0.0,0.1589713988154534,0.0007211557378240885,0.02615543373895009,0.08672451697943655,0.05402781841651605,0.0017345865405756899,0.11445471189589017,0.08845800740034146,0.10148434462997359,0.00978200251730548,0.04950033294106949,0.007047371642922331,0.051256638843162665,0.027191539386687235,0.18010206311680957,0.006462009814870629,0.0780797790058082,0.11388281610553011,0.03698126521136589,0.0,0.06002726006277794,0.07538482491917922,0.0,0.06072970579132183,0.03668790190072497,0.03554091873634306,0.011952836719741516,0.0,0.18163341792762233,0.030942513491043495,0.0,0.11774917872197652,0.007462832611014948,0.0,0.0,0.0,0.0367166489079427,0.0,0.03162248092590744,0.0026459892293158437,0.07816480005175525,0.025288074066823298,0.13785469575432913,0.002391828398873054,2.93218056631292e-05,0.030395262643601994,0.09294985888005218,0.08566954415443982,0.0,0.014560394579968864,0.00019137299392718191,0.0,0.05116934821451143,0.029562677230655646,0.02416433267714463,0.03185627788428212,0.0,0.0,0.08225444903361935,0.08253484193555655,0.0,0.0,0.09536612408129429,0.0,0.0,0.08988862427664907,0.1748071498024029,0.0,0.08436007780293625,0.1911897516694908,0.00931594525233152,0.03723941515068971,0.03866690077438122,0.02852445819834939,0.23341456206318412,0.1264224915040084,0.02400103184362019,0.0,0.019265585207575292,0.0,0.01734772014460553,0.0,0.10800646716126355,0.0,0.06750156600993105,0.0,0.03936251783872889,0.00784790650028,0.028515318315189046,0.020404933420911407,0.025738189299221437,0.04405107984023436,0.021334410407593242,0.02988021146331014,0.006059603803458174,0.022730052926454934,0.0019926797086142907,0.14139641094898928,0.08690496816238495,0.022357865518025138,0.021367344484741316,0.03499742017027643,0.000439487581615214,0.01853846021708084,0.029823374599722053,0.07477498950268775,0.2452599881386929,0.0,0.0,0.026756876483801602,0.09374613104624115,0.0,0.002504953735965249,0.0,0.017093822893605334,0.1512598909357087,0.050443131081326156,0.05628499178115977,0.10242117125160634,0.015466166930525585,0.005937111802100625,0.0011906833330056787,0.11274486284506491,0.0,0.1324183574305069,0.0,0.05241889315675959,0.13111864080666427,0.0,0.08266115108212951,0.024385158039794578,0.10506947660462224,0.042426191442836124,0.03581132153900281,0.004809213220229014,0.0,0.0,0.0,0.0,0.010623107097221758,0.0,0.0,0.0,0.0,0.02144223016871337,0.009266945333913075,0.0,0.03963113145167581,0.022961423931590046,0.16486075027911823,0.0,0.021692596148190288,0.0,0.0,0.06154432774803943,0.0,0.0,0.04291272919477733,0.03380044925844718,0.0,0.0,0.05140496812361151,0.0,0.0,0.04356700543054166
