,regulon
10,"[LGALS3,INPPL1,MIR503HG,ARID5A,PYGL,CD74,FMNL1,PBXIP1,RHOC,ID3,FHOD1,C1QL1,CD83,SAMSN1,MSX1,LINC00987,CASKIN2,RPS6KA1,AKAP13,ITGAX,HSPB8,HAPLN2,CADM4,BST1,ISLR,BCAN,AMOTL2,ARHGDIB,ABHD15,PLAC9,ENHO,CSRP1,RGS5,APOC2,MAG,MEF2B,IDI1,ADSSL1,MYO10,APLNR,RPS19,C19orf81,PLEKHB1,SLC6A9]"
11,"[IPO13,TMCC3,SPRY4,RNASEH2B-AS1,CA3-AS1,RGS19,CA2,EYA4,ETV5,PCP4,PAPSS2,EPOR,SLC48A1,NTSR2,LSM2,ADGRE2,DLX1,CD36,VRK2,DUSP10,GMFG,PLP1,NPTX2,MX1,HIST2H2BE,HSPA1B,BCAN]"
12,"[NFATC2,JUNB,GEM,C11orf96,SERPINE1,TIMP1,GPX3,DUSP1,KLF4,CDKN1A,CARNS1,NPAS4,ITPRIP,TRIB1,HSPB1,THBS1,PMP2,SERPINH1,HSPH1,VWF,HOMER1,HSPA6,HSPA1A,ATF3,EFS,FOS,NR4A3,MFGE8,JUN,EVA1B,MFSD2A,DUSP6,LCN12,RFX2,MIDN,GADD45B,PHEX,RELB,COL4A1,GLUL,ETV5,ARID5A,PTGDS,EMP1,NR4A2,PDK4,PLEKHH2,SOCS3,GCH1,GADD45G,SAMD4A,AQP1,SAMD9L,ID4,TRIP6,VWA1,GINS4,HSPA1B,MS4A4A,PHF21B,MLC1,CDR2L,ADGRG1,TMCC3,LINC01023,SDC2,FGFR3,TIPARP,MARCKSL1,TRPC3,PTMA,FOXN3]"
13,"[HMGCS1,JUNB,NPAS4,HMGCR,JUN,TRIB1,GADD45B,TIPARP,PARP4,ELOVL5,ARAP2,COL6A2,CHD7,STARD8,SDC2,INSIG1,KLF2,FOSL2,ADAMTS1,LINC00863,S1PR3,GJC1,ATF3,BST1,SERTAD4-AS1,LINC01060,PPP2R5A,PROX1,EMX2,TNRC6C-AS1,TUBB2B,BCL6,ID2,WNT5A,ACKR3,HOMER1,TFEC,BCL2L11,CAHM,ASPN,SHISA8,RGS3,SYNJ2,CDPF1,KANK1,ITPKB,FDFT1,MEIS1,RORB,ZFP36L2,RREB1,MIR503HG]"
14,"[NFATC2,ZNF331,USP54,SAMD4A,NRG1,ROBO1,PLD5,GRID2,TMTC4,CDH4,HDAC9,ALK,KCNK6,FOXN3]"
15,"[CLEC5A,SERPINA1,MECOM]"
16,"[NIPAL4,RAB13,NFAM1,IKZF1,LINC01299,FAM111A,ATP10A,PLIN4,MBOAT1,TGIF2,MXRA8,CHEK2,CD68,MALRD1,ZIC2,OR3A2,SAMD13,NBPF14]"
17,"[LEPR,KLHL13,FGF2,ZNF804A,SKAP2,PREX2,ZBED3-AS1,CXCR4,ABCA1,PRRX1,IKZF2]"
18,"[INSIG1,BHLHE41,NR4A3,ID2,PTGS2,FOSL2,BTG3,TNFRSF1A,SLC48A1,ATF3,AMOTL2,SQLE,MCL1,HMGCS1,STMN4,GADD45G,MSMO1,RPS15,PYCR2,NR4A1,ID4,NLRP1,PERP,PTGS1,HES6,BSG,CHCHD7,COTL1,SCD,ELOVL5,SLC9A3R2,PNP,GADD45B,RFX2,NES,NPAS4,ZBTB7B,TAC1,PAQR8,NFKBIA,IDI1,CORO1B,BMP8B,INPPL1,GPX3,PIM3,DOHH,RPS14,LARP6,SLC39A1,SFRP1,IER2,RGS3,RPS2,HES4,RPL17,CD59,PHLDA3,LAMP1,NDP,ETV5,SERTAD1,DHCR7,MED11,SSNA1,EGR1,MIDN,COL4A1,GEM,PLIN4,CASKIN2,DBNDD2,HSPH1,STARD8,SH3BP1,GPIHBP1,NACAD,TRIB1,FOS,RPL38,ADAMTS4,HIST1H2BN,RPLP2,KLF6,ADRB2,HSPB8,JUN,RHOB,PTMA,H3F3B,HERPUD1,SLC6A8,TMSB4X,STXBP2,DNAJB1,NFATC2,KLF4,MARCKSL1,MYL6,RPL10,FLNA,C4orf48,FEZ1,RPL21,PRR34-AS1,CAHM,TMEM189,MAGT1,ENHO,FHOD1,FSCN1,RELB,RPL22L1,MEX3D,HSD17B1,BOK,FAM78A,CFL2,FAM107A,TUBB2B,RPS9,RPL13,HSPA2,DUSP6,HS3ST3A1,CNDP2,RALY-AS1,CDC42EP4,RPS11,LTBP2,VANGL2,ATP1B2,NMU,ERMN,NPTX2,RPS29,WFS1,G0S2,RPL35,ADGRG1,TTYH2,EGFL7,AIF1L,CADM4,DDIT4,RNF141,ZNF488,POU2AF1,SVIP,APLN,ATF5,NDUFA4L2,IVNS1ABP,ZNF267,FAM149A,ATOX1,TEAD3,ITGB8,MNDA,ASB4,ACP7,EPCAM,GAD1,GLUL,CCND1,CLDN5,SRPK3,LMOD1,LMO2,GSN-AS1,ABCA2,ITGA1,TFEC,BNC2,DPYSL3,MCM7,S1PR5,JAG1,DLX1,TANC1,MAP4K1,SALL1,OCLN,ZIC1,TMEM246-AS1,DUSP1,ARID5A,RPLP1,ADSSL1,SLC40A1,PPP1R18,NET1,CNP,LLGL2,VASN,RBP1,RNF181,TM4SF1,TNFRSF10B,CASS4,VAT1,CDKN1A,APOC1,GBP2,SEMA3F,SAMD9L,VRK2,FES,TNS3,RAB40B,RGS16,CCP110,KCNE3,PSTPIP2,GRAMD1A,PHLDA1,BIRC3,QDPR,GPC4,GFAP,NRG1,PON2,FXYD1,ATP1B3,ADSS,LZTS2,NR2F2,ARHGEF4,PPP1R3C,RAB3IP,PKP2,ACTL6A,EPAS1,TTYH1,SPRY4,CTSC,ITPRIP,CCDC150,JADE3,PDLIM3,CA8,TTC7A,BCL2L1,NXPH1,UNC5C]"
19,"[ATF3,BTG2,ID2,SCD,NR4A3,ELOVL1,HSPA1B,EGFL7,JUN,IER2,NR4A2,NFATC2,HSPA1A,HSPH1,PHEX,TMEM151A,AIF1L,CRYAB,THBS1,MUSTN1,NDUFS7,KLF4,MFSD2A,PIM3,GPX3,DOHH,DNAJB1,KLF6,NR4A1,TRIP6,ST7-AS1,PSMB8,HSPB8,VAMP5,DHCR7,BAG3,SERPINE1,INHBB,HS3ST3A1,DUSP1,LAMB2,ERF,JUNB,THBS2,DUSP6,EGR1,ARID5A,KLF2,PACSIN3,TAC1,H3F3B,SERPINH1,PDK4,CDK2AP2,RELB,ELOVL5,ITPRIP,RFX2,SLC7A5,MT1M,CST3,CRHBP,STAT6,PMP2,SFRP1,MT3,IDI1,BCL6,CDR2L,NAGA,MLC1,ENHO,MFGE8,TREH,ID4,AGER,HSPA6,TAGLN,CD9,PAMR1,COL4A1,GCA,FAM177B,EVA1B,RPS4X,FSCN1,TMEM256,CARD9,FGF11,TTYH2,GLUL,NDRG2,FDFT1,SLC25A35,SOCS3,LINC01480,MAFF,RPS16,EMX2,PSME1,COL9A3,TUBB2B,IL13RA1,GADD45B,CARNS1,TRIM47,PVALB,S100A1,CDKN2B,NRG1,ATOH8,ADGRG1,MARCKSL1,HMGCS1,C11orf96,MT1X,TSC22D4,RHOB,PTGS2,LMCD1,TRAF4,PIM1,EMILIN1,SHISA8,SV2C,BSG,SLC2A3,INSIG1,SERPINE2,LZTS2,CSRP1,ALKBH7,GPSM3,PHF21B,GPD1,CD63,CADM4,S100A6,SAMHD1,SLC9A3R2,IPO13,PTP4A2,PRR7-AS1,TOB2,APOE,SAMD4A,PRDX1,COBLL1,CPE,TRPC3,ADAM33,RIPK2,PLCB2,TPT1,TGIF1,TP63,SHROOM1,ARHGEF2,RASSF2,GJC2,ADAMTS9,RGS3,LCN12,CDKN1A,SYNGR2,INPPL1,DUSP10,CRIM1,PLPP3,AQP4,PIK3R5,GNAI2,ATP1A2,LDLR,PTCH1,RAB33A,NAMPT,RAI14,C19orf81,INF2,SLC1A2,PROX1,CASKIN2,PNOC,NFE2L2,KCNJ2,SPRED1,GBE1,PIP4K2A,NFATC4,KCNT2,BIN1,MYL6,EEF1A1,RPL29]"
