,regulon
10,"[SIGLEC9,TFRC,LINC00200]"
11,"[CNTN2,ARRDC2,SH3KBP1,SMAP2,TMEM151A,ERMN,CNR1,TRPM2,PRCD,NET1,MAG,TMSB4X,ANO4,SLC12A2,GALNT13,BATF3,SGK1,PTPRT,AGPAT4,SLC7A14,SLCO2B1,CRHBP,CDH9,GRIK2,STMN4,SPHKAP,AIF1,RPL3,GAD2,OPRM1,CHCHD7,NETO1,ITGB2,CLDND1,PLCB2,CLSTN2,HAPLN2,EMCN,KIRREL3,RPL37,LINC01010,PVALB,QDPR,ITM2A,RPL28,FGF13,FIS1,GMIP,CNTNAP4,STXBP2,SPOCK3,HS6ST3,HHIP-AS1,PTPRO,DLX1,PROX1,TBC1D8B,PCP4,KCNJ2,TMSB10,ARRB2,EMB,NLRP1,TMEFF2,PECAM1,CTSC,ARHGEF2,ANKRD30BL,PHLDA1,RPL37A,DACH2,RPL18A,RPS15,NEURL1B,EGFL7,LY96,XKR4,RPS10,RNASE1,TM6SF1,TYMSOS,GLRA2,ANKRD18A,KCNC2,RPS27A,SPP1,EDIL3,ADAMTSL4,BIN1,DEF6,TIE1,ETS2,ST14,RPL29,RPS19,TTTY14,SH3GL3,MAP6D1,RPL36,AFMID,GABRG3,SLC9A3R2,RPL23,KCTD4,SLIT2,CA10,CD33,FAM178B,FAM78A,TRHDE,NHLH2,RPS16,LARP6,RPL35,RPL26,TRAF3IP3,SYNJ2,IPCEF1,ZNF488,UNC13C,SLC2A3,DBNDD2,GRB10,VWC2,GALNTL6,IGFBP4,WNT5A,PLP1,A1BG,ETS1,SERTAD4-AS1,ITPR2,ANXA2,AMOTL2,PLLP,TACR3,SYNPR,CD69,ISLR,MAFB,DUSP7,CHRNA2,PTPRB,RPS4X,F11R,HLA-DPA1,DLEU7,NKX6-2,PTGS2,ARG1,FOLR2,CDR2L,LMNA,OTOF,SBNO2,RPL34,KCNS3,CBLN2,TRIM61,PTPN2,C4orf48,SIGLEC10,TMEM26,PCA3,CACNG4,EEF1A1,TRIM38,RPS23,PHLDA3,TENM1,SHISA8,WASF2,GPR85,ELOVL7,NMUR2,SLCO4A1,POU2F2,GIMAP7,IKZF2,TLL1,ARHGAP29,APOD,PLA2G7,CD53,PWRN1,TUBA1A,FLI1,RPL18,SKAP2,KLHL1,NLRP3,SFRP1,LPL,CREM,APOLD1,LAYN,TMEM119,DOCK10,TRPC4,MARCH10,ANK1,TEP1,SLC44A5,HCLS1,LTC4S,PELI1,GAD1,IGFBP6,MYL6,LINC00536,PIK3CD,NDUFB7,ARHGAP27,S100A9,SLFN12,KLRC3,ADGRD1,GOLGA7,JOSD2,STAB1,MOG,KIT,ARHGDIB,DPYD,NABP1,SHTN1,PIK3AP1,COL9A3,RHBDF2,SEMA3E,CDK2AP2,FCER1G,PACRG-AS3,LILRA2,TNFRSF10A,TRIM34,COL19A1,FCGR1A,RPL10,ATF5,HBEGF,MYL12A,NEK6,ACKR1,STAT6,ENPP2,ZEB2-AS1,PAQR5,CTTNBP2NL,NCKAP1L,DOK3,TRMT1,GLDN,RPS24,MYT1,APBB2,ATP11A,GAS1,TBX19,BLM,NUAK2,ADAM19,S100A8,ZNF385D,HEBP1,CDH5,TYROBP,RALY-AS1,PIK3CG,ST3GAL1,SLC40A1,ZNF804A,C4orf19,FEZ1,PLPPR1,NIPAL4,FXYD5,GAL3ST1,NMU,ENPP6,SHROOM1,KLHL5,SULF2,RPL32,SNX30,BSG,NXPE3,SPATA13,CDH12,TIMP1,KCNAB1,ST3GAL6,CHST6,DAB2,FAM177B,NGFR,PPARG,ADAMTS9,SAMD4A,RAB3C,INPP4B,MGAM,JAM3,EGR1,SFTPC,RAB33A,FCHO1]"
12,"[LPIN2,BCAN,ANK1,CMTM6,DOCK7,AP3B1,JAM3,RANBP3L,ITGA1,PLOD3,ROR1,ADRA1A,GAS1,HTR3E,EPHA6,HDAC9,RUNX1,PAX6,CCDC26,ZBTB37,PAX8,MID1,SP110,MITF,NEDD4,SLC4A2,FANCL,MYO1B,ZNF599,C12orf75,CRYBG3,RAB31,ETV1,PTGS1,MAP3K1,STARD8,PTPRZ1,CRIM1,ACTA2,ADAMTS18,MYLIP,PTOV1-AS1,BCL11B]"
13,"[DUSP6,TRIB1,GAS1,DACH1,AMER2,OLIG2,IL15RA,BCL11B,LRRK1,C1orf61,PTPRZ1,ZNF804A,OAS3,ATP1A2,ETV5,PDGFB,GRIK1,TRAF4,UNC5B,PSME1,ITGB1,RNF182,SOX8,STK32B,ASCL1]"
14,"[CD44,C4orf19,MAOB,FGF2,TMEM164,CACHD1,IL13RA1,STK10,PLB1,CNN3,CDKN1A,SULF1,TANC1,OSTF1,HGF,PLD2,C11orf96,GADD45B,NEK6,OSMR,ADAM12,ZIC1,PMP2,DTX3L,ABCC9,ADAMTS12,GAB2,ARID5A,NOD1,MFHAS1,PTPRE,MAP3K14,CD82,WIPF1,CD93,PPARD,PYGL,ASAP3,SLC9A9,TMBIM1,PARP9,STK3,IQGAP2,COL4A2,CLIC4,AKAP13,CIITA,IRF7,CYP1B1,IFITM3,PROS1,APOL6,GHR,GCH1,PP2D1,UBASH3B,RHOU,LDLR,BOC,NPNT,MATN2,LRRK1,COL4A1,GAB3,F3,MFAP3L,MARCH3,SCARA3,LGALS3,CLMN,MOB3C,CEBPD,ZFP36L2,LTBP1,FCGR1B,FN1,LRRC3B,GALNT10,ADORA2B,HPN-AS1,TNFRSF10B,IFNGR2,PLEKHF1,RASGEF1B,SPSB1,ITGB1,RASL12,PIP4K2A,ARHGAP22,IFNLR1,ETV6,GBP1,ZNF678,PLSCR4,TRIP10,MUSK,RBM47,EDA2R,LMCD1,GPX2,TAB2,RNF43,CDKN2A,S100A11,FRMD3,LIMD1,CRIM1,ZNRF2,KCNK2,HPN,BARD1,C1orf198,PLAC9,SYT17,ZNF804A,UGCG,GAB1,CD74,MCL1,FGF11,PTH1R,ITGA5,DSEL,TNC,KMO,TGFB3,DTNA,DUSP10,LMO2,PECAM1,PLAC8,ARL15,NTNG1,TLR2,PLAGL1,SLC1A5,CLDN11,PRIMA1,ANOS1,SLC39A1,TGIF1,SLC40A1,NEDD4,CDH23,WWTR1,TFEB,RPL3,FGFR2,LAMA1,RIN2,ZIC4,LRR1,CDCA7L,CD163L1,NGF,KDR,SRGAP2B,PPIB]"
15,"[CH25H,ATF3,JUN,MAFF,NR4A1,PDE1C,NR4A2,LPCAT2,ARID3A,ICOSLG,AEBP1,ADM,FOSL2,SLFN11,RHOBTB1,RGS16,ROR2,JUNB,VEGFA,EFNA1,BDKRB2,IL4R,KANK2,RAMP3,PLCE1,IL13RA1,SERPINF2,TGFB3,LINC01146,SYNE2,CCBE1,GJA9,GEM,BVES,SH3BP1,TNFRSF10D,ANKRD37,PCA3,LMNA,CLU,FOS,PFKFB3,F11R,ERF,IRAK2,GAS2L3,RASAL1,NID2,BLM,ZNF331,HES1,TCIRG1,PLXND1,DNAJB1,RHBDF2,ATP8B4,BIN2,LDLR,ATP1B3,ABCA10,IFITM3,RNF122,RASL12,IFNG-AS1,HIST1H4E,COL8A1]"
16,"[HK2,NEAT1,RHBDF2,ITPR3,EPHA1-AS1,NR4A3,CRISPLD2,CLIC4,ELOVL5,VEGFA,NR4A2,PLOD2,JUNB,CDKN1A,TFRC,YBX3,GCH1,NR4A1,PELI1,RNF122,ROR2,SAMD4A,STK10,EPAS1,UBASH3B,MCL1,TMEM255B,GAS6-AS1,LPCAT2,PXDC1,HSPB1,UGCG,NDRG1,WDFY4,SBNO2,PIM1,ETV6,COLEC12,DAB2,CHST6,HMCN1,SYNE2,PYGL,RRBP1,BVES,ITPRIPL2,FN1,NFKBIZ,ZFP36,IER3,ARID3A,ADCY5,FOSL2,RBM47,ATAD3C,ARHGAP29,ABCB1,SULF1,ZNF331,GADD45B,LINC01500,BCL3,ADAMTS7,TLR2,CSF1R,RASAL1,PPP1R3C,IGFBP5,LITAF,MATN2,ADAMTS1,PCED1B-AS1,DDIT4,CNN3,TPT1,GNA14-AS1,PLAG1,MOBP,TANC1,MTHFD2,ICOSLG,ANKRD37,GHR,ATP1B3,LATS2,MAFF,TNFRSF10B,NAMPT,WIPF1,SUSD6,KRCC1,LMNA,ZC3HAV1,SLC4A7,MIR34AHG,RASGEF1B,AMD1,S100A8,CGN,GAS2L3,EVA1C,DGKD,TGFBR2,C1RL,ETS2,BACH1,SLC38A9,TMCC2,PDE1C,NPNT,TP53BP2,ERG,ZDHHC9,ADGRG6,RAB13,AKAP13,PTPN13,IKZF1,TTTY14,NTNG1,MYO1E,OTUD7B,SVIL,LMF1-AS1,MAPK4,BAG3,SLAIN1,MARCH3,CA12,FRMD3,NFE2L2,RAB39A,H3F3B,RASL12,APAF1,SLC2A1,SYNE3,KCNJ2,GLIS3,LINC00578,TIPARP,FLNC,NMI,GPCPD1,SYNJ2,QKI,TPD52L1,LIMS1,RB1,ELL2,TP53INP1,FIGN,HSPA5,MET,ERBIN,AFF1,OSMR,PTPDC1,PLEKHG1,BMPR1B,MAP7,ADGRV1]"
17,"[MAPK4,RB1,CPT1A,ARHGAP24,CABLES1,RAB11B-AS1,ACER3,PDE3A,CHD7,PRKX,LINC00511,IRF2,PAX6,MMS22L,TLN1,SCD5,TTC7A,PTPRM,LZTS2,GPSM2,IGFBP7,NASP,MGAT1,PLEKHA2,BCL2L1,AVEN,MITF,SLC29A3,HIF3A,LRP5,ZFHX3,ROBO3,ARHGEF40,KLF15,KANK1,RAP1A,FOXO1,MTMR10,GLIS3,GFRA1,EFEMP2,FANCC,PRDX4,ARHGEF4,CLMN,GATAD2A,TBC1D14,SRBD1,SLC7A2,TMTC4,TFEB,LINC01505,CBLN2,IL6ST,LDLRAD3,ARHGEF6,CDCA7L,FBXL7,LIFR,RGS3,SALL1,IRF5,CACHD1,LYPD6,FOXN3,KAT2B,OCLN,RHOBTB3,PTPRZ1,RDX,MFHAS1,QKI,TRAPPC10,PMP22,PDE8A,SLC40A1,EFHD1,GRTP1,BCAR3,TBC1D4,FIGN,TTYH1,WIPF1,PREX2,NEK7,FMNL3,GADD45G,CDKN2A,JADE3,CD83,CRYBG3]"
18,"[NXN,ZNF516,PTER,SALL3,ERG,CENPE,HLA-F,NR2F2,SH3BGR,LDLRAD4,DISC1,FOXP2,RASAL1,GSTM2,CTSC]"
19,"[CYP27A1,BMPR1B,IL6ST,UACA,ERBIN,CDYL,TGFB2,FIGN,GPD2,MPZL1,GAN,PARD3,LRRC3B,PLSCR4,SDS,CNTLN,ANOS1,AKAP13,IRF9,GPCPD1,RAP1A,ANXA2,PHEX,NHS,CPEB2,UNC5C,THBS4,MBNL3,ZNF804A,SMAD6,RBMS3,GNB4,TGIF1,FAM124A,TMEM123,PDE4B,PRIMA1,ASPH,MTMR2,CD226,SLC4A7,SLC22A23,MALRD1,IKZF1,SLC40A1,NMI,GAB2,AFF1,EGLN3,KLHL5,PDZD2,TGFBR3,MOB3B,VMP1,SYNE3,ACKR3,CNTNAP3B,LIFR,CD109,PCED1B,LDLRAD4,CDC14A,MIS18BP1,TMEM45A,AKAP3,CD9,SPATA6,IFT80,TMEM98,APAF1,C1GALT1,GLIS3,DIAPH2,LRIG1,SKIL,MAP7,TAB2,ETS1,PIP4K2A,PTPRJ,EHD4,SAMD13,ROBO1,STK17B,CACHD1,TMTC2,IGFBP7,MBOAT1,SH3RF1,BICC1,TMC6,PLXDC2,QKI,S100B,PIK3R5,GXYLT2,HPS3,IKZF2,SLC39A1,PMP22,SOX9,FGFR2,KLHL32,OMA1,OVCH1-AS1,EMP2,CDK19,DCC,RHOB,ELK3,STXBP3,RNF19A,KREMEN1,GALNT10,PDLIM3,BCL2,CTBS,ACTA2,RAB40B,UST,DSC2,CTTNBP2NL,FAT4,LEPR,USP6NL,PHACTR2,RCAN3,KRCC1,SLC22A15,PLAGL1,PDLIM5,ADCY2,IKBIP,OTUD7B,RAP1B,IRF8,FNDC3B,PARP14,MFHAS1,SERPINB9P1,ZNRF2,RUNX2,CDCA7L,PTPDC1,PTPRZ1,RBPJ,A4GALT,CRYBG3,TRAF4,SP140L,PARP9,MARCH3,LINC01176,TRPS1,ZNF678,DSE,GYPC,PREX2,ACER3,CRIM1,FRK,MIR17HG,ABCC9,TNFAIP8,ZNF652,ABLIM1,TAGLN2,SPN,SLC35D2,ZNF608,C18orf54,EMX2OS,PLAG1,NIPAL3,POLD4,RBMS1,DGKG,EPB41L2,ITGB2,CASP8,SPRED1,DIAPH2-AS1,SRGAP2,RCBTB2,GLI3,LINC00863,MS4A7,CYTIP,BCL11B,FOXO1,FAM126A,CECR2,TXNIP,GFRA1,MMP14,TP53INP1,ARHGAP27,LPAR1,ZNF618,CHSY1,ABCB4,PECAM1,NEDD9,BOK-AS1,PRR5L,SH3D19,LUZP2,PRKG1,DOCK7,ZNF521,TNS2,FKBP5,ITGB1,LINC00886,DUSP16,NRP1,WIPF1,PCDH11Y,SLC44A3,TMCO4,GAB3,BAIAP2L1,NCOA3,GNG12-AS1,GNG12,ZNF516,ARHGAP12,ZNF367,FANCC,TMEM165,KIF13B,ZNF621,CHST9,FAM13C,DTNA,RAB3IP,TIPARP,COL25A1,ATP8B1,WWP2,ZFAND6,NR2F2,NTNG1,RBM5-AS1,LRRC8C,ADAMTS7,CABLES1,SLC26A5,FGD4,ETV6,LINGO2,LATS2,VEZF1,RREB1,TNFRSF11A,IRF2,LPIN2,LENG9,UBE2E1,LITAF,THSD7A,ADD3-AS1,EDA,PAX6,YES1,MYL12A,SALL1,ANK1,CTBP2,PRR16,LGALS3,TCF12,EPS8,PLEKHG1,HNF4G,TRPM3,SLC16A10,ARHGAP22,ZNF462,RASSF8,HTR2C,CDH20,ROBO2,FOXP2,NEK7,SLC4A4,LRRC8D,WHRN]"
