,regulon
10,"[MTRF1L,EMC2,UBXN2B,CLOCK,SLC12A2,ZC3H15,FAR1,SCAF11,SLF1,MPP5,ARID2,TM7SF3,VRK1,TNPO1,ASAH2B,RHBDD1,USP33]"
11,"[MRVI1,TNNT2,RGCC,GCNT4,NRN1,TNFRSF14,S100A13,NEUROD2,LRP4,SATB2,ITGA2,LGALS3,S100B,SLC17A6,ATP1A2,CSRP1,CRB2,GPR37,ITPKA,SLC17A7,RORB-AS1,LGI4,ETNPPL,EMX2OS,WASIR2,GATM,RTKN,PMP22,PLSCR4,TBR1,TMC6,SOX9,PPP1R1A,BCAS1,MYRF,MT1M,PTGDS,ERBB3,VIPR1,SEC14L5,MAG,HES1,SLC9A3R1,CD22,RHOC,MFGE8,KRTDAP,ABCC9,EFS,SYNGR2,EMX2,RORB,SLC5A11,SLC14A1,CEBPD,COL5A3,INF2,STON2,IGFBP2,SLC1A3,HSD3B7,F11-AS1,NHSL1,TYRO3,ITGB4,SYNPO,C1R,TSC22D4,ADIRF,RARRES2,MOG,NDRG2,ZFP36L1,ZFP36L2,SPON2,AHNAK,IFITM3,DDR1,TESC,ACSS1,SHROOM1,CARTPT,BMP8B,CTXN1,NOTCH1,MICALL2,TTC39C-AS1,MT1E,PAX6,NDRG1,CD101,VIPR2,VSIG4,TRIP6]"
12,"[KANSL1-AS1,DDX3Y,PLEKHA3,RMND5A,TMSB4Y,APPL1,BTBD2,RXRA,SYPL1,CEP41,DNAJC14,ZNF302,SNX3,ANKRD52,GPR22,GMNN,DUSP19,BAIAP2L1,ZDHHC5,HACD2,ANXA4]"
13,"[PELI2,INTS6,USP12,ABHD5,CADM1,CHSY1,SEMA5A,TCP11L2,DLG1,CHD1,SPEN,ZDHHC2,STAG1,SMAD2,PPP3CA,SLC22A23,LRRN2,KLF5,SPAG1,MAN2A1,MFSD14C,ZNF281,PRKAA2,HIVEP2,TRIM39,MKX,CDK6,KCNMB4,SFSWAP,TPP2,PDE4D,ACSL1,YAF2,XPO7,ATP11B,CNOT2,RNF138,NUTM2A-AS1,SMAD7,CPSF6,ATXN1,UBE2E3,ENAH,CEP350,RFX3,TET2,SGMS2,FBXW7,GRM8,SGMS1,HNRNPLL,PALLD,EFNB2,ITGAV,MIR31HG,ABHD13,TEAD1,PPP1R13B,ABCD3,KCNA3,CAMK1D,ZNF384,RNF19A,TBK1,TSC22D2,NLGN4Y,ZNF518B,KMT2E,BRAF,RGS17,ZNF148,AFTPH,PLCL2,QKI,NCOA2,CNOT4,SMG7,ELOVL6,PCF11,SCMH1,NOS1AP,UBR5,UNC5D,KAT6A,PKP4,EPB41L3,SSBP2,ANKK1,DYRK1A,FAM214A,GRB10,GNAI1,KDM7A,USP9X,ATXN2,LINC01578,FYN,NLGN1,OXR1,DAAM1,CDKN2A,SLC30A4,SLC4A7,IGF1R,INO80D,RBBP7,RYBP,FOXO1,ZMYM4,PAM,ZCCHC2,HFM1,RNF24,CHPT1,NCKAP1,TMEM263,SRGAP1,ROCK2,STK40,RCBTB2,CDK17,SUPT20H,ITGB1,ERBB4,SVIL,TFEB,LIN7A,CTTNBP2,NUB1,RAVER2,FOXN2,PAQR8,GLS,ABI2,LIN54,ADAM10,LARP1B,KTN1,MARK1,PUM2,JMJD1C,KMT2C,CASP3,PLCE1,C1GALT1,MTMR3,NRG1,REPS2,ACSL4,FBXL14,ZNF385B,PDE4B,TP53INP1,CYLD,TBL1XR1,BMPR1A,FNBP1L,BCL2,NR3C1,SSTR2,VSNL1,ARHGAP29,SRPRB,ARHGAP24,SLC12A2,MAPK8,C1orf21,ELF2,NRIP1,NFKB1,ARIH1,PLPPR5,NRXN1,FBXO34,NEK7,FUT8,CNTN4,AKT3,ARHGAP26,L3MBTL4,EPHA6,SETD7,SPTBN1,PDCD10,SLC30A1,TMEFF2,ZMYM2,SCYL2,MAP4K3,RANBP2,ATF2,TOB1,CUL1,CTNNAL1,SNX25,DCUN1D4,MED13L,NXPH1,TRIP12,KANSL3,SESTD1,KCTD8,RALGPS2,ADD3,PHF21B,ANKRD17,HERC3,ANAPC4,AGFG1,RAP1A]"
14,"[FBXO22,YARS,SEC63,LRRFIP2,LTV1,CUL3,RB1CC1,XKR6,USP10,SETD2,LPGAT1,TOP2B,DDI2,SLC7A8,SMURF2,ARNT2,DPP6,TAOK1,NR6A1,DENND4A,SMARCA1,ME1,SETD5,YEATS2,CUL2,RBMXL1,PAFAH1B1,ANKRD13C,FAM49B,PDLIM5,AVL9,AFF4,PHIP,ELF2,SEC23IP,NAA15,SMAP2,SECISBP2,SLC23A2,GRB2,SDCBP2-AS1,RC3H2,ABI2,ADSS,ATG10,PTPRO,RCOR3,FAM189A1,PPP4R3B,KMT2A,PIP5K1B,CHD8,TSG101,KDM5A,GABRB3,USP9X,ACSL1,TLK1,CCDC82,SNX9,CWF19L1,NUP43,TCP11L1,DAPK1,TRIP12,WWC3,SNCAIP,EP400,GSPT1,NFIB,AP4S1,PCNX1,STXBP1,CEMIP,CHD2,CDH11,TMEM41B,COG3,KIF1B,TMEM218,ADRA1A,MYO9A,SLC25A33,FAM135A,CHIC2,PRKCI,LIN7A,EMSY,ANKS1B,RANBP9,ACADSB,GPR107,CAMTA1,KPNA1,CAPN15,CHSY1,NAV2,KAZN,SLC16A14,CLIP1,SUMO1,PRKAA2,ZNF562,RNF217-AS1,VPS53,BCL2L13,ATP6V1E2,IDH3A,DIDO1,ABCD3,OPA1,UBE3C,MED23,SIAE,KLHL42,DAAM1,CHD4,EIF4ENIF1,PHF12,RDX,DUSP16,ATG5,METTL8,FBXW4,WTAP,NAP1L1,SEC14L1,LDLRAD4,SCYL2,KIAA1958,CD2AP,PDK1,CDC123,LPIN1,PTPRM,JARID2,OSBPL3,TNFRSF21,PAK3,SRSF12,KPNA6,UBAC2,HERC4,TSFM,JAK2,AGTPBP1,AMOTL1,DNM1L,GPR155,ZNF431,MTMR3,LRRFIP1,PDE8B,NEBL,BRINP1,SPTAN1,TOX3,GEMIN8,CELF1,MARK1,PRPF38B,VPS54,GATAD2B,ERC2,PIK3C2A,LRPPRC,MATR3,FNDC3B,USP42,OSTM1,NFE2L2,FBXO9,THSD7B,GRB10,DDX52,QKI,INTS6,TSPAN4,HECTD4,CDC42BPB,CDKAL1,IRGQ,L3MBTL4,RASGEF1B,EML1,ELMOD1,CCDC47,GAN,RIOK2,INO80,MYO1E,RAD1,USP3,KCMF1,PCM1,CCR6,FBXL7,MSRB3,HP1BP3,ZNF613,PAM,ESYT2,TEAD1,ARSJ,KIF5B,RNF20,RPGR,CACNA1D,C1orf21,NUP50,SMAP1,OSMR,EDIL3,MKRN1,BAZ1B,ATF6,PGAP1,CAST,FAM214A,BOD1L1,TUG1,GOLGA4,LINC01138,ITPR2,LONRF1,DCAF12,WDFY1,RAB6A,BEND3,AGO3,NPAS3,DTNA,USP25,WAPL,HOOK3,CDK8,AK5,C9orf72,PLCE1,PPARG,SLC22A23,C11orf49,DAB2IP,DDX6,NCOA3,SGMS1,JAZF1,NAA16,TNRC6B,UXS1,CTSB,NUP153,UBE2W,PRKACA,RAP1B,ZNF883]"
15,"[STXBP5,CHST9,CRBN,HNRNPLL,GCFC2,ACSL3,UBE2E3,P4HA1,G2E3,YTHDF2,UNC5D,ARID2,NAA50,SYPL1,KIF5B,C5orf30,MFSD14B,LIN54,AP1AR,SLC38A2,TNFAIP8L3,KIZ,ARHGEF37,CEPT1]"
16,"[ZFY,JADE1,RBPJ,NCOA5,C2orf88,SMAD2,ZBTB20,CREB1]"
17,"[SNRPB2,RAE1,TMEM167A,NAA20,SPCS3,SSR2,B3GALNT1,UBE2N,LINC01572,B4GALNT4,TAF7,TFIP11,TOMM70,NIF3L1,COMMD3,CCAR2,CGGBP1,LRIF1,SLF1,RGS5,C14orf119,CTDNEP1,VSTM2A,BIRC2,AZI2,SRSF7,PPM1A]"
18,"[OPA3,HMGN1,SAMD4B,E2F3,FAT1,RBBP8,FOXN2,PLS1,ZNF10,MAK16,PLPPR5,F8,CDC6,CXADR,RSPH1,ZC2HC1B,PTPRS,MED26,SYS1,SH3RF1,TMEM231,DNAJB11,TRPC3,TMEM164,SOX7,HDX,ZFP92,CREM,FLT1,GPCPD1,SREBF2,BNIP1,TWISTNB,GLE1,SMS,EPHA8,POMZP3,UBAP1,PHYKPL,PRDM5,GPD1,RABL3,TOX3,IGF1,PRICKLE2,RYBP,SKIL,LRRC8B,TRAPPC10,LAMP5,HIST1H2BN,DLX6-AS1,DOK5,DNAJC27,TCTEX1D1,ZFY,SEC24D,BRAF,CELF6,KRBOX4,WBP2NL,SHANK2,LIG4,CPEB4,PBX3]"
19,"[RAD54L2,ANO10,SMG6,TMEM229B,KLHL29,ARHGAP22,STARD13,PPARA]"
