Cell,AEBP2(+),ARID5B(+),ARNTL(+),ATF2(+),ATF4(+),ATF7(+),BCL11A(+),BCLAF1(+),BHLHE41(+),BPTF(+),CCNT2(+),CEBPD(+),CEBPZ(+),CHD1(+),CHD2(+),CLOCK(+),CREB1(+),CREBL2(+),CREM(+),CUX1(+),DBP(+),DDIT3(+),DLX1(+),E2F3(+),ELF2(+),ELK4(+),EMX1(+),EP300(+),ETS2(+),FOXG1(+),FOXK1(+),FOXO3(+),FOXP1(+),GTF2B(+),GTF2F1(+),HDAC2(+),HES7(+),HIF1A(+),HMG20B(+),HSF1(+),ILF2(+),ING4(+),JUN(+),JUND(+),KLF12(+),KLF9(+),LHX6(+),MAFG(+),MAFK(+),MAZ(+),MBD2(+),MECP2(+),MEF2C(+),MEF2D(+),MGA(+),MNT(+),MXD1(+),MXI1(+),NFAT5(+),NFE2L1(+),NFIB(+),NFYB(+),NFYC(+),NKX6-2(+),NR1H2(+),NR2C2(+),NR3C1(+),OLIG2(+),PBX1(+),PBX2(+),POU2F1(+),POU3F3(+),POU6F1(+),PURA(+),RFX2(+),RFX7(+),RFXAP(+),RXRB(+),SMAD2(+),SMAD4(+),SMAD5(+),SMARCC2(+),SOX10(+),SOX2(+),SOX9(+),SP3(+),STAT1(+),STAT2(+),STAT5B(+),STAT6(+),TAF1(+),TCF12(+),TCF4(+),TEF(+),THRA(+),THRB(+),USF2(+),VEZF1(+),YBX1(+),YY1(+),ZBTB11(+),ZEB1(+),ZNF148(+),ZNF431(+),ZNF445(+),ZNF519(+),ZNF586(+),ZNF76(+),ZXDC(+)
66754397_pool0,0.0,0.3194691598185447,0.03068637874486518,0.05598372151342575,0.004218724683892879,0.18496536222328422,0.10534281714167365,0.12810696669052996,0.0,0.010776134315881232,0.01547940084834179,0.0,0.0,0.13343844851240552,0.10154162903787407,0.10778962526246466,0.07057375045454749,0.0,0.018999470779052834,0.0,0.0,0.0,0.0,0.10324061383165624,0.0844538285518846,0.07262200871142678,0.0,0.10786929274124428,0.019413826587678075,0.002242547129062919,0.15084305501726508,0.2860016970976873,0.18240536139583607,0.04628593595971297,0.0,0.06542793916823213,0.0,0.021070148203444418,0.0,0.0017849461883122566,0.0,0.001536976024626538,0.0,0.01724212141164761,0.24974119069853376,0.014904108638279807,0.020463395124993893,0.01282490507609877,0.0,0.008402243326952939,0.028293137814627677,0.10428556741907939,0.20267844853778028,0.029658320543716712,0.05061301402244714,0.0,0.06828314096482317,0.021375204778672986,0.1689859055519898,0.02777009251615825,0.3031262109054398,0.0021865222062043776,0.08026773249162303,0.0,0.0,0.0369296837791813,0.145634687451312,0.0,0.34955418821789924,0.0,0.10693878169484704,0.0,0.0,0.031159102000414492,0.0,0.09762586831880216,0.12471146967766326,0.005677352113430641,0.01857440594406622,0.0,0.04344860769952947,0.0,0.0,0.0,0.0,0.14733754197562315,0.006286129453244435,0.006766556877905639,0.1460233551371891,0.0,0.0035265675263757533,0.44459801587707454,0.2825420947087153,0.005587575239357916,0.008006622435610008,0.30860146251645143,0.0,0.035310862023876774,0.005358909319664844,0.07182274062828561,0.0274207255921199,0.29270794586954235,0.20664961573328636,0.0,0.025765253607852513,0.10393370092391067,0.0,0.0,0.0
46000440_pool0,0.0,0.30294259979377913,0.024010433400831647,0.0501237658091609,0.004835931617016213,0.1968711271511921,0.10249905564606508,0.13159454987523417,0.0,0.007537369786066535,0.0,0.0,0.0,0.1549750969509017,0.1371361751939692,0.08569077266343952,0.01740565543555551,0.0,0.04324144284542457,0.06784682938567443,0.0,0.0,0.0,0.1934940322810866,0.07984586056704193,0.08119406397046636,0.0,0.08238118458877616,0.027459759037889997,0.0016500410920443416,0.1794512569851325,0.20223220086256233,0.14486607363576867,0.03732160696272368,0.0,0.054716885307442155,0.0,0.006892715148723678,0.0,0.004721805323733005,0.0017488445197992057,0.002671457333875874,0.0,0.01974143809333598,0.27569008971827247,0.018076254922901318,0.03180404968301709,0.019206822125871728,0.0,0.0018052784199174621,0.03202723238820101,0.13331528639951415,0.17254216995150545,0.04966772572454565,0.04576907673536895,0.0,0.05041020484008892,0.006179561571085554,0.2547061501833485,0.027597109137026097,0.2309849625256507,0.002674284852203816,0.0476146736292383,0.0,0.0,0.04607962813595748,0.133787702697373,0.0,0.30561743921930906,0.0,0.11182059908514441,0.0,0.0,0.017479381551094866,0.06903847879537145,0.04966356622664383,0.02688173145422535,0.0023704473711134906,0.008328293489278943,0.0,0.032920841079265455,0.0,0.0,0.0,0.0,0.11087030466980582,0.0,0.006297371122076402,0.14574380858215327,0.0,0.024900361771398278,0.38158823417622545,0.22566359580135303,0.005542002829072089,0.0002752671102629125,0.24440666562477964,0.0,0.03560922511480917,0.0062304495343773565,0.09254429076623383,0.039770008357857066,0.2518008971106378,0.19357074217375822,0.0,0.02506971272407246,0.03792381415443684,0.0,0.0,0.0
46000440_pool1,0.0,0.29240058205638647,0.026678408083309197,0.04902629501221402,0.004330896669546153,0.19329839726603007,0.10311726466684956,0.13308422645496104,0.0,0.0069569901188894405,0.0,0.0,0.0,0.15183812492461596,0.13942383522236315,0.07713420511447415,0.07171510490933801,0.0,0.0469585839380637,0.05589268193541194,0.0,0.0,0.0,0.21519460429133702,0.06089753861657597,0.07852357914799069,0.0,0.09104592955360084,0.0,0.005644692945412265,0.20412845853616782,0.21668732959778753,0.14962591789731938,0.03679981819015926,0.0,0.05856910846043444,0.0,0.017001639700265817,0.0,0.004358589529599696,0.0011195873794976226,0.0025356575629555764,0.0,0.021354921014425942,0.25064818916688003,0.016461570265485434,0.02682420506159731,0.018687718825172492,0.0,0.0024283132958566067,0.0328400372574403,0.12600551867030163,0.1471594337165408,0.045467461990420704,0.05053111912512334,0.0,0.04599465351977217,0.0,0.28501458116345424,0.026315281123134755,0.38968978680763827,0.0026106508287365724,0.046372570203878034,0.0,0.0,0.051239781737792284,0.17966370111840096,0.0,0.3051872300557663,0.0,0.1314202980843066,0.0,0.0,0.017796821353422924,0.08190096894886216,0.03958347263187037,0.045998550868731454,0.0053854611383999254,0.006532972737099051,0.0,0.033117412683117464,0.0,0.0,0.0,0.0,0.10963040360525073,0.0,0.006245627743660184,0.14658244824726066,0.0,0.030889820860408226,0.3680141934929822,0.23075785290982237,0.006569886021743542,0.00014009129718737512,0.2532097955108844,0.0,0.04115159177673571,0.007092608477331266,0.08447939799817705,0.047888126822066626,0.2502945125376961,0.19453630269283276,0.0,0.02522091726402464,0.03481530479751579,0.0,0.0,0.0
46000440_pool2,0.0,0.2849447159251974,0.030384610680892675,0.04604345604377964,0.003846833429261373,0.19360496371650374,0.11424502704097,0.13158118781464648,0.0,0.009216648903032441,0.0,0.0,0.0,0.14973021349453255,0.14112198494510064,0.07529519279455145,0.08103616629012729,0.0,0.047934359846199544,0.041298740425857024,0.0,0.0,0.0,0.20780966614577753,0.06098214786461867,0.07960955849355426,0.0,0.08290271514813438,0.0,0.005742084197510741,0.21572360457499737,0.21574806257265844,0.1439446387330271,0.03949407392411391,0.0,0.06029423268396049,0.0,0.015288107533661995,0.0,0.0030717678589559766,0.00010623821849247512,0.0020109542746970847,0.0,0.022683671655323555,0.24473342157831568,0.017398566113574102,0.026154646120902212,0.016825054040310528,0.0,0.0023572608702404066,0.034782949698420294,0.11544995906491758,0.13985868393787104,0.04107053841300859,0.05885775813117172,0.0,0.04489707838191518,0.004508040818250937,0.29532145033505414,0.024593706717087344,0.4221875430278259,0.0020116004297080275,0.04576686694236003,0.0,0.0,0.053895666483218134,0.20605754879166957,0.0,0.2930054056578988,0.0,0.13275830229834845,0.0030185146449749675,0.0,0.018855921477246816,0.10849137018526107,0.041164884096322005,0.05428869277443222,0.005855663825911151,0.011789905580834764,0.0,0.03460332071856856,0.0,0.0,0.0,0.0,0.1057903796742437,0.0,0.006215592170461087,0.14714154135733226,0.0,0.03379713123160189,0.3513231624903347,0.22870403233225495,0.005841603471073725,0.00032196420932537083,0.25086893689622325,0.0,0.04373256383544349,0.009916863698628861,0.08406789936825977,0.044816939659793935,0.24135598865952226,0.1896141942570769,0.0,0.027942598983163994,0.0423645418071812,0.0,0.0,0.0
46000440_pool3,0.0,0.28668972560581046,0.03296541701433773,0.04712267434198295,0.003348866729826936,0.19428656473447867,0.12030347544465782,0.13564920070433886,0.0,0.010895256126957428,0.0,0.0,0.0,0.1559047459311996,0.14099336853716912,0.07444889342772078,0.08065571480519713,0.0,0.04473053358339505,0.0658958560682019,0.0,0.0,0.0,0.17442850898059964,0.049935474129438204,0.07827865327506242,0.0,0.09055004087726444,0.0,0.004079082592004777,0.20504656721455877,0.22186090328471375,0.1417734846511037,0.04066161154310178,0.0,0.060720757442001824,0.0,0.01414476615828129,0.0,0.002853838382475992,0.0,0.0018987994511190033,0.007272223935187862,0.025973911337546216,0.23718212160090593,0.015714433379936214,0.02686605249539075,0.012244730798846682,0.0,0.0019394136914797774,0.03487520686329234,0.11392754202230328,0.13567958312833328,0.04019982577212593,0.059918164473812145,0.0,0.043410939279096186,0.0064328222912120115,0.27690453212879745,0.022658009822172892,0.4174051192183291,0.0016382097144946647,0.04493001281050061,0.0,0.0,0.054357508074166616,0.20988880638862153,0.0,0.295185882357119,0.0,0.13399030303650336,0.01120123506809988,0.0,0.019243212197142593,0.12567281385492246,0.04313432071436036,0.06875271651833034,0.0049506727164858105,0.008113540606141717,0.0,0.03509791442889347,0.0,0.0,0.0,0.0,0.1073067220551585,0.0,0.006329710129947331,0.14637782381892173,0.0,0.03929197477373435,0.3489121855290818,0.22851570562919848,0.005939236953799808,0.0001351758130755374,0.2644902185868755,0.0,0.04095626939846756,0.008481393253845167,0.0875773722133623,0.04227686054127795,0.24400854046556988,0.188975516794826,0.0003913914424170452,0.029424403474695417,0.03605870854028421,0.0,0.0,0.0
46000440_pool4,0.0,0.3203233176934006,0.028691819310419447,0.05054526571640429,0.002453415522518719,0.19499263707790304,0.11696514673242167,0.13493812965326693,0.0,0.007524215563054204,0.0,0.0,0.0,0.15482517416836525,0.13141423556448592,0.08345718375608008,0.06695946134771083,0.0,0.041767317423639296,0.08214865690418151,0.0,0.0,0.0,0.15362074995164748,0.03120781267530958,0.08243692872143556,0.0,0.0859572924031797,0.0,0.0017417434160501694,0.17896136671688323,0.2104966012228998,0.14034379789657941,0.03789978282044056,0.0,0.054418216638191026,0.0,0.007186717216678716,0.0,0.0034349836530892844,0.0,0.0021103796779501516,0.0,0.023885874616135682,0.26800141947778156,0.01501784525713004,0.032306218888538414,0.013191330935415878,0.0,0.0015960158648843064,0.03387395021212857,0.1191291335845688,0.16956536062624442,0.03589203497921087,0.04961446403274088,0.0,0.047134089370661596,0.0,0.23026099331675623,0.0217933293084647,0.3031490549550368,0.0019846893871701275,0.050552849655049525,0.0,0.0,0.04667095214390365,0.1611979476243267,0.0,0.3000243901007064,0.0,0.11208640990260572,0.0,0.0,0.01733388651205486,0.10318938901867715,0.052332685427651404,0.0491464228332495,0.0027956098381947646,0.0,0.0,0.0334304878300201,0.0,0.0,0.0,0.0,0.10464279689886195,0.0,0.006284015137751371,0.14633014610193282,0.0,0.03008028857009577,0.3693699177689654,0.2213645341116214,0.004715707901901802,9.830968223675447e-06,0.2575932977462679,0.0,0.03351725359624995,0.004318565807400234,0.08893101028929712,0.026068827615899712,0.24616496277922323,0.1880280731644009,0.0015655657696681809,0.028607898958953614,0.0547034226556497,0.0,0.0,0.0
46000440_pool5,0.0,0.31009660249019605,0.026558412494834916,0.05212331154749265,0.00429804116872951,0.1916902173435409,0.10150992121280994,0.13315421403209213,0.0,0.006853350189425243,0.0,0.0,0.0,0.15783837520718885,0.13875913209340074,0.08290190703439268,0.031101908893041815,0.0,0.044839954276553615,0.05812505227877093,0.0,0.0,0.0,0.205655647918029,0.10840686924265804,0.08109393036165896,0.0,0.08319986576399799,0.029697248600237827,0.0016052422441338863,0.18292957187988376,0.214363843260235,0.1485255280601559,0.03896404336895575,0.0,0.05580946755700991,0.0,0.01035540617130524,0.0,0.004130282459001617,0.0018305662263318793,0.002420508398760031,0.0,0.018982152012823057,0.2659965574606822,0.017314097934580133,0.029669830559551472,0.019725925426570964,0.0,0.0018378220815023017,0.03115586041305452,0.14152361243483114,0.1620889934994892,0.04964144347907643,0.04795784239089199,0.0,0.05590636574598851,0.006635430867313177,0.2655544185057237,0.026599576555959844,0.2605956852267524,0.0025935517245901157,0.04860658089836408,0.0,0.0,0.04627924244729334,0.14652430410941084,0.0,0.30970882289266544,0.0,0.1241000108937596,0.0,0.0,0.01675880440653697,0.07213092997779656,0.04258318929347816,0.03718575119329853,0.00273161118526967,0.006034272528160192,0.0,0.03385904217421218,0.0,0.0,0.0,0.0,0.11192518253275441,0.0,0.006626911008590731,0.14269177941169364,0.0,0.02793582292672456,0.3815505708355807,0.23097903115417615,0.005395716643341511,0.00037357679249966694,0.2491515285305517,0.0,0.036524336809083464,0.007385464192398908,0.088377185577995,0.041986185701158175,0.24640223423492472,0.19788358741571987,0.0,0.024827785460148962,0.02797658421228947,0.0,0.0,0.0
46000440_pool6,0.0,0.29671412298213784,0.02790494450705406,0.04908168405272841,0.004295084273763717,0.1971628921415452,0.11065941472042008,0.1298502169944831,0.0,0.007632190377828365,0.0,0.0,0.0,0.1480637160152147,0.1413551317027205,0.07748145510082227,0.06772036431757117,0.0,0.047351687770590914,0.053690278126084394,0.0,0.0,0.0,0.21365642120914852,0.06711990933734806,0.07795004764350774,0.0,0.08681868505386635,0.005844266307807839,0.004614308211707026,0.20243624598602633,0.22110864940360642,0.149063127410153,0.041009919908467654,0.0,0.05941199514326446,0.0,0.016011598892894722,0.0,0.0026359089059960067,0.0012013090860302957,0.0018330353149748032,0.0,0.02138655793444731,0.24598023220247828,0.01873209601315454,0.02812147550919406,0.017496834782391894,0.0,0.0021476917554054628,0.029437985636402122,0.11532309097803306,0.14077790236405183,0.045163483343594914,0.05117303391758423,0.0,0.04507468072074546,0.008357603764173086,0.28652178019200625,0.02590714631410765,0.39774891499141285,0.002267255333818078,0.04701947880242879,0.0,0.0,0.05080968489369969,0.18698024675746475,0.0,0.30619348045506667,0.0,0.1332293536772977,0.0,0.0,0.01764359690058891,0.10323663272835816,0.043159496890544824,0.05598889139083009,0.004878201580416156,0.009430411486887324,0.0,0.03341124385379355,0.0,0.0,0.0,0.0,0.10923918855343372,0.0,0.006408050183024756,0.14551051925251512,0.0,0.030418698648102035,0.3720910387168413,0.23352967367298955,0.005922313762521065,0.00030353114390597937,0.260216230910655,0.0,0.03797955001669205,0.00852436954075983,0.08356246050389754,0.046910303916956025,0.24439676352740167,0.1914677288326362,0.0,0.027065612651441313,0.032417311865033833,0.0,0.0,0.0
46000440_pool7,0.0,0.294925894329101,0.033894900893158074,0.0483874372467635,0.004155744141114264,0.1947151021095974,0.11078305652457697,0.13417336910793048,0.0,0.008878984775547577,0.0,0.0,0.0,0.15169074725090373,0.14016649888560345,0.07107525913025557,0.07932413460794152,0.0,0.047197819641570236,0.03871566264403245,0.0,0.0,0.0,0.2134457775486854,0.05714962840547443,0.07818077910369867,0.0,0.09201809518449892,0.0,0.0056083482362793285,0.2104354811793013,0.22342032994672278,0.14960935541953213,0.03961238707134902,0.0,0.0589293135272756,0.0,0.017403063420922522,0.0,0.0028745935707121806,0.0,0.001901127736804853,0.0,0.02094364105414811,0.24106425190410896,0.018365527579369333,0.02234652964569885,0.015512028044424225,0.0,0.0017697017245580117,0.031638598990639415,0.11303946541411161,0.13794131046551078,0.037131255514902185,0.05756230984714109,0.0,0.04641427437469996,0.010130428805058288,0.2943000594199296,0.024094766684414824,0.41602732362146005,0.00208896967700449,0.04725895008420875,0.0,0.0,0.05309258487744552,0.20318741087583136,0.0,0.3079784210604823,0.0,0.14112780798475216,0.006109764582599935,0.0,0.01854369735869449,0.0983892480581343,0.03342021588499655,0.06576666484619591,0.005584178102115552,0.00867213375040993,0.0,0.03410104764499726,0.0,0.0,0.0,0.0,0.1066444953736,0.0,0.005889518571952325,0.145119154075465,0.0,0.032468797988585416,0.3545855580853345,0.2299143385894912,0.0067288127226102995,0.00035268598502435667,0.2585210437150151,0.0,0.04427231039113618,0.009478372296484563,0.08514092270396652,0.047635167501662884,0.24193795629856168,0.19329747409261375,0.00416552320858141,0.02709585355943175,0.036769224964723304,0.0,0.0,0.0
46000440_pool8,0.0,0.3020411840218702,0.03483506670718591,0.049951954247055466,0.004223495774057397,0.19347156018215397,0.1225290279194819,0.14142728050612577,0.0,0.010124473134211125,0.0,0.0,0.0,0.15279360347001192,0.14392742326217528,0.07694537472255844,0.07808766728191845,0.0,0.044190825957366384,0.03880806230431558,0.0,0.0,0.0,0.18551503869791022,0.05140084921675806,0.07773945981020586,0.0,0.08434030524835298,0.0,0.0052950801662947685,0.21292781036844077,0.22579440650561206,0.14041392364728766,0.045713805081295154,0.0,0.061216332055060003,0.0,0.014504102019115226,0.0,0.003030257482483599,0.0,0.0020107407471076266,0.006979663202163062,0.02480334529675546,0.23901753671684242,0.0168431852776126,0.02686605249539075,0.014595963396131457,0.0,0.003574139333395391,0.03476284376170104,0.11316633350099614,0.13931895631948005,0.04003732116995101,0.059518269610339194,0.0,0.04514774832148125,0.011194123829589406,0.2722845120086805,0.023901594562812815,0.4190654924446986,0.0018905007382874774,0.049289140080644986,0.0,0.0,0.0548431027757276,0.20821935283482723,0.0,0.29022084918596597,0.0,0.13439431913434546,0.014547058529999844,0.0,0.02138801569782963,0.11585523127371833,0.03587749619927007,0.0665426885687342,0.005604460189015457,0.019705257383724674,0.0,0.03594949575726272,0.0,0.0,0.0,0.0,0.11000516125039732,0.0,0.005722001407288153,0.15273418430516883,0.0,0.03510727957592877,0.35655690752244834,0.23487281994083126,0.006331292853853865,0.00016958420185840146,0.2626447847401166,0.0,0.045263228593755686,0.008349237883096524,0.08292813610943982,0.0414026676081162,0.24485358723011372,0.19588530455313424,0.004696697309004543,0.02996873981852329,0.036147523093339094,0.0,0.0,0.0
