"","2899847","5498462","8637647","15218541","16068769","18414513","21362537","22789958","22868024","23004922","24039289","25300551","29821047","33411712","36830117","37178462","37527863","39484737","39989287","43074402","43485807","44019405","45566083","46000440","46547648","50101523","50102376","50106730","50107583","50108912","50109215","50109477","50109927","50301099","50400259","50402693","50405330","51520126","51668135","52311825","54104440","55177253","65736039","66754397","68015667","68525196","70883578","72777797","75990666","77143621","77239958","77891596","78353027","82317494","83984043","84732827","86408244","89001223","89546375","89903942","90267190","91018909","91707643"
"SREBF2 expression",1612.56313911409,1380.89222433537,1182.97523482777,1380.14000332786,1607.40714419791,1123.44365575487,1262.28433134505,1480.22215268285,1309.17086162789,1314.35261558215,1319.96290136836,1249.93340226601,1293.7018259139,1336.40115940482,1316.09892055047,1404.24534410902,1421.87537535853,1392.68166471416,921.432230717964,1043.79406329503,1411.68770339695,1402.39835449889,1613.97884330861,1666.91391526032,1526.72824687163,2062.59523872604,1331.30141320295,1192.86322205449,1614.82680125524,1462.21052420429,1467.18756794338,1298.14424420991,1513.52149769013,1528.56996632407,1229.82778265545,1312.85069713931,1317.6864424438,1759.91884570048,1488.09203827654,1129.75243318681,1428.83271012059,971.886933613251,1622.69973959662,1313.19236815273,1226.62318945534,1920.15755000573,1202.05919612541,1292.22964311149,1190.84418879679,1194.99706775926,1021.40815844464,1708.13091755435,1178.83928277416,1499.47221675928,1552.40157294918,1422.91090918871,1448.28978115724,1298.42876241506,1477.96067191163,1523.38387890179,1402.35095960212,1412.06028889225,1492.37985503894
"M20 Expression",514.484430098305,369.230481547356,275.926125706925,528.590189287297,414.547057453413,395.650919302516,463.391782564021,338.933837543281,384.111270515006,431.974352982211,352.587796501804,348.997968177214,339.627424959322,524.041498569301,391.376355382357,410.088779097655,352.33291457439,387.105537241651,273.663081718301,460.18700900436,556.262350405647,405.762152694054,603.612806060557,455.402780653635,430.980108640702,840.791285365969,392.290376777029,337.438774440872,663.541480341483,406.036201028814,384.803936238479,364.873876550525,482.717819861303,539.162399154153,363.516615451704,363.239625769091,400.283625598983,436.925665062788,624.624409057658,327.478072410462,472.750168682096,258.461734622103,368.057278978432,540.192994594489,403.258600087359,572.847744192905,424.372294198626,317.15709403149,398.263662226554,499.200673907443,351.945882310513,660.012490592431,355.226618607987,373.780239561325,519.871850392516,428.741777089484,361.176129904351,427.95903443899,439.036209706346,424.546579604278,433.8910518449,431.266206444389,395.158162315404
"Social Isolation Avg",2.133333333,2.466666667,1.822222222,2.4,1.733333333,2.4,2.433333333,2.266666667,2.6,2.32,1.6,2.4,2.569230769,2.2,2.55,2.32,2.942857143,2.4,2.142857143,2.12,3,2.033333333,2.4,2.6,2.48,2.8,2.32,2.3,5,2.911111111,2.1,2,2.933333333,2.7,2.333333333,2.2,1.85,2.1,3.466666667,2.133333333,1.8,2.6,2.4,3,2.28,2.4,2,2.355555556,3.65,4,2.085714286,3.55,2.35,2.2,2.266666667,2.333333333,3.2,2.4,2.333333333,2.466666667,2.45,2.4,2.228571429
